Vehicle Name,Car Type,Drive Train Type,Retail Price ($US),Cost Price ($US),Engine Size (litres),Number cylinders,Horsepower (hp),City  (km/100L),Open Road (km/100L),Weight (kg),Wheel base (cm),Length (cm),Width (cm)
Chevrolet Aveo 4dr,1,1,"11,690.00","10,965.00",1.6,4,103,8.4,6.9,1067,249,424,168
Chevrolet Aveo LS 4dr hatch,1,1,"12,585.00","11,802.00",1.6,4,103,8.4,6.9,1057,249,389,168
Chevrolet Cavalier 2dr,1,1,"14,610.00","13,697.00",2.2,4,140,9.0,6.4,1178,264,465,175
Chevrolet Cavalier 4dr,1,1,"14,810.00","13,884.00",2.2,4,140,9.0,6.4,1204,264,465,173
Chevrolet Cavalier LS 2dr,1,1,"16,385.00","15,357.00",2.2,4,140,9.0,6.4,1178,264,465,175
Dodge Neon SE 4dr,1,1,"13,670.00","12,849.00",2,4,132,8.1,6.5,1161,267,442,170
Dodge Neon SXT 4dr,1,1,"15,040.00","14,086.00",2,4,132,8.1,6.5,1182,267,442,170
Ford Focus ZX3 2dr hatch,1,1,"13,270.00","12,482.00",2,4,130,9.0,7.1,1175,262,427,170
Ford Focus LX 4dr,1,1,"13,730.00","12,906.00",2,4,110,8.7,6.5,1173,262,427,170
Ford Focus SE 4dr,1,1,"15,460.00","14,496.00",2,4,130,9.0,7.1,1173,262,427,170
Ford Focus ZX5 5dr,1,1,"15,580.00","14,607.00",2,4,130,9.0,7.1,1211,262,427,170
Honda Civic DX 2dr,1,1,"13,270.00","12,175.00",1.7,4,115,7.4,6.2,1094,262,445,170
Honda Civic HX 2dr,1,1,"14,170.00","12,996.00",1.7,4,117,6.5,5.3,1125,262,445,170
Honda Civic LX 4dr,1,1,"15,850.00","14,531.00",1.7,4,115,7.4,6.2,1131,262,445,173
Hyundai Accent 2dr hatch,1,1,"10,539.00","10,107.00",1.6,4,103,8.1,7.1,1015,244,424,168
Hyundai Accent GL 4dr,1,1,"11,839.00","11,116.00",1.6,4,103,8.1,7.1,1031,244,424,168
Hyundai Accent GT 2dr hatch,1,1,"11,939.00","11,209.00",1.6,4,103,8.1,7.1,1053,244,424,168
Hyundai Elantra GLS 4dr,1,1,"13,839.00","12,781.00",2,4,138,9.0,6.9,1186,262,452,173
Hyundai Elantra GT 4dr,1,1,"15,389.00","14,207.00",2,4,138,9.0,6.9,1186,262,452,173
Hyundai Elantra GT 4dr hatch,1,1,"15,389.00","14,207.00",2,4,138,9.0,6.9,1214,262,452,173
Kia Optima LX 4dr,1,1,"16,040.00","14,910.00",2.4,4,138,10.2,7.8,1476,269,472,183
Kia Rio 4dr manual,1,1,"10,280.00","9,875.00",1.6,4,104,9.0,7.1,1081,241,424,168
Kia Rio 4dr auto,1,1,"11,155.00","10,705.00",1.6,4,104,9.4,7.4,1106,241,424,168
Kia Spectra 4dr,1,1,"12,360.00","11,630.00",1.8,4,124,9.8,7.4,1197,257,452,173
Kia Spectra GS 4dr hatch,1,1,"13,580.00","12,830.00",1.8,4,124,9.8,7.4,1209,257,452,173
Kia Spectra GSX 4dr hatch,1,1,"14,630.00","13,790.00",1.8,4,124,9.8,7.4,1214,257,452,173
Mazda3 i 4dr,1,1,"15,500.00","14,525.00",2,4,148,*,*,1213,264,449,*
Mini Cooper,1,1,"16,999.00","15,437.00",1.6,4,115,8.4,6.4,1136,246,363,170
Mitsubishi Lancer ES 4dr,1,1,"14,622.00","13,751.00",2,4,120,*,*,1195,259,460,170
Mitsubishi Lancer LS 4dr,1,1,"16,722.00","15,718.00",2,4,120,*,*,1258,259,460,170
Nissan Sentra 1.8 4dr,1,1,"12,740.00","12,205.00",1.8,4,126,8.4,6.7,1131,254,452,170
Nissan Sentra 1.8 S 4dr,1,1,"14,740.00","13,747.00",1.8,4,126,8.4,6.7,1161,254,452,170
Pontiac Sunfire 1SA 2dr,1,1,"15,495.00","14,375.00",2.2,4,140,9.8,7.1,1247,264,462,173
Saturn Ion1 4dr,1,1,"10,995.00","10,319.00",2.2,4,140,9.0,6.7,1211,262,470,170
Saturn lon2 4dr,1,1,"14,300.00","13,393.00",2.2,4,140,9.0,6.7,1211,262,470,170
Saturn lon3 4dr,1,1,"15,825.00","14,811.00",2.2,4,140,9.0,6.7,1211,262,470,170
Saturn lon2 quad coupe 2dr,1,1,"14,850.00","13,904.00",2.2,4,140,9.0,6.7,1238,262,470,173
Saturn lon3 quad coupe 2dr,1,1,"16,350.00","15,299.00",2.2,4,140,9.0,6.7,1238,262,470,173
Scion xA 4dr hatch,1,1,"12,965.00","12,340.00",1.5,4,108,7.4,6.2,1053,236,391,170
Suzuki Aeno S 4dr,1,1,"12,884.00","12,719.00",2.3,4,155,9.4,7.6,1204,249,434,173
Suzuki Aerio LX 4dr,1,1,"14,500.00","14,317.00",2.3,4,155,9.4,7.6,1204,249,434,173
Suzuki Forenza S 4dr,1,1,"12,269.00","12,116.00",2,4,119,9.8,7.6,1215,259,450,173
Suzuki Forenza EX 4dr,1,1,"15,568.00","15,378.00",2,4,119,10.7,7.8,1240,259,450,173
Toyota Corolla CE 4dr,1,1,"14,085.00","13,065.00",1.8,4,130,7.4,5.9,1126,259,452,170
Toyota Corolla S 4dr,1,1,"15,030.00","13,650.00",1.8,4,130,7.4,5.9,1136,259,452,170
Toyota Corolla LE 4dr,1,1,"15,295.00","13,889.00",1.8,4,130,7.4,5.9,1136,259,452,170
Toyota Echo 2dr manual,1,1,"10,760.00","10,144.00",1.5,4,108,6.7,5.5,916,236,414,165
Toyota Echo 2dr auto,1,1,"11,560.00","10,896.00",1.5,4,108,7.1,6.0,938,236,414,165
Toyota Echo 4dr,1,1,"11,290.00","10,642.00",1.5,4,108,6.7,5.5,925,236,414,165
Buick Century Custom 4dr,1,1,"22,180.00","20,351.00",3.1,6,175,11.8,7.8,1509,277,495,185
Chevrolet Impala 4dr,1,1,"21,900.00","20,095.00",3.4,6,180,11.2,7.4,1559,282,508,185
Chevrolet Malibu 4dr,1,1,"18,995.00","17,434.00",2.2,4,145,9.8,6.9,1428,269,478,178
Chevrolet Malibu LS 4dr,1,1,"20,370.00","18,639.00",3.5,6,200,10.7,7.8,1484,269,478,178
Chevrolet Monte Carlo LS 2dr,1,1,"21,825.00","20,026.00",3.4,6,180,11.2,7.4,1503,282,503,185
Chrysler PT Cruiser 4dr,1,1,"17,985.00","16,919.00",2.4,4,150,10.7,8.1,1395,262,429,170
Chrysler PT Cruiser Limited 4dr,1,1,"22,000.00","20,573.00",2.4,4,150,10.7,8.1,1397,262,429,170
Chrysler Sebring 4dr,1,1,"19,090.00","17,805.00",2.4,4,150,10.7,7.8,1428,274,485,180
Chrysler Sebring Touring 4dr,1,1,"21,840.00","20,284.00",2.7,6,200,11.2,8.4,1450,274,485,180
Dodge Intrepid SE 4dr,1,1,"22,035.00","20,502.00",2.7,6,200,11.2,8.1,1561,287,518,191
Dodge Stratus SXT 4dr,1,1,"18,820.00","17,512.00",2.4,4,150,11.2,8.4,1432,274,485,180
Dodge Stratus SE 4dr,1,1,"20,220.00","18,821.00",2.4,4,150,11.2,8.4,1429,274,485,180
Ford Focus SVT 2dr,1,1,"19,135.00","17,878.00",2,4,170,11.2,8.4,1238,262,427,170
Ford Taurus LX 4dr,1,1,"20,320.00","18,881.00",3,6,155,11.8,8.7,1488,277,503,185
Ford Taurus SES Duratec 4dr,1,1,"22,735.00","20,857.00",3,6,201,12.4,9.0,1491,277,503,185
Honda Accord LX 2dr,1,1,"19,860.00","17,924.00",2.4,4,160,9.0,6.9,1347,267,478,180
Honda Accord EX 2dr,1,1,"22,260.00","20,080.00",2.4,4,160,9.0,6.9,1371,267,478,180
Honda Civic EX 4dr,1,1,"17,750.00","16,265.00",1.7,4,127,7.4,6.4,1170,262,445,173
Honda Civic Si 2dr hatch,1,1,"19,490.00","17,849.00",2,4,160,9.0,7.8,1252,257,422,170
Honda Civic Hybrid 4dr manual (gas/electric),1,1,"20,140.00","18,451.00",1.4,4,93,5.1,4.6,1229,262,445,173
Honda Insight 2dr (gas/electric),1,1,"19,110.00","17,911.00",2,3,73,3.9,3.6,833,241,394,170
Hyundai Sonata GLS 4dr,1,1,"19,339.00","17,574.00",2.7,6,170,12.4,8.7,1448,269,475,183
Hyundai Sonata LX 4dr,1,1,"20,339.00","18,380.00",2.7,6,170,12.4,8.7,1448,269,475,183
Kia Optima LX V6 4dr,1,1,"18,435.00","16,850.00",2.7,6,170,11.8,8.7,1476,269,472,183
Mazda3 s 4dr,1,1,"17,200.00","15,922.00",2.3,4,160,*,*,1243,*,*,*
Mazda6 i 4dr,1,1,"19,270.00","17,817.00",2.3,4,160,9.8,7.4,1369,267,475,178
Mercury Sable GS 4dr,1,1,"21,595.00","19,848.00",3,6,155,11.8,8.7,1489,277,508,185
