Car Name,Type,"Min Price ($US1,000)","Med Price ($US1,000)","Max Price ($US1,000)",City (km/100L),Open Road (km/100L),Airbag,Drive train,Cylinders,Engine Size (Litres),Horsepower (HP),Revs at max power (RPM),Revs at cruising speed (RPM),Manual transmission avaiable,Fuel tank (Litres),Passenger Capacity (persons),Length (cm),Wheelbase (cm),Width (cm),u-turn space (m),rear seat room (cm),luggage capacity (m3),Weight (kg),USA or Foreign car
Acura Integra,1,12.9,15.9,18.8,25,31,0,1,4,1.8,140,"6,300","2,890",1,13.2,5,450,259,173,11,67,0.31,1227,0
Acura Legend,2,29.2,33.9,38.7,18,25,2,1,6,3.2,200,"5,500","2,335",1,18,5,495,292,180,12,76,0.42,1615,0
Audi 90,4,25.9,29.1,32.3,20,26,1,1,6,2.8,172,"5,500","2,280",1,16.9,5,457,259,170,11,71,0.40,1531,0
Audi 100,2,30.8,37.7,44.6,19,26,2,1,6,2.8,172,"5,500","2,535",1,21.1,6,490,269,178,11,79,0.48,1544,0
BMW 535i,2,23.7,30,36.2,22,30,1,0,4,3.5,208,"5,700","2,545",1,21.1,4,472,277,175,12,69,0.37,1651,0
Buick Century,2,14.2,15.7,17.3,22,31,1,1,4,2.2,110,"5,200","2,565",0,16.4,6,480,267,175,12,71,0.45,1306,1
Buick LeSabre,3,19.9,20.8,21.7,19,28,1,1,6,3.8,170,"4,800","1,570",0,18,6,508,282,188,13,77,0.48,1574,1
Buick Roadmaster,3,22.6,23.7,24.9,16,25,1,0,6,5.7,180,"4,000","1,320",0,23,6,549,295,198,14,77,0.59,1862,1
Buick Riviera,2,26.3,26.3,26.3,19,27,1,1,6,3.8,170,"4,800","1,690",0,18.8,5,503,274,185,12,67,0.40,1585,1
Cadillac DeVille,3,33,34.7,36.3,16,25,1,1,8,4.9,200,"4,100","1,510",0,18,6,523,290,185,13,89,0.51,1642,1
Cadillac Seville,2,37.5,40.1,42.7,16,25,2,1,8,4.6,295,"6,000","1,985",0,20,5,518,282,188,13,79,0.40,1785,1
Chevrolet Cavalier,4,8.5,13.4,18.3,25,36,0,1,4,2.2,110,"5,200","2,380",1,15.2,5,462,257,168,12,64,0.37,1129,1
Chevrolet Corsica,4,11.4,11.4,11.4,25,34,1,1,4,2.2,110,"5,200","2,665",1,15.6,5,467,262,173,12,66,0.40,1263,1
Chevrolet Camaro,5,13.4,15.1,16.8,19,28,2,0,6,3.4,160,"4,600","1,805",1,15.5,4,490,257,188,13,64,0.37,1470,1
Chevrolet Lumina,2,13.4,15.9,18.4,21,29,0,1,4,2.2,110,"5,200","2,595",0,16.5,6,503,274,180,12,72,0.45,1449,1
Chevrolet Lumina APV,6,14.7,16.3,18,18,23,0,1,6,3.8,170,"4,800","1,690",0,20,7,452,279,188,13,77,*,1685,1
Chevrolet Astro,6,14.7,16.6,18.6,15,20,0,2,6,4.3,165,"4,000","1,790",0,27,8,493,282,198,13,85,*,1826,1
Chevrolet Caprice,3,18,18.8,19.6,17,26,1,0,8,5,170,"4,200","1,350",0,23,6,544,295,196,13,75,0.57,1774,1
Chevrolet Corvette,5,34.6,38,41.5,17,25,1,0,8,5.7,300,"5,000","1,450",1,20,2,455,244,188,13,*,*,1533,1
Chrylser Concorde,3,18.4,18.4,18.4,20,28,2,1,6,3.3,153,"5,300","1,990",0,18,6,516,287,188,12,79,0.42,1594,1
Chrysler LeBaron,4,14.5,15.8,17.1,23,28,2,1,4,3,141,"5,000","2,090",0,16,6,465,264,173,12,77,0.40,1399,1
Chrysler Imperial,3,29.5,29.5,29.5,20,26,1,1,6,3.3,147,"4,800","1,785",0,16,6,516,279,175,13,91,0.48,1619,1
Dodge Colt,1,7.9,9.2,10.6,29,33,0,1,4,1.5,92,"6,000","3,285",1,13.2,5,442,249,168,10,67,0.31,1030,1
Dodge Shadow,1,8.4,11.3,14.2,23,29,1,1,4,2.2,93,"4,800","2,595",1,14,5,437,246,170,12,67,0.37,1211,1
Dodge Spirit,4,11.9,13.3,14.7,22,27,1,1,4,2.5,100,"4,800","2,535",1,16,6,460,264,173,12,77,0.40,1347,1
Dodge Caravan,6,13.6,19,24.4,17,21,1,2,6,3,142,"5,000","1,970",0,20,7,445,284,183,13,67,*,1681,1
Dodge Dynasty,2,14.8,15.6,16.4,21,27,1,1,4,2.5,100,"4,800","2,465",0,16,6,488,267,175,13,77,0.45,1397,1
Dodge Stealth,5,18.5,25.8,33.1,18,24,1,2,6,3,300,"6,000","2,120",1,19.8,4,457,246,183,12,51,0.31,1726,1
Eagle Summit,1,7.9,12.2,16.5,29,33,0,1,4,1.5,92,"6,000","2,505",1,13.2,5,442,249,168,11,67,0.31,1041,1
Eagle Vision,3,17.5,19.3,21.2,20,28,2,1,6,3.5,214,"5,800","1,980",0,18,6,513,287,188,12,76,0.42,1583,1
Ford Festiva,1,6.9,7.4,7.9,31,33,0,1,4,1.3,63,"5,000","3,150",1,10,4,358,229,160,10,66,0.34,837,1
Ford Escort,1,8.4,10.1,11.9,23,30,0,1,4,1.8,127,"6,500","2,410",1,13.2,5,434,249,170,11,71,0.34,1148,1
Ford Tempo,4,10.4,11.3,12.2,22,27,0,1,4,2.3,96,"4,200","2,805",1,15.9,5,450,254,173,12,70,0.37,1220,1
Ford Mustang,5,10.8,15.9,21,22,29,1,0,4,2.3,105,"4,600","2,285",1,15.4,4,457,257,173,12,61,0.34,1293,1
Ford Probe,5,12.8,14,15.2,24,30,1,1,4,2,115,"5,500","2,340",1,15.5,4,455,262,178,12,58,0.51,1229,1
Ford Aerostar,6,14.5,19.9,25.3,15,20,1,2,6,3,145,"4,800","2,080",1,21,7,447,302,183,14,76,*,1694,1
Ford Taurus,2,15.6,20.2,24.8,21,30,1,1,6,3,140,"4,800","1,885",0,16,5,488,269,180,12,70,0.51,1508,1
Ford Crown Victoria,3,20.1,20.9,21.7,18,26,1,0,8,4.6,190,"4,200","1,415",0,20,6,538,290,198,13,76,0.59,1792,1
Geo Metro,1,6.7,8.4,10,46,50,0,1,3,1,55,"5,700","3,755",1,10.6,4,384,236,160,10,70,0.28,769,0
Geo Storm,5,11.5,12.5,13.5,30,36,1,1,4,1.6,90,"5,400","3,250",1,12.4,4,417,246,170,11,62,0.31,1123,0
Honda Prelude,5,17,19.8,22.7,24,31,2,1,4,2.3,160,"5,800","2,855",1,15.9,4,445,254,178,12,60,0.23,1300,0
Honda Civic,1,8.4,12.1,15.8,42,46,1,1,4,1.5,102,"5,900","2,650",1,11.9,4,439,262,170,11,71,0.34,1066,0
Honda Accord,4,13.8,17.5,21.2,24,31,2,1,4,2.2,140,"5,600","2,610",1,17,4,470,272,170,12,71,0.40,1379,0
Hyundai Excel,1,6.8,8,9.2,29,33,0,1,4,1.5,81,"5,500","2,710",1,11.9,5,427,239,160,11,66,0.31,1064,0
Hyundai Elantra,1,9,10,11,22,29,0,1,4,1.8,124,"6,000","2,745",1,13.7,5,437,249,168,11,71,0.34,1188,0
Hyundai Scoupe,5,9.1,10,11,26,34,0,1,4,1.5,92,"5,550","2,540",1,11.9,4,422,239,163,10,60,0.25,1036,0
Hyundai Sonata,2,12.4,13.9,15.3,20,27,0,1,4,2,128,"6,000","2,335",1,17.2,5,467,264,175,12,79,0.40,1309,0
Infiniti Q45,2,45.4,47.9,50.4,17,22,1,0,8,4.5,278,"6,000","1,955",0,22.5,5,508,287,183,13,74,0.42,1814,0
Lexus ES300,2,27.5,28,28.4,18,24,1,1,6,3,185,"5,200","2,325",1,18.5,5,478,262,178,12,70,0.40,1592,0
Lexus SC300,2,34.7,35.2,35.6,18,23,2,0,6,3,225,"6,000","2,510",1,20.6,4,485,269,180,12,64,0.25,1594,0
Lincoln Continental,2,33.3,34.3,35.3,17,26,2,1,6,3.8,160,"4,400","1,835",0,18.4,6,521,277,185,13,76,0.54,1676,1
Lincoln Town Car,3,34.4,36.1,37.8,18,26,2,0,8,4.6,210,"4,600","1,840",0,20,6,556,297,196,14,80,0.62,1839,1
Mazda 323,1,7.4,8.3,9.1,29,37,0,1,4,1.6,82,"5,000","2,370",1,13.2,4,417,246,168,10,69,0.45,1055,0
Mazda Protege,1,10.9,11.6,12.3,28,36,0,1,4,1.8,103,"5,500","2,220",1,14.5,5,437,249,168,11,67,0.37,1107,0
Mazda 626,4,14.3,16.5,18.7,26,34,1,1,4,2.5,164,"5,600","2,505",1,15.5,5,467,262,175,12,75,0.40,1347,0
Mazda MPV,6,16.6,19.1,21.7,18,24,0,2,6,3,155,"5,000","2,240",0,19.6,7,483,279,183,12,70,*,1694,0
Mazda RX-7,5,32.5,32.5,32.5,17,25,1,0,*,1.3,255,"6,500","2,325",1,20,2,429,244,175,11,*,*,1313,0
Mercedes-Benz 190E,4,29,31.9,34.9,20,29,1,0,4,2.3,130,"5,100","2,425",1,14.5,5,445,267,170,10,66,0.34,1324,0
Mercedes-Benz 300E,2,43.8,61.9,80,19,25,2,0,6,3.2,217,"5,500","2,220",0,18.5,5,475,279,175,11,69,0.42,1599,0
Mercury Capri,5,13.3,14.1,15,23,26,1,1,4,1.6,100,"5,750","2,475",1,11.1,4,422,241,165,11,48,0.17,1111,1
Mercury Cougar,2,14.9,14.9,14.9,19,26,0,0,6,3.8,140,"3,800","1,730",0,18,5,505,287,185,12,71,0.42,1637,1
Mitsubishi Mirage,1,7.7,10.3,12.9,29,33,0,1,4,1.5,92,"6,000","2,505",1,13.2,5,437,249,170,11,66,0.31,1041,0
Mitsubishi Diamante,2,22.4,26.1,29.9,18,24,1,1,6,3,202,"6,000","2,210",0,19,5,483,272,178,13,70,0.40,1692,0
Nissan Sentra,1,8.7,11.8,14.9,29,33,1,1,4,1.6,110,"6,000","2,435",1,13.2,5,432,244,168,10,66,0.34,1154,0
Nissan Altima,4,13,15.7,18.3,24,30,1,1,4,2.4,150,"5,600","2,130",1,15.9,5,460,262,170,12,72,0.40,1383,0
Nissan Quest,6,16.7,19.1,21.5,17,23,0,1,6,3,151,"4,800","2,065",0,20,7,483,284,188,12,69,*,1860,0
Nissan Maxima,2,21,21.5,22,21,26,1,1,6,3,160,"5,200","2,045",0,18.5,5,478,264,175,12,72,0.40,1451,0
Oldsmobile Achieva,4,13,13.5,14,24,31,0,1,4,2.3,155,"6,000","2,380",0,15.2,5,478,262,170,12,71,0.40,1320,1
Oldsmobile Cutlass Ciera,2,14.2,16.3,18.4,23,31,1,1,4,2.2,110,"5,200","2,565",0,16.5,5,483,267,178,13,71,0.45,1311,1
Oldsmobile Silhouette,6,19.5,19.5,19.5,18,23,0,1,6,3.8,170,"4,800","1,690",0,20,7,493,279,188,13,77,*,1685,1
Oldsmobile Eighty-Eight,3,19.5,20.7,21.9,19,28,1,1,6,3.8,170,"4,800","1,570",0,18,6,511,282,188,13,80,0.48,1574,1
Plymouth Laser,5,11.4,14.4,17.4,23,30,0,2,4,1.8,92,"5,000","2,360",1,15.9,4,439,246,170,12,62,0.23,1197,1
Pontiac LeMans,1,8.2,9,9.9,31,41,0,1,4,1.6,74,"5,600","3,130",1,13.2,4,450,251,168,11,65,0.48,1066,1
Pontiac Sunbird,4,9.4,11.1,12.8,23,31,0,1,4,2,110,"5,200","2,665",1,15.2,5,460,257,168,12,64,0.37,1168,1
Pontiac Firebird,5,14,17.7,21.4,19,28,2,0,6,3.4,160,"4,600","1,805",1,15.5,4,498,257,191,13,64,0.37,1470,1
Pontiac Grand Prix,2,15.4,18.5,21.6,19,27,0,1,6,3.4,200,"5,000","1,890",1,16.5,5,495,274,183,12,72,0.45,1565,1
Pontiac Bonneville,3,19.4,24.4,29.4,19,28,2,1,6,3.8,170,"4,800","1,565",0,18,6,450,282,188,13,77,0.51,1585,1
Saab 900,4,20.3,28.7,37.1,20,26,1,1,4,2.1,140,"6,000","2,910",1,18,5,467,251,170,11,67,0.40,1259,0
Saturn SL,1,9.2,11.1,12.9,28,38,1,1,4,1.9,85,"5,000","2,145",1,12.8,5,447,259,173,12,67,0.34,1132,1
Subaru Justy,1,7.3,8.4,9.5,33,37,0,2,3,1.2,73,"5,600","2,875",1,9.2,4,371,229,152,10,60,0.28,928,0
Subaru Loyale,1,10.5,10.9,11.3,25,30,0,2,4,1.8,90,"5,200","3,375",1,15.9,5,445,246,165,11,70,0.42,1129,0
Subaru Legacy,4,16.3,19.5,22.7,23,30,1,2,4,2.2,130,"5,600","2,330",1,15.9,5,455,259,170,11,69,0.40,1399,0
Suzuki Swift,1,7.3,8.6,10,39,43,0,1,3,1.3,70,"6,000","3,360",1,10.6,4,409,236,160,10,70,0.28,891,0
Toyota Tercel,1,7.8,9.8,11.8,32,37,1,1,4,1.5,82,"5,200","3,505",1,11.9,5,411,239,165,11,61,0.31,932,0
Toyota Celica,5,14.2,18.4,22.6,25,32,1,1,4,2.2,135,"5,400","2,405",1,15.9,4,442,251,175,12,58,0.37,1338,0
Toyota Camry,2,15.2,18.2,21.2,22,29,1,1,4,2.2,130,"5,400","2,340",1,18.5,5,478,262,178,12,72,0.42,1374,0
Toyota Previa,6,18.9,22.7,26.6,18,22,1,2,4,2.4,138,"5,000","2,515",1,19.8,7,475,287,180,12,89,*,1717,0
Volkswagen Fox,1,8.7,9.1,9.5,25,33,0,1,4,1.8,81,"5,500","2,550",1,12.4,4,414,236,160,10,66,0.28,1016,0
Volkswagen Eurovan,6,16.6,19.7,22.7,17,21,0,1,5,2.5,109,"4,500","2,915",1,21.1,7,475,292,183,12,86,*,1796,0
Volkswagen Passat,4,17.6,20,22.4,21,30,0,1,4,2,134,"5,800","2,685",1,18.5,5,457,262,170,11,80,0.40,1354,0
Volkswagen Corrado,5,22.9,23.3,23.7,18,25,0,1,6,2.8,178,"5,800","2,385",1,18.5,4,404,246,168,11,66,0.42,1275,0
Volvo 240,4,21.8,22.7,23.5,21,28,1,0,4,2.3,114,"5,400","2,215",1,15.8,5,483,264,170,11,75,0.40,1354,0
Volvo 850,2,24.8,26.7,28.5,20,28,2,1,5,2.4,168,"6,200","2,310",1,19.3,5,467,267,175,12,76,0.42,1472,0
