Country,Continent,Date,GDP,GNI,Live births number,Live births rate,Deaths number,Death rate,Rate of increase,Infant deaths number,Infant deaths rate (per 1000 births),Life expectancy at birth male,Life expectancy at birth female,Total fertility rate
Algeria ,1,2010,"188,681",8310,"887,810",24.7,"157,000", , , , ,75.6,77.0, 
Åland Islands,4,2009, ,1140,267,9.7,247,9.0,0.7, , ,79.4,84.1,1.682
Antigua and Barbuda,1,2010,"1,118",17900,"1,255",13.8,491,5.4,8.4,11, ,74.0,79.7, 
Argentina,2,2010,"446,044",17130,"756,176",18.7,"318,602",7.9,10.8,"8,961",11.9,71.6,79.1,2.392
Armenia ,3,2007,"10,248",6100,"40,105",12.4,"26,830",8.3,4.1,433,10.8,70.2,76.6,1.417
Australia ,5,2010,"1,379,382",38110,"297,903",13.4,"143,473",6.4,6.9,"1,229",4.1,79.5,84.0,1.886
Austria ,4,2010,"417,656",42050,"78,742",9.4,"77,199",9.2,0.2,307,3.9,77.7,83.2,1.440
Azerbaijan ,3,2010,"63,404",8960,"165,643",18.3,"53,580",5.9,12.4,"1,843",11.1,70.9,76.1, 
Bangladesh,3,2010,"111,879",1940,"2,868,494", ,"842,095", , ,"104,591", ,66.7,68.8,2.120
Belarus ,4,2010,"55,132",14460,"108,050",11.4,"137,132",14.5,-3.1,429,4.0,64.6,76.5, 
Bermuda,1,2010,"5,765",,769,11.9,475,7.4,4.6, , ,76.9,82.3,1.760
Bolivia (Plurinational State of) ,2,2011,"23,949",4890, , , , , , , ,64.6,68.9,3.207
Brazil,2,2009,"2,476,652",11420,"2,752,401", ,"1,079,228", , ,"33,713", ,69.7,77.3,1.806
Brunei Darussalam ,3,2008,"16,360",49910,"6,424",16.1,"1,091",2.7,13.4,45,7.0,76.6,79.8,1.700
Bulgaria ,4,2010,"53,514",14160,"75,513",10.0,"110,165",14.6,-4.6,708,9.4,70.0,77.2,1.486
Canada,1,2008,"1,736,051",39660,"377,886",11.3,"238,617",7.2,4.2,"1,911",5.1,78.5,83.2,1.681
Chile ,2,2010,"248,585",16330, , , , , , , ,75.5,81.5, 
"China, Hong Kong SAR ",3,2009,"248,612",8390,"82,095",11.7,"41,175",5.9,5.8,136,1.7,79.7,85.9,1.042
