random_ID,Ch_gender,Deprivation,M_age,M_work,F_age,F_work,No_bedrooms,M_years_current_addr,M_owns_residence,M_education,M_work_hours,M_smoke,F_years_current_addr,F_owns_residence,F_education,F_work_hours,F_smoke,Cellphone,Landline,Internet,Hhld_income_cat,Hhld_income_value,No_usual_resdnt,Parents,Ch_Ethnicity,M_Ethnicity,F_Ethnicity,M_benefit,F_benefit
1,female,9,33,full_time,41,full_time,3,5,owns,diploma,30,smoker,2,owns,level_4,40,ex_smoker,cellphone,landline,internet,13,85000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
2,male,9,18,not in LF,NA,NA,2,1,not_owned,none,0,smoker,NA,NA,NA,0,NA,cellphone,none,none,7,22500,2,mother,NZEuropean,NZEuropean,NA,benefit,benefit
3,female,2,34,not in LF,37,full_time,4,4,owns,degree,0,never,4,owns,degree,35,never,cellphone,landline,internet,12,60000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
4,female,1,28,not in LF,24,full_time,4,2,not_owned,none,0,smoker,0,not_owned,level_2_3,60,never,none,landline,none,14,100000,5,two,Pacific,Pacific,Pacific,benefit,benefit
5,female,4,30,part_time,34,NA,4,2,not_owned,level_2_3,12,never,NA,not_owned,NA,0,NA,cellphone,landline,internet,NA,NA,3,two,Other,Other,NA,benefit,benefit
6,female,1,38,part_time,40,full_time,3,10,owns,NA,19,NA,5,not_owned,diploma,40,never,cellphone,landline,internet,NA,NA,4,two,Maori,NZEuropean,Maori,benefit,benefit
7,female,4,30,part_time,36,full_time,3,NA,owns,level_2_3,23,never,9,owns,level_4,50,ex_smoker,cellphone,landline,internet,12,60000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
8,male,7,36,not in LF,36,full_time,3,4,owns,level_2_3,1,never,0,owns,level_4,40,never,cellphone,landline,internet,12,60000,4,two,NZEuropean,NZEuropean,Other,benefit,benefit
9,male,5,38,full_time,38,full_time,4,2,not_owned,level_2_3,85,never,1,owns,none,70,NA,none,landline,none,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
10,female,4,36,full_time,36,full_time,4,0,not_owned,level_4,35,never,1,not_owned,degree,55,never,cellphone,landline,none,14,100000,4,two,Maori,Maori,Maori,benefit,benefit
11,male,8,NA,NA,32,full_time,3,NA,NA,NA,0,NA,2,owns,level_2_3,40,ex_smoker,cellphone,landline,none,NA,NA,3,father,NZEuropean,NA,NZEuropean,benefit,benefit
12,male,7,29,not in LF,NA,NA,3,1,not_owned,none,0,smoker,NA,NA,NA,0,NA,cellphone,none,none,4,7500,4,mother,NZEuropean,NZEuropean,NA,benefit,benefit
13,male,2,35,unemployed,39,full_time,4,0,owns,post_grad,3,never,1,owns,post_grad,60,never,cellphone,landline,internet,14,100000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
14,male,3,21,not in LF,21,full_time,3,0,not_owned,none,0,smoker,0,not_owned,level_2_3,42,smoker,cellphone,landline,none,12,60000,3,two,Maori,Maori,Maori,benefit,benefit
15,male,3,22,not in LF,33,full_time,3,0,not_owned,degree,0,ex_smoker,1,not_owned,level_1,50,ex_smoker,cellphone,none,none,10,37500,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
16,male,3,29,part_time,31,full_time,1,1,owns,degree,1,never,0,owns,degree,46,never,none,landline,internet,11,45000,5,two,Other,Other,Other,benefit,benefit
17,female,10,NA,NA,34,full_time,3,NA,NA,NA,0,NA,2,owns,level_1,40,never,cellphone,landline,internet,12,60000,3,father,NZEuropean,NA,NZEuropean,benefit,benefit
18,female,3,29,not in LF,27,full_time,3,3,owns,diploma,0,ex_smoker,3,owns,degree,50,never,cellphone,landline,none,14,100000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
19,male,6,28,part_time,29,full_time,4,1,owns,level_2_3,16,never,1,owns,post_grad,40,never,cellphone,landline,internet,12,60000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
20,female,10,31,not in LF,30,unemployed,2,0,not_owned,post_grad,0,ex_smoker,2,not_owned,level_2_3,20,ex_smoker,none,landline,internet,10,37500,3,two,NZEuropean,NZEuropean,NA,benefit,benefit
21,male,4,30,part_time,30,full_time,4,1,owns,level_2_3,0,never,6,owns,level_4,NA,ex_smoker,cellphone,landline,internet,13,85000,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
