"","gender","age","country","country_en","country_mi","ethniceng","ethnicmri","ethnicwsm","ethniccok","ethnicton","ethnicniu","ethnicchn","ethnicind","ethnicother","ethnicother_en","ethnicother_mi","languages","handed","height","rightfoot","armspan","wrist","neck","popliteal","indexfinger","ringfinger","hairlength","travel","timetravel","bagweightraw","bagweight","bagcarry","favlearning","favlearningmo","memory","reaction","sport","sport_en","techtv","techmp3","techinternet","techmobinternet","techfacebook","techtwitter","techbebo","techmyspace","techskype","techconsole","technone","cellmonths","onlinemusic","onlinevideo","onlinegame","onlinefriend","onlineschool","onlineother","onlinenone","bedtime","waketime","favtvshow","favtvshow_en","importwarm","importpollution","importrecycling","importwater","importlifestyle","importenergy","importgovern","importcomputer","region","year"
"14889","female","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","right","150","21","147","14","34","42","75","80","360","motor","10","2700","2700","two","science","social","32","2.432","Soccer","Soccer","yes","yes","yes","no","yes","no","no","no","no","yes","no","12","yes","yes","no","yes","yes","no","no","11:45:00","7:00:00","The mia show","NA","-100","22","15","-50","13","-89","100","-63",3,10
"11914","female","13","newzealand","NZL","NZL","yes","no","yes","no","no","no","no","no","","","","2","right","NA","25","NA","16","35","44","NA","NA","15","motor","7","0","0","two","arts","mathstats","41","NA","Netball","Netball","no","no","yes","no","yes","no","yes","no","no","yes","no","1","yes","yes","no","yes","no","no","no","12:30:00","7:30:00","Cougar town","Cougar Town","-10","-11","-12","-11","20","-29","43","81",3,10
"18313","male","NA","newzealand","NZL","NZL","no","no","no","no","no","no","yes","no","","","","2","right","165","24","160","15","32","44","98","95","13","bike","10","4000","4000","two","technology","mathstats","66","0.391","Walking or hiking","Walking or hiking","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","NA","yes","yes","yes","yes","yes","no","no","10:00:00","7:00:00","Family guy","Family Guy","0","22","24","-91","-15","30","-81","100",14,10
"12341","female","15","France","FRA","FRA","no","no","no","no","no","no","no","no","FRENCH","","NA","2","right","170","24","170","16","35","NA","75","75","430","motor","15","4000","4000","two","languages","languages","43","0.422","Aerobics or weight training","Aerobics or weight training","yes","yes","yes","no","yes","no","no","no","yes","yes","no","36","yes","yes","no","yes","no","no","no","10:00:00","7:15:00","(i have a lot of favourite tv shows)","NA","49","49","-30","35","100","-43","-22","100",5,10
"18262","male","13","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","1","right","180","27","190","17","32","49","NA","NA","12","walk","35","74","NA","diagonal","technology","NA","42","0.344","Rugby","Rugby","no","no","no","yes","yes","no","yes","no","no","no","no","10","no","no","no","no","no","no","no","11:30:00","7:45:00","Simpsons","The Simpsons","-75","-68","-72","-88","-79","-46","-97","-21",3,9
"15686","female","13","newzealand","NZL","NZL","no","no","no","no","yes","no","no","no","","","","2","right","170","26","177","15","31","NA","NA","NA","600","bus","30","400","400","one","health","english","38","0.485","Netball","Netball","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","12","no","no","yes","yes","yes","no","no","10:00:00","6:30:00","Home and away","Home and Away","100","79","100","71","100","-12","28","5",3,9
"19301","female","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","145","24","142","21","NA","39","70","60","28","motor","15","4000","4000","two","arts","health","51","0.406","Netball","Netball","no","yes","yes","no","yes","no","no","no","yes","yes","no","1","no","yes","yes","yes","no","no","no","9:00:00","7:15:00","Sticky tv","Sticky TV","-87","-69","-10","19","68","-50","-15","98",4,7
"6430","male","16","england","GBR","GBR","yes","no","no","no","no","no","no","no","","","","2","right","183","28","178","16","36","NA","95","90","100","walk","10","8000","8000","two","social","science","36","0.297","Soccer","Soccer","no","yes","yes","yes","yes","no","no","no","no","yes","no","17","no","yes","yes","yes","yes","no","no","10:00:00","7:30:00","Grey's anatomy","Grey's Anatomy","89","76","55","23","33","58","44","-33",3,12
"2","female","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","156","26","NA","18","36","40","95","90","33","bike","7","0","0","two","arts","health","38","0.39","Netball","Netball","yes","yes","yes","yes","no","no","no","no","yes","yes","no","13","no","yes","yes","yes","yes","no","no","8:45:00","6:00:00","Victorious","Victorious","0","37","100","100","38","100","-1","61",14,6
"8117","male","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","152","24","152","14","33","41","75","85","60","walk","12","7600","7600","two","mathstats","english","31","NA","Walking or hiking","Walking or hiking","no","no","yes","no","yes","no","no","no","yes","no","no","2","no","no","no","no","yes","no","no","8:45:00","7:30:00","","None","NA","NA","-100","100","100","NA","100","100",3,7
"14031","male","14","england","GBR","GBR","yes","no","no","no","no","no","no","no","British","British","","1","right","158","26","159","17","31","NA","80","90","18","motor","30","6000","6000","two","arts","mathstats","31","0.421","Winter sports (skiing, snowboarding, ice skating)","Winter sports (skiing, snowboarding, ice skating)","no","yes","yes","no","yes","no","no","no","no","yes","no","3","no","yes","no","no","yes","no","no","10:00:00","7:30:00","Torchwood","NA","100","100","100","44","75","30","81","29",3,10
"16380","male","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","160","26","167","16","30","46","81","85","14","motor","12","7500","7500","two","social","social","50","1.736","Soccer","Soccer","no","yes","yes","yes","yes","no","no","no","no","yes","no","13","yes","yes","no","yes","yes","no","no","10:00:00","7:15:00","Big bang theory","The Big Bang Theory","32","-10","4","-28","69","18","5","-38",3,9
"8083","female","12","Korea","KOR","KOR","no","no","no","no","no","no","no","no","Korean","Korean","K?rea","2","right","164","22","164","16","31","43","71","61","26","motor","7","2000","2000","two","arts","mathstats","35","0.484","Netball","Netball","no","yes","yes","yes","yes","no","no","no","no","no","no","11","yes","yes","no","yes","no","no","no","10:30:00","6:30:00","Glee","Glee","1","2","3","5","5","5","5","22",3,8
"15760","male","13","australia","AUS","AUS","no","no","no","yes","no","no","no","no","","","","2","right","159","24","150","NA","32","NA","NA","NA","590","walk","40","50","NA","two","english","english","58","NA","Kapahaka","Kapahaka","yes","no","no","no","no","no","no","no","no","no","yes","7","no","no","no","no","no","no","yes","8:00:00","7:00:00","Simpsons","The Simpsons","-8","98","99","-5","-4","-4","-1","-2",10,9
"17202","male","14","newzealand","NZL","NZL","no","no","yes","no","no","no","no","no","","","","2","right","166","24","166","17","32","NA","80","75","50","motor","15","800","800","two","english","arts","51","NA","Running or jogging","Running or jogging","no","no","no","no","no","no","no","no","no","no","yes","NA","no","no","no","no","yes","no","no","12:00:00","6:45:00","Bruce lee","NA","-20","2","-35","-10","20","-37","-10","-17",3,10
"10305","male","15","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","171","27","172","16","35","44","100","100","50","bike","4","4900","4900","two","arts","science","37","0.392","Other","Other","no","yes","yes","yes","yes","no","no","no","yes","yes","no","12","yes","yes","yes","yes","yes","no","no","NA","NA","Family guy","Family Guy","-22","-3","-3","-4","-2","-2","-73","-46",18,10
"293","female","13","Malta","MLT","MLT","no","no","no","no","no","no","no","no","Maltese","","NA","2","right","156","22","160","15","34","40","78","79","405","motor","4","6000","6000","one","technology","arts","38","0.671","Netball","Netball","no","yes","yes","yes","yes","no","no","no","yes","yes","no","15","yes","yes","yes","yes","no","no","no","10:30:00","7:30:00","Vampire diaries","The Vampire Diaries","33","17","43","69","74","29","53","6",9,9
"15059","female","13","newzealand","NZL","NZL","no","no","no","no","no","no","no","no","south african","South African","","1","right","162","25","170","NA","33","43","93","100","450","bus","15","2300","2300","two","health","arts","32","0.355","Dancing","Dancing","no","yes","yes","no","no","no","no","no","no","yes","no","13","yes","yes","no","yes","yes","no","no","10:15:00","6:45:00","Modern family","Modern Family","-93","-68","-86","-44","99","-86","-19","-96",3,9
"13726","female","13","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","","","","1","right","165","25","166","17","32","41","100","101","460","bus","15","500","500","two","health","arts","35","0.488","Basketball","Basketball","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","14","yes","no","yes","yes","yes","no","no","10:30:00","6:45:00","","None","73","58","-21","3","90","-30","-64","1",6,9
"13573","male","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","170","29","181","19","38","49","95","85","80","bus","30","4700","4700","two","technology","health","42","0.441","Basketball","Basketball","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","5","yes","yes","yes","yes","yes","no","no","10:30:00","7:15:00","Rude tube","NA","0","1","1","63","63","0","-97","100",6,10
