Country,Region,Life.Expectancy,GDP.per.Capita,Population,Year,Children.per.Woman
Angola,Sub-Saharan Africa,29.812,3520.610273,4232095, yr 1952,6.98
Benin,Sub-Saharan Africa,37.153,1062.7522,1738315, yr 1952,5.63
Botswana,Sub-Saharan Africa,47.432,851.2411407,442308, yr 1952,6.492
Burkina Faso,Sub-Saharan Africa,33.486,543.2552413,4469979, yr 1952,6.089
Burundi,Sub-Saharan Africa,38.881,339.2964587,2445618, yr 1952,6.801
Cameroon,Sub-Saharan Africa,38.344,1172.667655,5009067, yr 1952,5.684
Cape Verde,Sub-Saharan Africa,48.222,594.7341659,155037, yr 1952,6.564
Central African Rep.,Sub-Saharan Africa,,1071.310713,1291695, yr 1952,5.491
Chad,Sub-Saharan Africa,37.914,1178.665927,2682462, yr 1952,6.09
Comoros,Sub-Saharan Africa,40.553,1102.990936,153936, yr 1952,5.934
"Congo, Dem. Rep.",Sub-Saharan Africa,38.964,780.5423257,14100005, yr 1952,5.981
"Congo, Rep.",Sub-Saharan Africa,42.422,2125.621418,854885, yr 1952,5.676
Cote d'Ivoire,Sub-Saharan Africa,37.125,1388.594732,2977019, yr 1952,6.736
Equatorial Guinea,Sub-Saharan Africa,34.332,375.6431231,216964, yr 1952,5.502
Eritrea,Sub-Saharan Africa,35.716,,, yr 1952,6.962
Eritrea and Ethiopia,Sub-Saharan Africa,,,22299701, yr 1952,
Ethiopia,Sub-Saharan Africa,33.834,362.1462796,20860941, yr 1952,7.201
Gabon,Sub-Saharan Africa,36.798,4293.476475,420702, yr 1952,4.005
Gambia,Sub-Saharan Africa,,485.2306591,284320, yr 1952,5.392
Ghana,Sub-Saharan Africa,43.356,911.2989371,5581001, yr 1952,6.404
Guinea,Sub-Saharan Africa,34.425,,1465469, yr 1952,6.236
Guinea-Bissau,Sub-Saharan Africa,32.367,405.9006505,580653, yr 1952,7.589
Kenya,Sub-Saharan Africa,42.057,853.540919,6464046, yr 1952,7.45
Lesotho,Sub-Saharan Africa,41.85,298.8462121,748747, yr 1952,5.837
Liberia,Sub-Saharan Africa,36.588,575.5729961,863308, yr 1952,6.062
Madagascar,Sub-Saharan Africa,36.454,1443.011715,4762912, yr 1952,7.3
Malawi,Sub-Saharan Africa,36.166,369.1650802,2917802, yr 1952,6.776
Mali,Sub-Saharan Africa,35.438,452.3369807,3838168, yr 1952,6.185
Mauritania,Sub-Saharan Africa,41.828,743.1159097,1022556, yr 1952,6.296
Mauritius,Sub-Saharan Africa,50.185,1967.955707,516556, yr 1952,6.298
Mayotte,Sub-Saharan Africa,52.13,,22620, yr 1952,
Mozambique,Sub-Saharan Africa,31.035,468.5260381,6446316, yr 1952,6.6
Namibia,Sub-Saharan Africa,41.376,2423.780443,485831, yr 1952,5.99
Niger,Sub-Saharan Africa,,,, yr 1952,
Nigeria,Sub-Saharan Africa,35.919,1077.281856,33119096, yr 1952,6.548
Reunion,Sub-Saharan Africa,52.489,2718.885295,257700, yr 1952,5.622
Rwanda,Sub-Saharan Africa,39.849,493.3238752,2534927, yr 1952,7.778
Saint Helena,Sub-Saharan Africa,,,5252, yr 1952,
Sao Tome and Principe,Sub-Saharan Africa,46.231,879.5835855,60011, yr 1952,6.202
Senegal,Sub-Saharan Africa,38.328,1450.356983,2755589, yr 1952,5.914
Seychelles,Sub-Saharan Africa,,4913.363077,33460, yr 1952,
Sierra Leone,Sub-Saharan Africa,31.979,879.7877358,2143249, yr 1952,5.513
Somalia,Sub-Saharan Africa,32.778,1135.749842,2526994, yr 1952,7.25
Somaliland,Sub-Saharan Africa,,,, yr 1952,
South Africa,Sub-Saharan Africa,44.693,4725.295531,14264935, yr 1952,6.496
Sudan,Sub-Saharan Africa,41.322,1615.991129,8504667, yr 1952,6.649
Swaziland,Sub-Saharan Africa,41.207,1148.376626,290243, yr 1952,6.701
Tanzania,Sub-Saharan Africa,41.045,716.6500721,, yr 1952,6.733
Togo,Sub-Saharan Africa,40.979,859.8086567,1219113, yr 1952,6.328
Uganda,Sub-Saharan Africa,39.729,734.753484,5824797, yr 1952,6.896
Zambia,Sub-Saharan Africa,41.845,1147.388831,2672000, yr 1952,6.737
Zimbabwe,Sub-Saharan Africa,48.283,406.8841148,3080907, yr 1952,6.781
Afghanistan,South Asia,28.651,779.4453145,8425333, yr 1952,7.7
Bangladesh,South Asia,37.316,684,46886859, yr 1952,6.694
Bhutan,South Asia,36.062,,757716, yr 1952,6.67
India,South Asia,37.647,588,372000000, yr 1952,5.914
