Year,Total films,Action,Adult,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Horror,Music,Romance,Short,Thriller,Western
1888,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1889,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1890,5,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0
1891,9,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1892,19,0,0,0,3,1,0,1,0,0,0,0,1,9,0,0
1893,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1894,99,1,0,0,0,4,0,18,1,0,0,0,1,65,0,0
1895,133,0,0,0,1,6,1,31,1,0,1,0,0,83,0,0
1896,704,0,0,0,0,23,3,200,8,0,2,1,1,447,0,0
1897,1311,3,0,0,0,75,7,291,12,13,5,0,1,809,0,0
1898,892,2,0,2,1,81,2,234,17,2,4,0,1,410,1,0
1899,1063,0,0,1,2,81,1,314,14,1,6,0,1,408,0,2
1900,846,2,0,1,1,100,8,280,30,0,2,4,0,367,0,0
1901,1613,1,0,0,0,126,2,597,23,0,0,1,1,773,0,1
1902,1588,1,0,3,1,143,0,453,18,0,3,0,0,856,0,0
1903,2994,8,0,4,1,300,16,794,76,7,1,1,7,1652,0,8
1904,780,3,0,2,1,81,10,121,33,0,0,0,0,481,0,5
1905,532,2,1,4,0,69,14,81,47,3,1,0,1,293,0,0
1906,745,0,0,0,3,58,10,120,39,0,2,13,2,473,0,3
1907,799,0,1,3,7,91,1,77,55,0,1,39,3,500,1,7
1908,1015,19,1,3,5,80,13,52,86,0,3,23,10,668,0,14
1909,1392,4,0,5,7,165,15,68,129,2,1,17,20,874,5,39
1910,2447,1,2,16,9,343,31,95,331,5,5,1,94,1318,11,153
1911,4514,6,0,20,4,583,37,94,893,22,1,2,197,2320,27,256
1912,7363,9,0,44,12,1165,64,75,1380,27,6,0,339,3742,76,361
1913,8461,11,0,37,118,1508,80,77,1508,17,8,3,255,4386,50,331
1914,7682,16,1,48,54,1573,76,68,1289,5,9,0,164,3993,31,249
1915,8402,16,1,52,145,1752,69,103,1643,3,10,0,150,4024,43,224
1916,7935,15,0,44,309,1872,56,200,1688,4,7,1,84,3269,38,214
1917,5427,13,0,52,258,1315,69,151,1149,8,7,1,79,1987,27,158
1918,3171,13,0,47,161,790,39,114,747,3,5,1,104,850,12,122
1919,2982,32,0,57,145,745,82,137,684,0,9,0,116,722,8,167
1920,3588,20,2,74,265,898,90,228,649,4,19,1,78,1013,9,148
1921,3725,29,2,55,234,839,81,316,539,6,7,0,95,1173,5,207
1922,3342,26,0,45,188,802,54,221,519,15,5,0,110,1040,10,207
1923,2938,21,2,41,163,691,75,203,479,22,7,10,77,883,6,150
1924,2991,26,3,41,170,738,62,160,424,21,10,7,81,906,15,213
1925,3439,41,6,52,230,876,27,260,405,25,5,6,89,1053,5,264
1926,3506,56,0,50,270,930,44,167,403,19,6,10,119,1087,14,251
1927,3638,48,1,40,232,952,41,276,446,20,6,5,142,1102,11,205
1928,3187,47,0,37,192,781,51,211,445,25,4,15,108,949,13,186
1929,2948,31,1,38,178,637,52,139,370,42,6,66,107,918,13,117
1930,2753,16,2,37,191,566,64,139,357,41,3,42,137,762,7,110
1931,2589,14,0,30,219,553,85,101,405,57,11,27,112,661,12,94
1932,2817,21,1,36,243,491,103,274,418,79,21,35,103,635,17,109
1933,2800,19,3,36,221,541,79,280,399,73,18,35,127,612,20,68
1934,2784,22,3,46,220,524,72,142,432,74,12,32,123,674,16,91
1935,2855,48,1,47,206,526,88,170,402,78,17,29,128,623,20,150
1936,3118,29,0,54,212,560,113,338,418,100,18,36,116,624,23,137
1937,3428,43,0,71,192,558,121,363,492,107,7,41,138,699,33,138
1938,3127,42,0,66,211,589,115,212,469,108,4,48,125,627,17,121
1939,2812,29,0,64,184,503,109,165,499,121,13,42,95,522,29,129
1940,2589,29,2,74,194,484,80,142,401,110,22,22,88,486,23,141
1941,2715,32,1,55,199,496,55,197,342,127,17,33,91,577,24,134
1942,2817,45,1,54,226,454,61,231,388,128,20,35,70,580,33,124
1943,2490,32,0,53,193,391,44,219,345,89,19,30,73,492,34,107
1944,2415,21,0,44,191,342,47,156,326,93,28,36,77,523,31,108
1945,2268,21,1,36,150,309,58,206,328,72,23,43,62,497,31,91
1946,2312,19,0,36,135,323,77,179,405,98,19,46,73,444,37,103
1947,2399,20,1,52,153,325,95,202,449,106,8,42,80,435,35,107
1948,2630,37,2,60,170,383,90,187,497,124,8,52,82,494,36,133
1949,2976,37,1,64,175,444,119,178,590,155,13,97,116,468,43,140
1950,2924,39,2,66,152,413,137,265,606,172,4,59,76,446,26,151
1951,3147,40,1,76,181,481,118,255,646,156,12,47,100,520,34,122
1952,3124,43,1,98,159,482,99,327,630,167,8,49,106,485,29,127
1953,3254,60,0,98,168,490,96,324,656,177,15,49,113,531,39,94
1954,3369,48,0,121,174,459,136,278,672,196,22,54,140,551,48,93
1955,3501,49,6,108,157,486,133,314,749,216,19,50,153,560,40,101
