Year,Genre,Count
1888,Short,2
1889,Short,1
1890,Short,3
1891,Short,7
1892,Short,9
1893,Short,2
1894,Short,65
1895,Short,83
1896,Short,447
1897,Short,809
1898,Short,410
1899,Short,408
1900,Short,367
1901,Short,773
1902,Short,856
1903,Short,1652
1904,Short,481
1905,Short,293
1906,Short,473
1907,Short,500
1908,Short,668
1909,Short,874
1910,Short,1318
1911,Short,2320
1912,Short,3742
1913,Short,4386
1914,Short,3993
1915,Short,4024
1916,Short,3269
1917,Short,1987
1918,Short,850
1919,Short,722
1920,Short,1013
1921,Short,1173
1922,Short,1040
1923,Short,883
1924,Short,906
1925,Short,1053
1926,Short,1087
1927,Short,1102
1928,Short,949
1929,Short,918
1930,Short,762
1931,Short,661
1932,Short,635
1933,Short,612
1934,Short,674
1935,Short,623
1936,Short,624
1937,Short,699
1938,Short,627
1939,Short,522
1940,Short,486
1941,Short,577
1942,Short,580
1943,Short,492
1944,Short,523
1945,Short,497
1946,Short,444
1947,Short,435
1948,Short,494
1949,Short,468
1950,Short,446
1951,Short,520
1952,Short,485
1953,Short,531
1954,Short,551
1955,Short,560
1956,Short,547
1957,Short,561
1958,Short,548
1959,Short,517
1960,Short,564
1961,Short,573
1962,Short,717
1963,Short,695
1964,Short,755
1965,Short,840
1966,Short,878
1967,Short,953
1968,Short,833
1969,Short,823
1970,Short,782
1971,Short,884
1972,Short,736
1973,Short,688
1974,Short,755
1975,Short,825
1976,Short,783
1977,Short,614
1978,Short,708
1979,Short,701
1980,Short,753
1981,Short,584
1982,Short,615
1983,Short,593
1984,Short,644
1985,Short,735
1986,Short,769
1987,Short,782
1988,Short,782
1989,Short,809
1990,Short,891
1991,Short,1052
1992,Short,1149
1993,Short,1209
1994,Short,1479
1995,Short,1613
1996,Short,1941
1997,Short,2051
1998,Short,2692
1999,Short,3101
2000,Short,3509
2001,Short,3904
2002,Short,4716
2003,Short,5576
2004,Short,7089
2005,Short,7764
2006,Short,6308
1888,Drama,0
1889,Drama,0
1890,Drama,0
1891,Drama,0
1892,Drama,0
1893,Drama,0
1894,Drama,1
1895,Drama,1
1896,Drama,8
1897,Drama,12
1898,Drama,17
1899,Drama,14
1900,Drama,30
1901,Drama,23
1902,Drama,18
1903,Drama,76
1904,Drama,33
1905,Drama,47
1906,Drama,39
1907,Drama,55
1908,Drama,86
1909,Drama,129
1910,Drama,331
1911,Drama,893
1912,Drama,1380
1913,Drama,1508
1914,Drama,1289
1915,Drama,1643
1916,Drama,1688
1917,Drama,1149
1918,Drama,747
1919,Drama,684
1920,Drama,649
1921,Drama,539
1922,Drama,519
1923,Drama,479
1924,Drama,424
1925,Drama,405
