ethnicity,region,sex,agegrp,qualification,occupation,hours,income
Asian,Auckland,male,35,other,clerical,45,891
Asian,Auckland,female,45,degree,clerical,20,414
Asian,BoP,female,20,school,clerical,40,587
Asian,Auckland,male,25,degree,clerical,42.5,390
Asian,Auckland,male,40,degree,clerical,0,3165
Asian,Manawatu,female,20,vocational,clerical,40,635
Asian,Auckland,male,35,degree,clerical,40,3568
Asian,Auckland,male,30,degree,clerical,40,1055
Asian,Auckland,female,55,school,clerical,40,752
Asian,BoP,male,50,degree,clerical,40,1191
Asian,Auckland,female,45,vocational,clerical,32,389
Asian,Wellington,female,40,other,clerical,0,0
Asian,Wellington,male,30,other,clerical,40,1188
Asian,BoP,female,20,school,clerical,20,936
Asian,Auckland,female,60,degree,clerical,3,81
Asian,Wellington,male,25,school,clerical,37,0
Asian,Auckland,female,30,degree,clerical,20,213
Asian,Auckland,female,30,degree,clerical,37.5,720
Asian,Auckland,female,20,none,clerical,26,372
Asian,Auckland,male,25,degree,clerical,46,580
Asian,Gisborne,female,55,school,clerical,30,422
Asian,Auckland,female,45,degree,clerical,37,0
Asian,Auckland,male,40,degree,clerical,40,811
Asian,Wellington,male,35,vocational,clerical,40,534
Asian,Auckland,female,45,other,clerical,40,770
Asian,BoP,male,40,other,clerical,40,1312
Asian,Auckland,male,45,degree,clerical,47.5,2709
Asian,Wellington,female,30,school,clerical,30,641
Asian,Auckland,female,35,degree,clerical,40,770
Asian,Christchurch,female,30,none,clerical,45,1079
Asian,Auckland,male,35,vocational,clerical,0,1381
Asian,Auckland,female,55,school,clerical,40,967
Asian,Nelson,female,30,none,clerical,25,647
Asian,Auckland,female,55,school,clerical,0,532
Asian,Auckland,female,30,other,clerical,40,1456
Asian,Auckland,female,60,vocational,clerical,10,530
Asian,BoP,male,15,school,clerical,30,513
Asian,Southland,female,45,vocational,clerical,0,1198
Asian,Auckland,female,35,degree,clerical,37.5,1317
Asian,Christchurch,female,25,other,clerical,40,600
Asian,Auckland,female,50,degree,clerical,40,935
Asian,Taranaki,male,35,none,clerical,4,64
Asian,Auckland,female,30,school,clerical,40,1298
Asian,Auckland,female,40,vocational,clerical,20,844
Asian,Wellington,male,35,degree,clerical,37.5,871
Asian,Auckland,female,25,other,clerical,37.5,915
Asian,Auckland,male,30,degree,clerical,44,859
Asian,Auckland,female,45,vocational,clerical,0,-105
Asian,Auckland,female,40,none,clerical,30,1424
Asian,Gisborne,female,50,school,clerical,40,1540
Asian,Auckland,female,20,school,clerical,7,108
Asian,Auckland,female,25,other,clerical,41.5,894
Asian,Auckland,male,35,school,clerical,45,879
Asian,Auckland,female,55,school,clerical,40,695
Asian,Auckland,female,60,other,clerical,12,453
Asian,Christchurch,male,40,degree,clerical,0,5342
Asian,Auckland,male,30,degree,clerical,45,1845
Asian,Auckland,male,30,vocational,clerical,28,425
Asian,Auckland,male,45,degree,clerical,0,-142
Asian,Christchurch,female,30,school,clerical,30,1139
Asian,Southland,female,30,none,clerical,34.5,774
Asian,Auckland,female,20,school,clerical,45,793
Asian,Waikato,female,50,school,clerical,0,1095
Asian,Manawatu,female,45,school,clerical,40,811
Asian,Christchurch,female,60,other,clerical,40,648
Asian,Wellington,male,20,school,clerical,40,886
Asian,Auckland,female,25,vocational,clerical,50,839
Asian,Christchurch,male,55,degree,clerical,45,1212
Asian,Auckland,male,60,school,clerical,40,704
Asian,Auckland,female,20,degree,clerical,50,1125
Asian,Auckland,female,25,none,clerical,40,1056
Asian,Auckland,male,35,degree,clerical,42.5,1477
Asian,Auckland,male,20,other,clerical,32,688
Asian,Auckland,female,20,degree,clerical,40,638
Asian,BoP,female,40,degree,clerical,27.5,406
Asian,Auckland,female,30,degree,clerical,0,0
Asian,Auckland,female,45,degree,clerical,40,844
Asian,Auckland,male,60,degree,clerical,42.5,932
Asian,Auckland,female,45,degree,clerical,0,-224
Asian,BoP,male,30,other,clerical,27.5,519
Asian,Auckland,female,50,school,clerical,20,669
Asian,Wellington,male,20,degree,clerical,32,571
Asian,Auckland,female,35,degree,clerical,44,960
Asian,Wellington,female,35,school,clerical,2.5,1261
Asian,Auckland,female,35,vocational,clerical,30,519
Asian,Auckland,male,25,vocational,clerical,42,1289
Asian,Auckland,female,40,other,clerical,39,765
Asian,Auckland,female,15,none,clerical,0,-211
Asian,Auckland,male,25,vocational,clerical,40,552
Asian,Auckland,male,25,degree,clerical,0,1058
