Order,Latitude,Longitude,Depth,Felt,Magnitude,RMS,NorMidSth,Month,Day,Hour,Minute
1,-39.14346863,174.8942337,-218,N,4.289,0.19,North,1,3,11,53
2,-37.70441295,177.2514052,-65,Y,4.454,0.21,North,1,4,18,44
3,-40.25042743,173.5699691,-196,N,4.035,0.247,North,1,6,19,19
4,-38.14048235,176.3235333,-158,N,4.479,0.205,North,1,7,12,30
5,-36.96740787,177.0198656,-212,N,4.049,0.183,North,1,7,15,30
6,-38.14229232,176.3165733,-165,N,4.566,0.245,North,1,11,16,39
7,-36.96210683,176.9624951,-183,N,4.068,0.332,North,1,13,21,34
8,-37.15912775,177.4722729,-130,N,4.441,0.153,North,1,14,18,2
9,-40.96799215,172.8746687,-188,N,4.211,0.265,North,1,17,20,34
10,-45.08135583,167.4519623,-5,N,4.163,0.22,South,1,18,5,37
11,-36.69119007,176.966742,-182,N,4.022,0.211,North,1,19,2,14
12,-38.04953059,176.0281611,-205,N,4.051,0.186,North,1,19,15,42
13,-37.74035659,176.1714316,-284,N,4.623,0.209,North,1,20,18,30
14,-36.98692769,177.5626368,-125,N,4.055,0.138,North,1,20,22,57
15,-38.86292052,175.8088586,-104,N,4.228,0.237,North,1,21,22,50
16,-38.5298868,175.8852706,-181,N,4.955,0.342,North,1,23,9,2
17,-37.73051665,176.217242,-218,N,4.184,0.243,North,1,23,10,18
18,-45.37228867,167.352187,-106,N,4.525,0.235,South,1,26,7,48
19,-45.15718883,167.5009159,-96,N,4.32,0.255,South,1,26,18,38
20,-41.2659814,172.6015147,-197,N,4.048,0.197,Mid,1,28,17,6
21,-37.77562597,177.5081933,-99,N,4.322,0.154,North,2,1,12,59
22,-44.45903687,168.0626384,-5,N,4.509,0.159,South,2,2,3,27
23,-38.63832773,175.6242474,-167,N,4.086,0.203,North,2,2,11,48
24,-38.34315554,176.3805834,-108,N,4.153,0.174,North,2,4,10,0
25,-40.39361375,175.6120931,-48,Y,4.16,0.226,North,2,5,3,18
26,-37.7479772,176.3349126,-164,N,4.05,0.191,North,2,5,6,27
