Course,Gender,Element,Zodiac,Season,NumCountries,Ethnicity,WeightActual,WeightIdeal,WeightDiff,Vote,Religion,Driving,NumYears,Speed,Tickets,Looks,Intelligence,SocialMedia,DayBorn,Under20,TxtSent,StudentLoan,DrinkSpend,DrinkCount,Earning,Work,Confidence,Extravagance,Shoes
S101,Male,Earth,Virgo,Spring,7,NZ.European,73,76,-3,Green,Yes,Excellent,8,140,No,7.2,7.4,120,Wednesday,Yes,20,Yes,None,None,High,Yes,63,56.4,3
S108,Female,Water,Scorpio,Spring,8,Chinese,46,45,1,National,Yes,Average,3,80,No,6.5,6.5,120,Friday,Yes,15,No,None,None,DontKnow,No,57,60.5,9
S101,Female,Air,Libra,Spring,1,Indian,60,50,10,National,Yes,Poor,3,0,No,6.1,7.8,90,Saturday,Yes,10,Yes,None,None,Medium,No,50.5,48.5,10
S101,Female,Air,Aquarius,Summer,7,Chinese,87,55,32,None,Yes,Poor,17,60,No,7.4,6.1,420,Wednesday,No,5,Yes,Low,None,DontKnow,No,46.6,71.3,15
S101G,Male,Fire,Leo,Winter,1,Korean,67,75,-8,None,No,Average,8,60,No,7.2,9.5,240,Wednesday,Yes,5,Yes,None,None,Medium,No,62,59.4,3
S108,Male,Air,Aquarius,Summer,3,Chinese,70,80,-10,National,Yes,Average,11,160,No,6,5.3,510,Thursday,Yes,20,Yes,None,None,Medium,Yes,45,59.7,3
S101,Male,Air,Libra,Spring,1,Chinese,60,70,-10,None,Yes,AboveAverage,0,0,No,6,7.8,180,Wednesday,No,20,No,None,None,High,No,59.6,53.9,5
S108,Male,Fire,Sagittarius,Summer,4,Korean,53,65,-12,National,Yes,Average,9,110,Yes,10,9.7,210,Monday,No,10,Yes,Low,Low,High,No,75.7,72.2,4
S101,Female,Fire,Sagittarius,Summer,3,NZ.European,65,50,15,Green,No,Average,19,20,No,3.4,4.2,90,Tuesday,No,25,Yes,None,None,Medium,No,33.6,55.4,25
S108,Female,Air,Libra,Spring,7,Other,62,58,4,None,No,AboveAverage,4,150,No,3.7,5.1,150,Friday,Yes,30,Yes,Low,Low,Medium,No,42.3,70.3,10
S101,Female,Earth,Virgo,Spring,4,Other,55,60,-5,Green,Yes,Average,12,100,No,4.3,8.1,120,Monday,Yes,5,Yes,None,None,High,Yes,51.5,51,10
S101,Male,Earth,Virgo,Spring,5,Chinese,70,81,-11,None,No,Average,10,80,No,6,9.5,0,Friday,Yes,1,No,None,None,DontKnow,No,58.3,25.6,3
S108,Male,Fire,Sagittarius,Summer,3,Maori/P.I.,96,80,16,None,Yes,AboveAverage,17,120,No,7.3,6.2,270,Tuesday,Yes,200,Yes,None,None,High,No,57.2,67.4,15
S101,Female,Air,Aquarius,Summer,2,Chinese,65,55,10,National,Yes,Average,10,0,No,4.9,4.6,70,Saturday,Yes,50,No,None,None,Low,No,35.8,50,10
S108,Male,Water,Cancer,Winter,4,Maori/P.I.,90,90,0,Labour,Yes,Average,13,0,No,10,9.7,0,Friday,Yes,20,Yes,None,None,High,Yes,83.2,9.9,23
S101,Female,Earth,Capricorn,Summer,18,NZ.European,68,64,4,Green,No,Excellent,59,140,Yes,4.9,6.9,0,Saturday,No,20,Yes,High,Low,Low,Yes,47.9,35.9,12
S108,Male,Water,Scorpio,Spring,20,NZ.European,90,90,0,Other,No,Excellent,14,190,No,7.5,7.5,90,Monday,Yes,30,Yes,High,High,DontKnow,No,66.5,74.7,8
S108,Male,Water,Cancer,Winter,1,Chinese,60,70,-10,Labour,No,BelowAverage,8,70,No,7.1,5,35,Wednesday,Yes,1,Yes,None,None,Low,No,42.5,45.8,3
S101,Female,Fire,Aries,Autumn,6,NZ.European,50,53,-3,None,No,AboveAverage,20,110,Yes,8.9,5,150,Wednesday,No,20,Yes,Low,Low,DontKnow,Yes,58.5,63.2,5
S108,Male,Water,Scorpio,Spring,3,Indian,73,75,-2,National,Yes,Average,13,100,No,6.8,8.1,150,Thursday,Yes,25,Yes,None,None,Medium,No,61.5,60.8,2
S108,Female,Water,Scorpio,Spring,3,NZ.European,50,50,0,Labour,No,Average,18,100,No,7.8,8,30,Monday,Yes,100,Yes,None,None,DontKnow,Yes,66.5,41.4,10
S101,Female,Air,Aquarius,Summer,3,NZ.European,67,63,4,National,No,AboveAverage,18,130,No,5.9,6.9,150,Saturday,Yes,30,Yes,High,Low,Medium,Yes,53.5,59.7,5
S108,Female,Water,Piscies,Autumn,4,Maori/P.I.,56,51,5,Other,No,AboveAverage,17,120,No,6.4,6.4,60,Thursday,Yes,10,Yes,None,None,DontKnow,Yes,53.7,47.6,30
S108,Male,Water,Scorpio,Spring,1,Chinese,63,63,0,National,No,Excellent,3,110,Yes,4.8,4.8,180,Saturday,Yes,25,Yes,Low,Low,DontKnow,Yes,50.2,62.4,10
S101,Female,Air,Aquarius,Summer,8,NZ.European,63,62,1,Other,Yes,AboveAverage,4,110,No,5.1,7,82,Thursday,Yes,300,No,Low,High,Medium,Yes,55.6,59,5
S108,Male,Fire,Sagittarius,Summer,7,NZ.European,100,90,10,National,No,Average,18,100,No,5.1,5.1,60,Sunday,Yes,200,No,Low,Low,Medium,No,41.7,66.3,4
S101,Female,Water,Piscies,Autumn,2,Indian,70,65,5,Labour,Yes,Excellent,18,110,No,6.4,5.1,0,Friday,Yes,0,Yes,None,None,Medium,No,51.1,23.3,5
S108,Male,Air,Aquarius,Summer,4,NZ.European,62,65,-3,National,No,BelowAverage,17,100,No,3.2,8.4,60,Wednesday,Yes,15,Yes,None,None,Medium,Yes,48.2,51.2,6
S108,Male,Earth,Taurus,Autumn,3,Chinese,60,70,-10,National,Yes,Average,7,100,No,6.1,6.1,120,Wednesday,Yes,50,Yes,None,None,DontKnow,No,48.6,60.2,4
S101,Female,Water,Scorpio,Spring,5,NZ.European,55,50,5,None,No,Average,14,110,No,1.7,5.8,195,Tuesday,Yes,40,Yes,None,None,Low,Yes,31.8,53.9,15
S108,Female,Water,Cancer,Winter,1,NZ.European,50,50,0,National,No,BelowAverage,18,80,No,7.6,6.7,60,Saturday,Yes,100,No,None,None,Medium,No,59.9,54.5,8
S101,Female,Fire,Leo,Winter,3,Other,72,70,2,Labour,No,AboveAverage,10,120,No,10,9.7,30,Thursday,No,20,Yes,Low,Low,Low,Yes,72.5,46.6,4
S101,Female,Water,Cancer,Winter,1,NZ.European,55,55,0,National,No,Average,18,80,No,10,7.8,180,Thursday,Yes,100,Yes,Low,Low,High,No,77.5,68.6,27
S101,Female,Air,Aquarius,Summer,6,Korean,53,40,13,None,Yes,Average,1,0,No,10,8.1,30,Thursday,No,20,No,None,None,Medium,No,65.8,45.6,8
S101,Female,Air,Libra,Spring,1,NZ.European,67,57,10,Green,No,Poor,18,0,No,5.1,4.7,90,Sunday,Yes,20,Yes,None,None,DontKnow,No,38.9,49.4,3
S101G,Female,Earth,Taurus,Autumn,7,NZ.European,75,70,5,Labour,No,BelowAverage,18,70,No,7.2,8.3,150,Friday,Yes,50,Yes,High,Low,DontKnow,Yes,59.5,65.6,6
S108,Female,Earth,Capricorn,Summer,2,Korean,55,50,5,None,Yes,BelowAverage,11,0,No,7.1,7.1,120,Monday,Yes,20,No,None,None,DontKnow,No,55.5,52.3,8
S108,Female,Fire,Aries,Autumn,3,Chinese,54,50,4,Labour,No,BelowAverage,2,0,No,6,7.9,180,Thursday,Yes,5,No,None,None,Medium,No,55.4,54,15
S108,Female,Earth,Virgo,Spring,2,Korean,52,45,7,Labour,Yes,Average,8,50,No,7.4,9,330,Wednesday,Yes,10,No,None,None,High,No,67.3,63.1,7
S101,Male,Water,Cancer,Winter,1,Other,76,78,-2,National,Yes,Excellent,14,160,No,9.3,7.8,30,Thursday,No,40,Yes,None,None,High,No,75.3,49.9,4
S108,Male,Water,Scorpio,Spring,0,NZ.European,57,65,-8,National,No,Excellent,19,160,No,6.2,7.5,120,Monday,No,100,Yes,Low,Low,Medium,No,56.4,65.1,6
S108,Female,Earth,Virgo,Spring,20,Chinese,64,55,9,Labour,Yes,Excellent,19,120,No,4.4,5.8,330,Tuesday,Yes,5,No,Low,Low,DontKnow,Yes,45.3,69.2,10
S101G,Male,Water,Cancer,Winter,15,NZ.European,77,75,2,National,Yes,AboveAverage,18,170,No,8.3,7.9,30,Sunday,No,20,Yes,Low,Low,Medium,Yes,65.6,56.1,6
S101,Male,Fire,Leo,Winter,4,NZ.European,73,80,-7,None,No,AboveAverage,18,130,No,7.9,7.8,150,Wednesday,Yes,20,Yes,High,High,Medium,No,60.6,73.3,4
S101,Male,Water,Scorpio,Spring,3,NZ.European,85,90,-5,Other,No,Average,19,100,No,6.9,7.5,30,Friday,No,5,Yes,High,Low,Medium,No,56.5,58.8,4
S108,Male,Water,Piscies,Autumn,15,Chinese,70,70,0,National,Yes,Average,18,100,No,1,7.4,120,Sunday,Yes,10,No,None,Low,DontKnow,No,44.1,64.1,4
S101,Female,Water,Piscies,Autumn,0,NZ.European,55,58,-3,Labour,No,Poor,18,0,No,6.5,6.3,60,Thursday,Yes,170,Yes,None,None,High,No,51.7,47.7,6
S101,Female,Water,Scorpio,Spring,1,NZ.European,75,68,7,Labour,No,Excellent,18,110,Yes,6.5,7.5,60,Monday,Yes,5,No,None,None,Low,Yes,44.7,42.1,10
S101,Female,Fire,Leo,Winter,6,NZ.European,68,59,9,National,Yes,Excellent,21,160,Yes,5.1,5.1,120,Sunday,No,10,Yes,High,Low,High,Yes,45.5,58.7,15
S108,Male,Earth,Capricorn,Summer,1,NZ.European,70,65,5,National,Yes,Excellent,18,180,Yes,7.8,6,630,Saturday,Yes,100,Yes,High,High,High,No,59.1,85.3,5
S101,Male,Earth,Virgo,Winter,1,NZ.European,65,70,-5,Green,No,Average,25,0,No,6.7,7.5,30,Friday,No,0,Yes,None,None,Low,No,52.1,38.4,3
S101,Female,Air,Libra,Spring,2,NZ.European,61,55,6,Green,No,AboveAverage,31,140,No,7.8,8.7,182,Thursday,No,10,Yes,None,Low,Medium,Yes,64.5,48.4,10
S101,Female,Earth,Capricorn,Summer,11,NZ.European,60,56,4,Green,No,Average,19,120,No,2.9,5.9,60,Saturday,Yes,50,Yes,Low,Low,Medium,Yes,40.1,57.2,12
S108,Female,Air,Aquarius,Summer,4,Chinese,48,47,1,Green,Yes,Poor,1,0,No,5.4,5.1,330,Thursday,Yes,20,No,None,None,DontKnow,No,47,60.2,5
S108,Female,Water,Cancer,Winter,8,NZ.European,60,55,5,National,Yes,Poor,18,0,No,6.4,4.5,80,Sunday,Yes,50,No,High,Low,DontKnow,Yes,44.3,55.4,15
S108,Female,Water,Piscies,Autumn,7,Other,57,54,3,National,Yes,Average,9,80,No,7.7,8.2,60,Tuesday,Yes,40,Yes,None,None,Medium,No,62.5,57,17
S108,Male,Earth,Capricorn,Summer,18,Maori/P.I.,80,80,0,National,No,AboveAverage,19,110,Yes,7.4,7.4,60,Sunday,No,15,No,High,High,DontKnow,Yes,64.7,62.2,2
S108,Male,Earth,Virgo,Winter,1,Chinese,70,75,-5,National,No,AboveAverage,1,0,No,5.4,6,70,Sunday,No,10,No,None,None,DontKnow,No,49.5,46.9,2
S108,Male,Fire,Sagittarius,Summer,7,Chinese,58,68,-10,None,No,AboveAverage,0,130,No,7.2,6.6,60,Monday,No,10,No,None,None,Medium,No,53.8,55.9,4
S108,Male,Water,Scorpio,Spring,8,NZ.European,77,75,2,National,No,AboveAverage,11,160,No,8.7,6.1,30,Monday,Yes,50,No,High,High,DontKnow,Yes,62.3,53.2,9
S101,Female,Earth,Taurus,Autumn,1,Maori/P.I.,66,55,11,Labour,Yes,Excellent,7,100,No,10,7.1,10,Thursday,No,25,Yes,None,None,Medium,Yes,65.7,31.6,12
S108,Male,Fire,Aries,Autumn,14,NZ.European,70,80,-10,National,Yes,AboveAverage,17,200,Yes,7.5,6.9,30,Sunday,Yes,90,Yes,None,None,Medium,No,55.6,59.1,4
S101,Female,Water,Scorpio,Spring,6,Other,52,56,-4,None,Yes,Average,12,110,No,6.3,6.2,0,Tuesday,Yes,3,Yes,None,None,Medium,No,52.3,27.3,25
S101,Male,Water,Scorpio,Spring,1,Chinese,70,70,0,Labour,Yes,Average,9,110,No,8.1,9.2,90,Sunday,No,50,Yes,Low,Low,Low,No,66.5,63.6,4
S108,Female,Air,Libra,Spring,5,Chinese,110,110,0,None,No,Average,1,0,No,6,6.1,240,Saturday,No,50,No,None,None,DontKnow,No,55.3,59.7,20
S108,Female,Fire,Sagittarius,Summer,4,Chinese,165,50,115,Labour,No,Average,13,100,No,5.1,4.8,120,Tuesday,Yes,50,Yes,None,None,Medium,No,33.4,60.8,5
S101,Female,Air,Libra,Spring,2,Indian,90,70,20,National,Yes,Excellent,18,100,Yes,5.1,5.1,250,Saturday,Yes,5,Yes,None,None,Low,No,38.3,66.8,8
S101,Female,Fire,Leo,Winter,3,Chinese,47,47,0,None,No,Poor,1,0,No,4.8,5,60,Saturday,No,50,No,None,None,DontKnow,No,45.9,49.7,6
S108,Male,Fire,Leo,Winter,5,NZ.European,76,72,4,None,No,Excellent,19,150,No,5.7,8.5,390,Monday,No,20,Yes,None,None,Low,No,55.2,68.2,9
S101,Female,Earth,Capricorn,Summer,5,Chinese,39,40,-1,National,No,BelowAverage,17,0,No,5,7.5,10,Friday,Yes,1,No,None,None,DontKnow,No,54.3,35.4,5
S108,Male,Water,Cancer,Winter,10,NZ.European,105,90,15,National,No,AboveAverage,18,140,No,6.2,7.2,300,Saturday,Yes,50,No,High,High,DontKnow,Yes,52.2,72.5,10
S101,Male,Water,Piscies,Summer,12,NZ.European,90,95,-5,Green,No,AboveAverage,22,180,No,6,5.9,30,Wednesday,No,50,Yes,High,High,Low,Yes,46.4,57.7,1
S108,Female,Earth,Capricorn,Summer,1,Chinese,53,50,3,Labour,No,Poor,1,0,No,5.9,8.1,150,Friday,No,10,No,None,None,DontKnow,No,55.1,51.8,6
S101,Female,Air,Aquarius,Summer,3,Chinese,52,50,2,None,No,AboveAverage,4,0,No,7.7,7.8,120,Wednesday,No,2,No,None,None,Medium,No,64.5,50.5,10
S101,Female,Earth,Taurus,Autumn,3,Other,54,50,4,Labour,No,Average,19,150,No,6.3,6.2,0,Sunday,No,35,Yes,None,None,Medium,Yes,51.4,20.7,18
S101,Male,Air,Aquarius,Summer,2,Chinese,65,65,0,National,No,Poor,3,0,No,5.1,9.8,30,Saturday,Yes,10,No,None,None,High,Yes,62.5,34,4
S101,Female,Water,Scorpio,Spring,3,Maori/P.I.,67,61,6,National,Yes,Average,18,130,Yes,5,5.1,270,Friday,Yes,60,Yes,High,Low,High,No,48.7,78.9,20
S101,Male,Earth,Capricorn,Summer,20,Other,70,75,-5,National,No,Average,0,110,No,7.7,5.6,60,Monday,No,30,Yes,High,High,Low,No,49.4,71.4,4
S101,Female,Earth,Capricorn,Summer,2,Maori/P.I.,98,70,28,None,Yes,Average,0,130,No,7,6.8,240,Friday,No,5,Yes,High,Low,Low,Yes,45.8,64.7,10
S108,Female,Water,Piscies,Summer,2,NZ.European,50,50,0,Green,No,Average,18,100,No,5.9,6.7,60,Friday,Yes,15,Yes,None,None,Low,No,52.2,53.5,7
S101,Female,Fire,Aries,Autumn,6,Maori/P.I.,71,65,6,Labour,Yes,AboveAverage,7,220,No,4.8,5.1,0,Sunday,Yes,100,Yes,None,None,Medium,Yes,43.5,21.8,20
S108,Female,Air,Gemini,Winter,1,Chinese,50,45,5,Other,No,AboveAverage,2,0,No,4.8,4.8,150,Tuesday,No,30,No,Low,Low,High,No,48.9,60.2,10
S101,Female,Air,Aquarius,Summer,2,Chinese,53,50,3,None,Yes,Average,2,100,No,5.1,5.1,130,Tuesday,Yes,30,No,None,None,Medium,No,46.2,59.3,10
S101,Female,Fire,Leo,Winter,5,Other,72,57,15,None,No,AboveAverage,2,130,No,7.7,6,240,Sunday,No,200,No,None,Low,DontKnow,No,53.2,70.2,25
S101G,Male,Earth,Virgo,Spring,7,NZ.European,160,180,-20,Green,Yes,Excellent,19,50,No,5.1,5.1,1420,Friday,Yes,1,Yes,Low,High,High,Yes,47.8,74.5,4
S108,Female,Air,Gemini,Winter,1,NZ.European,59,60,-1,None,Yes,BelowAverage,17,0,No,6.9,7.8,120,Tuesday,Yes,30,Yes,None,None,Low,No,48.1,51.7,3
S108,Male,Earth,Virgo,Spring,31,Other,79,75,4,National,No,Excellent,5,160,No,8.1,8,90,Thursday,Yes,20,Yes,High,Low,High,No,66.7,73.4,15
S101,Male,Air,Gemini,Winter,7,Other,80,80,0,National,Yes,Excellent,16,140,No,8.6,6.1,120,Friday,Yes,5,Yes,None,None,Medium,Yes,64.7,49.3,4
S101,Male,Earth,Capricorn,Summer,2,NZ.European,88,92,-4,National,No,Excellent,19,140,No,8.3,8.3,300,Thursday,Yes,15,Yes,High,High,Medium,No,67.2,76.2,10
S108,Female,Air,Gemini,Winter,2,Other,48,45,3,Labour,Yes,BelowAverage,4,0,No,1.5,6.2,270,Thursday,Yes,10,Yes,None,None,High,No,38.4,56.7,10
S108,Male,Fire,Leo,Winter,6,NZ.European,78,80,-2,National,No,Excellent,18,140,No,7.9,8,0,Wednesday,Yes,10,Yes,None,None,Medium,Yes,66.9,18.9,5
S101,Male,Air,Aquarius,Summer,9,NZ.European,80,75,5,National,No,AboveAverage,17,120,Yes,6.7,6.5,60,Monday,Yes,20,No,Low,Low,Low,No,50.3,66.9,5
S101,Female,Water,Scorpio,Spring,1,Korean,48,46,2,Labour,No,AboveAverage,10,110,No,6.9,7,135,Wednesday,Yes,300,Yes,None,Low,Medium,No,58.7,63.9,7
S101,Female,Earth,Capricorn,Summer,5,Chinese,58,53,5,Green,No,Average,15,110,No,4.1,5.7,15,Sunday,Yes,2,Yes,None,None,Low,Yes,38.8,36.9,6
S108,Female,Water,Cancer,Winter,3,NZ.European,60,58,2,National,Yes,AboveAverage,18,120,No,7,7.1,90,Wednesday,Yes,100,No,Low,Low,Medium,No,60.3,66.4,7
S108,Male,Air,Aquarius,Summer,1,NZ.European,70,80,-10,National,No,BelowAverage,18,50,No,5.9,7,60,Sunday,Yes,5,Yes,None,None,DontKnow,No,49.5,50.3,2
S101,Female,Water,Scorpio,Spring,3,Other,84,55,29,National,No,Average,18,40,No,5.3,5.9,210,Sunday,No,10,Yes,None,None,High,No,47.3,60.6,30
S108,Female,Earth,Taurus,Autumn,2,Indian,48,48,0,Labour,Yes,Poor,17,0,No,5.2,7.1,20,Sunday,Yes,5,Yes,None,None,DontKnow,No,53.5,39.3,5
S108,Female,Air,Gemini,Winter,2,Other,50,45,5,National,No,Average,2,0,No,5,4.4,180,Wednesday,No,20,No,None,None,High,No,42.4,54.9,7
S108,Female,Earth,Virgo,Spring,2,NZ.European,58,56,2,National,Yes,Average,18,0,No,3.9,5.9,240,Friday,Yes,150,No,Low,Low,DontKnow,Yes,45.9,60.9,13
S101,Female,Air,Aquarius,Summer,11,Chinese,54,52,2,None,Yes,AboveAverage,2,120,No,5.1,6.3,600,Saturday,No,10,No,None,None,Low,No,39.1,71.7,6
S101,Female,Fire,Leo,Winter,4,NZ.European,60,60,0,National,No,Average,18,110,No,5.1,5.1,90,Saturday,Yes,20,Yes,Low,Low,Medium,No,48.7,64.9,6
S108,Male,Earth,Taurus,Autumn,4,Maori/P.I.,127,108,19,Labour,Yes,AboveAverage,18,60,No,8.8,7.3,90,Sunday,Yes,20,Yes,None,None,High,No,64.6,57.1,1
S101,Male,Water,Scorpio,Spring,5,NZ.European,59,62,-3,Labour,Yes,Average,17,120,No,5.6,9.3,130,Tuesday,Yes,1,No,None,None,Medium,Yes,59.4,51.5,4
S108,Female,Air,Aquarius,Summer,3,Indian,49,43,6,Labour,Yes,BelowAverage,18,60,No,1.7,5.4,10,Tuesday,Yes,20,No,None,None,DontKnow,No,33.5,42.8,25
S108,Female,Earth,Taurus,Autumn,6,NZ.European,55,55,0,Labour,No,Average,5,110,No,5.7,5,120,Monday,Yes,20,Yes,None,None,DontKnow,No,51.1,60.6,8
S101,Male,Fire,Aries,Autumn,5,NZ.European,70,65,5,National,No,Average,17,110,No,6.9,8.9,150,Saturday,Yes,5,No,None,Low,High,No,61.8,62.4,7
S101G,Female,Air,Aquarius,Summer,1,NZ.European,56,55,1,Labour,No,AboveAverage,21,120,No,7.2,6.8,60,Monday,No,35,Yes,Low,Low,Medium,Yes,60.4,50.7,15
S108,Female,Fire,Sagittarius,Summer,2,Chinese,55,50,5,National,No,Poor,1,0,No,4.2,5.1,95,Wednesday,No,8,No,Low,Low,Medium,No,39.6,56.7,9
S101,Male,Air,Libra,Spring,2,Chinese,69,65,4,National,Yes,Average,11,0,No,5.5,8.5,90,Monday,Yes,0,No,None,None,High,No,61.7,46.5,4
S108,Female,Air,Gemini,Autumn,3,Chinese,54,50,4,None,No,AboveAverage,2,100,No,6.9,9.4,210,Friday,No,10,No,None,None,Medium,No,64.1,61.8,6
S101,Male,Water,Piscies,Autumn,1,NZ.European,60,60,0,Other,No,BelowAverage,18,130,No,1.9,6.8,90,Wednesday,Yes,20,Yes,None,None,Medium,No,43.9,55.7,2
S108,Male,Water,Cancer,Winter,5,NZ.European,87,95,-8,National,Yes,AboveAverage,18,100,No,5.1,5.3,60,Wednesday,Yes,20,Yes,High,High,Medium,No,45.2,67.5,5
S101,Female,Air,Libra,Spring,1,Other,72,65,7,National,Yes,AboveAverage,4,130,No,6.2,6.3,15,Saturday,No,15,No,None,Low,Medium,Yes,50.9,36.4,5
S101,Female,Water,Scorpio,Spring,4,Indian,70,60,10,National,Yes,Excellent,18,100,No,5.1,5.1,120,Sunday,Yes,120,Yes,High,Low,High,Yes,45.2,63.6,117
S108,Male,Earth,Virgo,Spring,1,Chinese,54,55,-1,Labour,Yes,Average,2,0,No,7.5,7.5,60,Sunday,No,10,No,None,None,Medium,Yes,62.2,37.4,5
S101,Male,Air,Aquarius,Summer,2,Maori/P.I.,125,105,20,None,Yes,BelowAverage,15,0,No,4.7,4.7,0,Thursday,Yes,3,Yes,None,None,DontKnow,No,36.8,19,2
S108,Male,Earth,Capricorn,Summer,6,Other,61,70,-9,None,No,Average,9,120,No,5.1,6.3,15,Sunday,Yes,2,Yes,Low,Low,DontKnow,Yes,46.5,40.8,2
S101,Male,Water,Cancer,Winter,2,Other,82,75,7,None,No,Average,11,90,No,3.1,4.4,150,Friday,Yes,1,Yes,None,None,DontKnow,No,35.4,56.5,3
S101,Female,Water,Cancer,Winter,0,NZ.European,56,55,1,None,Yes,Excellent,18,120,No,5.1,3.6,150,Monday,Yes,75,Yes,Low,Low,Medium,Yes,46.5,55,10
S108,Male,Water,Cancer,Winter,2,Korean,64,65,-1,National,Yes,Average,6,110,No,5.8,5.8,120,Thursday,No,50,Yes,High,Low,DontKnow,No,52.7,69.8,7
S108,Female,Earth,Taurus,Autumn,15,Other,53,53,0,None,No,Average,0,140,Yes,8.4,8.2,90,Friday,No,10,Yes,Low,Low,Medium,No,68.1,70.1,20
S101,Female,Air,Gemini,Winter,5,Other,53,55,-2,None,Yes,BelowAverage,10,80,No,4.8,1.9,270,Friday,No,100,Yes,None,None,Low,No,30.7,67.1,8
S101,Female,Water,Cancer,Winter,11,Maori/P.I.,80,70,10,Labour,Yes,BelowAverage,18,20,No,5.1,5.4,60,Thursday,Yes,100,No,None,None,High,No,47.1,57.4,10
S108,Female,Fire,Leo,Winter,2,NZ.European,58,56,2,National,No,AboveAverage,10,100,No,7.3,8.2,30,Friday,No,30,Yes,None,None,High,Yes,64.6,41.4,12
S101,Female,Earth,Virgo,Winter,14,Other,74,65,9,None,No,AboveAverage,4,110,No,8.4,9.2,270,Sunday,Yes,60,Yes,High,High,Medium,Yes,65.6,72.1,28
S101,Female,Water,Piscies,Autumn,9,NZ.European,49,47,2,Green,No,AboveAverage,18,100,No,7.5,7.5,120,Wednesday,Yes,100,Yes,High,High,Medium,Yes,63,66,20
S108,Male,Fire,Aries,Autumn,4,Maori/P.I.,66,75,-9,Green,No,BelowAverage,18,60,No,5.4,6.9,54,Sunday,Yes,61,No,None,None,Medium,No,47.1,55.2,5
S101,Female,Water,Cancer,Winter,4,Maori/P.I.,90,55,35,National,No,Average,15,140,No,4.1,8.4,30,Thursday,No,40,Yes,High,Low,DontKnow,No,45.7,62.3,21
S101,Male,Fire,Aries,Autumn,6,Chinese,72,75,-3,None,No,Average,8,0,No,7.4,4.2,120,Wednesday,Yes,100,No,None,None,Low,No,45.7,56.5,14
S101,Male,Earth,Capricorn,Summer,3,Other,79,75,4,Labour,Yes,Average,11,140,No,5.2,5.1,30,Saturday,Yes,60,Yes,None,None,DontKnow,No,45.6,52,9
S108,Female,Water,Scorpio,Spring,7,Chinese,53,47,6,None,No,AboveAverage,7,110,No,6.8,6.5,180,Monday,No,10,No,None,None,Medium,No,53.8,62.7,20
S108,Female,Fire,Leo,Winter,1,Chinese,68,60,8,Labour,No,Average,3,0,No,5,5.8,35,Monday,Yes,50,No,None,None,High,No,46.2,44.5,5
S101,Male,Fire,Leo,Winter,4,Chinese,63,80,-17,National,No,Excellent,19,120,No,9.7,10,60,Wednesday,No,10,No,None,None,Medium,No,72.3,54.6,5
S108,Male,Earth,Capricorn,Summer,4,Other,65,67,-2,National,Yes,AboveAverage,19,130,No,8.2,5.7,180,Sunday,Yes,50,Yes,None,None,Medium,Yes,58.7,52.9,5
S101,Female,Water,Cancer,Winter,1,NZ.European,64,55,9,Labour,No,AboveAverage,19,120,No,5.1,5,180,Friday,No,15,Yes,High,High,High,Yes,44,60.6,12
S101,Female,Earth,Taurus,Autumn,5,Other,53,50,3,None,No,Average,16,0,No,7,7.7,90,Tuesday,Yes,40,Yes,None,None,DontKnow,No,59.7,53.1,10
S108,Female,Water,Cancer,Winter,3,Chinese,50,45,5,Labour,No,Poor,19,0,No,6,6,150,Wednesday,No,15,Yes,None,None,Low,Yes,34.8,43.3,25
