sector	GDP	year
Agriculture.forestry.fisheries	20.3	1959
Mining	12.5	1959
Construction	23.7	1959
Manufacturing.durable.goods	81.7	1959
Manufacturing.nondurable.goods	58.6	1959
Transportation.public.utilities	45	1959
Wholesale.trade	36.1	1959
Retail.trade	49.1	1959
Finance.insurance.real.estate	69	1959
Services	48.4	1959
Federal.Government	35	1959
State.and.local.government	29.8	1959
Statistical.discrepancy	-2	1959
Agriculture.forestry.fisheries	24.9	1967
Mining	15.2	1967
Construction	39.5	1967
Manufacturing.durable.goods	134.1	1967
Manufacturing.nondurable.goods	86.7	1967
Transportation.public.utilities	70.5	1967
Wholesale.trade	57.8	1967
Retail.trade	78.2	1967
Finance.insurance.real.estate	117.4	1967
Services	90.8	1967
Federal.Government	56.9	1967
State.and.local.government	60.9	1967
Statistical.discrepancy	0.7	1967
Agriculture.forestry.fisheries	54.3	1977
Mining	54.1	1977
Construction	93.8	1977
Manufacturing.durable.goods	277.6	1977
Manufacturing.nondurable.goods	184.7	1977
Transportation.public.utilities	179.5	1977
Wholesale.trade	142.3	1977
Retail.trade	190.2	1977
Finance.insurance.real.estate	283.7	1977
Services	255.5	1977
Federal.Government	120	1977
State.and.local.government	173.5	1977
Statistical.discrepancy	17.7	1977
Agriculture.forestry.fisheries	77.1	1982
Mining	149.5	1982
Construction	129.8	1982
Manufacturing.durable.goods	377.4	1982
Manufacturing.nondurable.goods	272.3	1982
Transportation.public.utilities	293.2	1982
Wholesale.trade	219.6	1982
Retail.trade	288.1	1982
Finance.insurance.real.estate	504.2	1982
Services	471.8	1982
Federal.Government	188.5	1982
State.and.local.government	273.4	1982
Statistical.discrepancy	-2.8	1982
Agriculture.forestry.fisheries	88.6	1987
Mining	88.3	1987
Construction	217	1987
Manufacturing.durable.goods	514.4	1987
Manufacturing.nondurable.goods	374.6	1987
Transportation.public.utilities	420.7	1987
Wholesale.trade	300.3	1987
Retail.trade	436.5	1987
Finance.insurance.real.estate	830.3	1987
Services	785.1	1987
Federal.Government	255.2	1987
State.and.local.government	398.1	1987
Statistical.discrepancy	-16.8	1987
Agriculture.forestry.fisheries	112.4	1992
Mining	92.2	1992
Construction	229.7	1992
Manufacturing.durable.goods	573.4	1992
Manufacturing.nondurable.goods	490.2	1992
Transportation.public.utilities	528.8	1992
Wholesale.trade	406.5	1992
Retail.trade	544.3	1992
Finance.insurance.real.estate	1148.8	1992
Services	1200.8	1992
Federal.Government	321.4	1992
State.and.local.government	552.2	1992
Statistical.discrepancy	43.7	1992
Agriculture.forestry.fisheries	117.8	1994
Mining	90.1	1994
Construction	269.2	1994
Manufacturing.durable.goods	673.1	1994
Manufacturing.nondurable.goods	524	1994
Transportation.public.utilities	606.4	1994
Wholesale.trade	461.9	1994
Retail.trade	609.9	1994
Finance.insurance.real.estate	1273.7	1994
Services	1342.7	1994
Federal.Government	327.1	1994
State.and.local.government	604.3	1994
Statistical.discrepancy	31.2	1994
