Sector	1959	1967	1977	1982	1987	1992	1994
Agric.forest.fish	20.3	24.9	54.3	77.1	88.6	112.4	117.8
Mining	12.5	15.2	54.1	149.5	88.3	92.2	90.1
Construction	23.7	39.5	93.8	129.8	217	229.7	269.2
Manufacturing.durable	81.7	134.1	277.6	377.4	514.4	573.4	673.1
Manufacturing.nondurable	58.6	86.7	184.7	272.3	374.6	490.2	524
Transportation/public.utilities	45.0	70.5	179.5	293.2	420.7	528.8	606.4
Wholesale.trade	36.1	57.8	142.3	219.6	300.3	406.5	461.9
Retail .trade	49.1	78.2	190.2	288.1	436.5	544.3	609.9
Finance.insur.realestate	69.0	117.4	283.7	504.2	830.3	1148.8	1273.7
Services	48.4	90.8	255.5	471.8	785.1	1200.8	1342.7
Federal.Government	35.0	56.9	120.0	188.5	255.2	321.4	327.1
State/local.government	29.8	60.9	173.5	273.4	398.1	552.2	604.3
Statistical.discrep	-2.0	0.7	17.7	-2.8	-16.8	43.7	31.2
GDP	507.2	833.6	2026.9	3242.1	4692.3	6244.4	6931.4
