make	efficiency	transmission
Laser.L.hatchback	5.9	M4
Laser.GL.hatchback	5.9	M4
Mazda.323.hatchback	5.8	M4
Mazda.323.hatchback	5.7	M5
Mazda.323.wagon	6.2	M4
Mirage.II.GL.3dr.hatchback	5.6	M4
Mirage.II.saloon	5.7	M4
Mirage.II.GLX.3dr.hatchback	5.3	M4X2
Mirage.II.GLX.5dr.hatchback	5.4	M4X2
Mirage.GLX.saloon	5.4	M4X2
Mirage.II.Geneva.5dr.hatchback	5.4	M4X2
Mirage.II.Geneva.saloon	5.4	M4X2
Nissan.Sunny.wagon	6.4	M4
Nissan.Sunny.sedan	5.4	M4
Toyota.Starlet.DL.5dr.hatchback	5.6	M4
Toyota.Corolla.DX.liftback	5.9	M5
Toyota.Corolla.DX.sedan	5.9	M4
Toyota.Corolla.DX.sedan	7.2	A
Toyota.Corolla.GL.sedan	6.1	M5	
Toyota.Corolla.GL.sedan	7.2	A
Toyota.Corolla.wagon	5.9	M4
