year	country	gold.reserve
1970	Belgium	42.01
1975	Belgium	42.17
1980	Belgium	34.18
1985	Belgium	34.18
1990	Belgium	30.23
1970	Canada	22.59
1975	Canada	21.95
1980	Canada	20.98
1985	Canada	20.11
1990	Canada	14.76
1970	France	100.91
1975	France	100.93
1980	France	81.85
1985	France	81.85
1990	France	81.85
1970	Italy	82.48
1975	Italy	82.48
1980	Italy	66.67
1985	Italy	66.67
1990	Italy	66.67
1970	Japan	15.22
1975	Japan	21.11
1980	Japan	24.23
1985	Japan	24.33
1990	Japan	24.23
1970	Netherlands	51.06
1975	Netherlands	54.33
1980	Netherlands	43.94
1985	Netherlands	43.94
1990	Netherlands	43.94
1970	Switzerland	78.03
1975	Switzerland	83.20
1980	Switzerland	83.28
1985	Switzerland	83.28
1990	Switzerland	83.28
1970	U.K.	38.52
1975	U.K.	21.03
1980	U.K.	18.84
1985	U.K.	19.03
1990	U.K.	18.94
1970	U.S.A.	316.34
1975	U.S.A.	274.71
1980	U.S.A.	264.32
1985	U.S.A.	262.65
1990	U.S.A.	261.91
