Year	World	SthAf	Ghana	Zaire	US	Cand	Mex	Colmb	Aust	China	Phlp	USSR
1972	44.84	29.25	0.724	0.141	1.449	2.078	0.146	0.19	0.75	NA	0.61	NA
1974	40.12	24.39	0.614	0.131	1.126	1.698	0.134	0.27	0.51	NA	0.54	NA
1975	38.48	22.94	0.524	0.103	1.052	1.654	0.145	0.31	0.53	NA	0.50	NA
1976	39.02	22.94	0.532	0.091	1.048	1.692	0.163	0.30	0.50	NA	0.50	NA
1977	38.91	22.50	0.481	0.080	1.100	1.734	0.213	0.26	0.62	NA	0.56	NA
1978	38.98	22.65	0.402	0.076	0.998	1.735	0.202	0.25	0.65	NA	0.59	NA
1979	38.77	22.62	0.362	0.070	0.964	1.644	0.190	0.27	0.60	NA	0.54	NA
1980	39.20	21.67	0.353	0.040	0.970	1.627	0.196	0.51	0.55	NA	0.75	8.43
1982	43.08	21.36	0.331	0.062	1.466	2.081	0.214	0.47	0.87	1.80	0.83	8.55
1983	45.00	21.85	0.287	0.193	2.002	2.363	0.198	0.44	0.98	1.85	0.82	8.60
1984	46.48	21.86	0.287	0.117	2.084	2.683	0.271	0.80	1.30	1.90	0.83	8.65
1985	49.28	21.57	0.299	0.063	2.427	2.815	0.266	1.14	1.88	1.95	1.06	8.70
1986	51.53	20.51	0.287	0.168	3.739	3.365	0.251	1.29	2.41	2.10	1.30	8.85
1987	53.03	19.18	0.328	0.141	4.947	3.724	0.257	0.85	3.56	2.30	1.05	8.85
1988	58.45	19.88	0.373	0.140	6.460	4.110	0.297	0.93	4.89	2.50	1.13	9.00
1989	63.50	19.53	0.429	0.113	8.536	5.093	0.267	0.87	6.52	2.57	1.13	9.16
1990	68.00	19.38	0.541	0.136	9.330	5.381	0.268	0.94	7.85	3.22	0.79	9.71
1991	67.26	19.32	0.846	0.145	9.320	5.553	0.270	0.96	7.53	3.86	0.80	7.72
