Country	type	mor.both	mor.male	mor.fem	life.both	life.male	life.fem	births	deaths	migrants
Australia	1	5.5	6.1	4.9	79.39	76.44	82.50	13.99	6.88	2.74
Austria	1	6.2	7.0	5.4	76.53	73.38	79.84	11.19	10.43	3.34
Canada	1	6.1	6.8	5.4	79.07	75.67	82.65	13.33	7.17	4.47
Denmark	1	4.8	5.6	4.1	77.30	73.78	81.01	12.24	10.42	2.00
Finland	1	4.9	4.7	5.1	75.47	73.82	77.18	11.32	10.92	0.58
France	1	6.2	7.1	5.2	78.36	74.47	82.46	10.86	9.03	1.18
Germany	1	6.0	6.6	5.3	75.95	72.80	79.27	9.66	11.20	8.25
Ireland	1	6.4	7.1	5.7	75.58	72.88	78.46	13.22	8.93	-6.46
Italy	1	6.9	7.6	6.2	78.06	74.85	81.48	9.87	9.82	1.25
Neth.	1	4.9	5.4	4.3	77.73	74.91	80.68	12.08	8.70	2.25
NZ	1	6.7	7.7	5.6	77.01	73.96	80.21	15.78	7.72	3.17
Norway	1	4.9	5.6	4.2	77.53	74.63	80.61	11.96	10.68	3.57
Spain	1	6.3	6.9	5.6	78.26	74.95	81.81	10.04	8.86	0.44
Sweden	1	4.5	4.9	4.1	78.06	75.62	80.63	11.55	11.43	5.48
Switz.	1	5.4	6.0	4.8	77.62	74.58	80.82	11.35	9.64	4.20
UK	1	6.4	7.2	5.7	76.41	73.78	79.17	13.12	11.24	0.30
US	1	6.7	7.7	5.6	75.95	72.65	79.41	14.80	8.80	3.10
Algeria	2	48.7	51.2	46.1	68.31	67.22	69.46	28.51	5.90	-0.49
Angola	2	138.9	150.9	126.3	46.80	44.65	49.06	44.58	17.66	-0.14
Egypt	2	72.8	74.6	70.8	61.43	59.51	63.46	28.18	8.70	-0.35
Ethiopia	2	122.8	133.1	112.2	46.85	45.71	48.02	46.05	17.53	-1.36
Gambia	2	80.5	88.6	72.2	52.96	50.74	55.24	44.44	13.66	4.72
Kenya	2	55.3	58.3	52.2	55.61	55.53	55.69	33.38	10.30	-0.35
Libya	2	59.5	63.9	54.9	64.67	62.48	66.97	44.42	7.70	0.00
Malawi	2	139.9	147.4	132.2	36.16	35.87	36.46	41.56	24.48	0.00
Morocco	2	43.2	47.9	38.3	69.52	67.53	71.61	27.39	5.77	-1.08
Namibia	2	47.2	51.4	42.8	64.48	62.85	66.16	37.29	7.98	0.00
Nigeria	2	72.4	75.7	68.9	54.34	53.06	55.65	42.89	12.71	0.34
SouthAf.	2	48.8	51.0	46.5	59.47	57.21	61.80	27.91	10.32	0.00
Tanzania	2	105.9	117.5	94.0	42.34	40.95	43.78	41.31	19.47	-10.36
Uganda	2	99.4	108.3	90.2	40.29	39.98	40.60	45.92	20.72	-2.80
Zaire	2	108.0	118.1	97.6	46.70	44.97	48.47	48.10	16.90	-14.56
Zambia	2	96.1	102.1	90.0	36.31	36.15	36.46	44.73	23.65	0.00
Zimbabwe	2	72.8	77.8	67.6	41.85	41.91	41.78	32.34	18.20	0.00
China	3	39.6	31.5	48.6	69.62	68.33	71.06	17.01	6.92	-0.34
HongKong	3	5.1	5.2	5.0	82.19	78.88	85.71	10.50	5.23	12.42
Indonesia	3	63.1	69.0	56.8	61.64	59.51	63.88	23.67	8.38	0.00
Japan	3	4.4	4.8	4.0	79.55	76.57	82.68	10.19	7.71	-0.40
Malaysia	3	24.0	28.5	19.1	69.75	66.82	72.89	26.20	5.49	0.00
Singapore	3	4.7	5.2	4.3	78.13	75.07	81.39	16.28	4.56	7.29
SthKorea	3	8.2	8.5	7.9	73.26	69.65	77.39	16.24	5.66	-0.35
Taiwan	3	7.0	7.5	6.5	76.02	73.43	78.82	15.01	5.52	-0.61
Thailand	3	33.4	36.3	30.3	68.60	64.89	72.49	17.29	7.00	0.00
Argentina	4	28.3	31.3	25.0	71.66	68.37	75.12	19.41	8.62	0.18
Bolivia	4	67.5	73.2	61.6	59.81	56.94	62.82	32.37	10.75	-3.41
Brazil	4	55.3	58.8	51.6	61.62	56.67	66.81	20.80	9.19	0.00
Chile	4	13.6	14.8	12.4	74.49	71.26	77.72	18.09	5.68	0.00
Colombia	4	25.8	29.0	22.5	72.81	69.97	75.73	21.34	4.65	-0.13
Ecuador	4	34.8	39.7	29.7	71.09	68.49	73.82	25.06	5.50	0.00
ElSalv.	4	31.9	34.1	29.5	68.88	65.44	72.50	28.30	5.81	-4.40
Honduras	4	41.8	45.8	37.7	68.42	66.01	70.96	33.38	5.83	-1.53
Mexico	4	25.0	30.1	19.6	73.67	70.07	77.45	26.24	4.58	-2.97
Nicaragua	4	45.8	52.1	39.3	65.72	63.41	68.13	33.83	6.01	-1.17
Panama	4	29.7	31.4	27.9	73.92	71.19	76.75	23.20	5.42	-1.42
Paraguay	4	23.2	24.6	21.8	73.84	72.33	75.43	30.97	4.31	0.00
Peru	4	52.2	54.2	50.0	69.13	66.97	71.39	24.33	6.13	-0.76
Venez.	4	29.5	33.3	25.5	72.09	69.11	75.29	24.39	5.09	-0.36
