Profession	percentage	year
Medical.specialists	22.0	1982
General.practitioners	13.0	1982
Dental.surgeons	26.0	1982
Psychologists.psychotherapists	71.0	1982
Vets	12.0	1982
Pharmacists	49.0	1982
Barristers	33.0	1982
Notaries	4.0	1982
Legal.tax.advisers	28.0	1982
Charted.accountants.auditors	11.5	1982
Architects	5.0	1982
Bailiffs	15.5	1982
Medical.specialists	31.5	1990
General.practitioners	27.0	1990
Dental.surgeons	31.0	1990
Psychologists.psychotherapists	73.5	1990
Vets	27.0	1990
Pharmacists	52.0	1990
Barristers	40.0	1990
Notaries	12.0	1990
Legal.tax.advisers	24.0	1990
Charted.accountants.auditors	16.0	1990
Architects	15.0	1990
Bailiffs	25.0	1990
