Price Weight	Displacement
4099	2930	121
4749	3350	258
3799	2640	121
9690	2830	131
6295	2070	97
9735	2650	121
4816	3250	196
7827	4080	350
5788	3670	231
4453	2230	304
5189	3280	196
10372	3880	231
4082	3400	231
11385	4330	425
14500	3900	350
15906	4290	350
3299	2110	231
5705	3690	250
4504	3180	200
5104	3220	200
3667	2750	151
3955	3430	250
6229	2370	119
4589	2020	85
5079	2280	119
8129	2750	146
3984	2120	98
5010	3600	318
5886	3870	318
6342	3740	225
4296	2130	105
4389	1800	98
4187	2650	140
5799	2240	107
4499	1760	91
11497	4840	400
13594	4720	400
13466	3830	302
3995	1980	86
3829	2580	140
5379	4060	302
6303	4130	302
6165	3720	302
4516	3370	250
3291	2830	140
8814	4060	350
4733	3300	231
5172	3310	231
5890	3690	231
4181	3370	231
4195	2720	151
10371	4030	350
12990	3420	163
4647	2360	156
4425	1800	86
4482	2200	105
6486	2520	119
4060	3330	225
5798	3700	231
4934	3470	231
5222	3210	231
4723	3200	231
4424	3420	231
4172	2690	151
3895	1830	79
3798	2050	97
5899	2410	134
3748	2200	97
5719	2670	134
4697	1930	89
5397	2040	90
6850	1990	97
7140	2160	97
11995	3170	163
