pcto	pcthe	book
2.03	5.29	pride
2.24	3.06	pride
2.37	3.96	pride
1.80	3.51	pride
1.79	2.95	pride
1.58	2.05	pride
1.70	3.39	pride
2.55	3.90	pride
1.68	4.11	pride
3.73	2.55	pride
1.24	2.66	pride
3.07	4.11	pride
2.77	8.39	pride
1.91	2.97	pride
2.08	2.54	pride
1.13	3.67	pride
2.07	2.99	pride
3.42	3.71	spyhook
3.78	4.56	spyhook
1.46	6.42	spyhook
1.81	4.16	spyhook
2.56	4.31	spyhook
4.27	4.51	spyhook
2.92	3.70	spyhook
3.85	3.59	spyhook
2.88	3.91	spyhook
1.95	5.62	spyhook
1.76	7.12	spyhook
2.92	6.9	spyhook
2.48	2.28	spyhook
2.75	3.87	spyhook
2.73	5.94	spyhook
2.53	2.86	spyhook
2.97	7.65	spyhook
1.36	5.51	spyhook
3.28	4.93	spyhook
