strength	position
1976	1
1916	1
2090	1
2000	1
2323	1
1904	1
2048	1
2222	1
2048	1
2174	1
1976	1
2138	1
2455	1
1886	1
2246	1
2287	1
2030	1
2210	1
2084	1
2383	1
2132	1
2210	1
2222	1
1766	1
2078	1
1994	1
2198	1
2162	1
1874	1
2132	1
2108	1
1892	1
1671	1
2425	2&12
2000	2&12
2251	2&12
2096	2&12
2132	2&12
1964	2&12
1750	2&12
2018	2&12
1766	2&12
2228	3&11
2347	3&11
2251	3&11
2222	3&11
1940	3&11
1904	3&11
1820	3&11
2012	3&11
2204	3&11
2144	3&11
2305	3&11
2042	3&11
2120	3&11
2419	3&11
2162	3&11
2251	3&11
2222	3&11
2186	4&10
2521	4&10
2156	4&10
2216	4&10
2593	4&10
2204	4&10
2228	4&10
2198	4&10
2150	4&10
2311	4&10
2102	4&10
2138	4&10
1982	4&10
2042	4&10
2030	4&10
2216	4&10
2305	4&10
2204	4&10
2198	4&10
2204	4&10
2162	4&10
2120	4&10
2108	4&10
2030	4&10
2180	4&10
2251	4&10
2210	4&10
2216	4&10
2168	4&10
2210	4&10
2341	4&10
2000	4&10
2132	4&10
2228	5&9
2180	5&9
2114	5&9
2365	5&9
2299	5&9
2072	5&9
2323	5&9
2449	5&9
2300	5&9
2078	5&9
2150	5&9
2377	5&9
2108	5&9
2257	5&9
2383	5&9
2323	5&9
2246	5&9
2251	5&9
2156	5&9
2419	5&9
2329	5&9
2198	5&9
2269	5&9
2287	5&9
2330	5&9
2329	5&9
2228	5&9
2431	6&8
2250	6&8
2311	6&8
2210	6&8
2329	6&8
2263	6&8
2353	6&8
2251	6&8
2275	6&8
1958	6&8
2185	6&8
2287	7
2275	7
1946	7
2150	7
2228	7
1695	7
2000	7
2006	7
1945	7
2006	7
2209	7
2216	7
1934	7
1904	7
1958	7
1964	7
2066	7
2222	7
2066	7
1964	7
2150	7
2114	7
2125	7
2210	7
1588	7
2234	7
2210	7
2156	7
2204	7
1641	7
2263	7
2120	7
2156	7
