type	age
accident	9
accident	12
accident	15
accident	16
accident	17
accident	17
accident	17
accident	19
accident	21
accident	21
accident	22
accident	23
accident	23
accident	27
accident	28
accident	28
accident	30
accident	33
accident	34
accident	34
accident	37
homicide	2
homicide	14
homicide	14
homicide	15
homicide	16
homicide	16
homicide	16
homicide	16
homicide	17
homicide	17
homicide	17
homicide	17
homicide	18
homicide	18
homicide	18
homicide	18
homicide	18
homicide	18
homicide	18
homicide	18
homicide	19
homicide	19
homicide	19
homicide	19
homicide	19
homicide	20
homicide	20
homicide	20
homicide	20
homicide	20
homicide	20
homicide	20
homicide	20
homicide	20
homicide	20
homicide	20
homicide	20
homicide	20
homicide	20
homicide	21
homicide	21
homicide	21
homicide	22
homicide	22
homicide	22
homicide	22
homicide	22
homicide	22
homicide	22
homicide	22
homicide	22
homicide	22
homicide	23
homicide	23
homicide	23
homicide	23
homicide	23
homicide	23
homicide	23
homicide	23
homicide	24
homicide	24
homicide	24
homicide	24
homicide	24
homicide	24
homicide	24
homicide	24
homicide	24
homicide	25
homicide	25
homicide	25
homicide	25
homicide	25
homicide	25
homicide	25
homicide	25
homicide	25
homicide	26
homicide	26
homicide	26
homicide	26
homicide	26
homicide	26
homicide	26
homicide	26
homicide	26
homicide	26
homicide	27
homicide	27
homicide	27
homicide	27
homicide	27
homicide	27
homicide	27
homicide	28
homicide	28
homicide	28
homicide	28
homicide	28
homicide	28
homicide	29
homicide	29
homicide	29
homicide	29
homicide	29
homicide	29
homicide	30
homicide	30
homicide	30
homicide	30
homicide	30
homicide	31
homicide	31
homicide	31
homicide	31
homicide	31
homicide	32
homicide	32
homicide	32
homicide	32
homicide	32
homicide	33
homicide	33
homicide	34
homicide	34
homicide	34
homicide	34
homicide	34
homicide	34
homicide	34
homicide	34
homicide	34
homicide	35
homicide	35
homicide	35
homicide	35
homicide	35
homicide	36
homicide	36
homicide	36
homicide	36
homicide	37
homicide	37
homicide	37
homicide	37
homicide	38
homicide	38
homicide	38
homicide	38
homicide	38
homicide	38
homicide	39
homicide	39
homicide	39
homicide	40
homicide	40
homicide	40
homicide	41
homicide	41
homicide	42
homicide	42
homicide	42
homicide	42
homicide	42
homicide	42
homicide	44
homicide	44
homicide	44
homicide	44
homicide	45
homicide	45
homicide	46
homicide	46
homicide	46
homicide	47
homicide	47
homicide	47
homicide	48
homicide	48
homicide	50
homicide	50
homicide	52
homicide	52
homicide	54
homicide	54
homicide	57
homicide	58
homicide	58
homicide	60
homicide	61
homicide	61
homicide	66
homicide	67
homicide	79
self.defense	21
self.defense	22
self.defense	24
self.defense	24
self.defense	24
self.defense	26
self.defense	28
self.defense	29
self.defense	31
self.defense	33
self.defense	34
self.defense	34
self.defense	35
self.defense	35
self.defense	40
self.defense	40
self.defense	46
self.defense	46
self.defense	47
self.defense	48
self.defense	50
self.defense	56
suicide	14
suicide	15
suicide	15
suicide	16
suicide	16
suicide	17
suicide	17
suicide	18
suicide	18
suicide	18
suicide	18
suicide	18
suicide	18
suicide	19
suicide	19
suicide	19
suicide	19
suicide	19
suicide	19
suicide	20
suicide	20
suicide	20
suicide	20
suicide	21
suicide	21
suicide	21
suicide	21
suicide	21
suicide	22
suicide	22
suicide	22
suicide	22
suicide	22
suicide	23
suicide	23
suicide	23
suicide	24
suicide	24
suicide	24
suicide	24
suicide	24
suicide	24
suicide	24
suicide	24
suicide	24
suicide	24
suicide	24
suicide	25
suicide	25
suicide	25
suicide	25
suicide	26
suicide	26
suicide	26
suicide	26
suicide	27
suicide	27
suicide	27
suicide	27
suicide	27
suicide	27
suicide	28
suicide	28
suicide	28
suicide	28
suicide	28
suicide	28
suicide	29
suicide	29
suicide	30
suicide	30
suicide	30
suicide	31
suicide	31
suicide	31
suicide	31
suicide	31
suicide	31
suicide	32
suicide	32
suicide	32
suicide	33
suicide	33
suicide	33
suicide	33
suicide	33
suicide	33
suicide	33
suicide	33
suicide	33
suicide	34
suicide	34
suicide	34
suicide	34
suicide	35
suicide	35
suicide	35
suicide	35
suicide	35
suicide	36
suicide	36
suicide	36
suicide	36
suicide	37
suicide	37
suicide	37
suicide	37
suicide	37
suicide	37
suicide	38
suicide	38
suicide	38
suicide	39
suicide	39
suicide	40
suicide	40
suicide	40
suicide	40
suicide	40
suicide	41
suicide	41
suicide	41
suicide	42
suicide	42
suicide	42
suicide	42
suicide	43
suicide	44
suicide	44
suicide	45
suicide	46
suicide	46
suicide	47
suicide	47
suicide	48
suicide	48
suicide	48
suicide	50
suicide	51
suicide	52
suicide	52
suicide	52
suicide	52
suicide	52
suicide	53
suicide	54
suicide	55
suicide	56
suicide	56
suicide	56
suicide	56
suicide	57
suicide	57
suicide	58
suicide	59
suicide	59
suicide	61
suicide	61
suicide	61
suicide	62
suicide	62
suicide	63
suicide	63
suicide	64
suicide	64
suicide	64
suicide	65
suicide	65
suicide	65
suicide	65
suicide	65
suicide	65
suicide	65
suicide	65
suicide	66
suicide	66
suicide	67
suicide	67
suicide	67
suicide	67
suicide	67
suicide	67
suicide	69
suicide	69
suicide	69
suicide	69
suicide	69
suicide	69
suicide	70
suicide	70
suicide	70
suicide	70
suicide	70
suicide	71
suicide	71
suicide	71
suicide	72
suicide	72
suicide	73
suicide	73
suicide	74
suicide	75
suicide	75
suicide	75
suicide	76
suicide	76
suicide	77
suicide	77
suicide	77
suicide	77
suicide	78
suicide	79
suicide	79
suicide	81
suicide	81
suicide	82
suicide	83
suicide	84
suicide	86
suicide	87
suicide	87
suicide	87
