sysvol	diavol
51	131
119	164
60	116
33	92
67	155
55	207
43	129
52	149
253	336
38	169
36	131
74	155
52	137
165	329
47	95
124	170
86	215
37	132
65	163
52	140
117	164
69	133
54	133
67	135
65	138
184	221
88	140
106	193
85	150
59	149
103	168
53	124
68	121
53	109
58	157
81	157
58	112
71	167
92	159
50	156
146	259
43	130
70	146
73	195
62	133
93	148
65	133
95	163
49	144
66	145
144	237
52	141
219	314
39	94
59	168
50	132
87	226
33	93
39	117
147	202
60	122
116	192
86	175
110	188
47	134
24	75
62	142
77	187
148	195
65	148
24	75
57	110
71	154
91	150
64	132
32	73
37	160
31	89
60	140
67	153
126	191
64	146
117	190
114	159
41	112
93	154
59	137
51	123
72	126
56	132
132	185
106	185
42	139
72	144
83	159
58	132
69	157
94	178
51	117
29	127
54	132
53	116
80	176
126	229
117	204
87	187
88	155
68	160
74	137
47	91
109	177
58	164
142	225
38	111
33	102
70	195
55	185
46	109
30	74
62	128
87	160
62	135
95	175
144	210
73	240
45	154
77	179
75	167
143	259
38	99
56	127
74	147
62	129
69	167
115	186
33	85
20	59
49	151
60	130
98	146
58	122
24	101
47	132
80	181
41	110
21	69
62	105
38	121
44	153
47	134
66	187
122	205
44	130
112	165
38	156
88	147
67	155
44	118
155	273
36	99
58	138
40	132
14	74
61	170
52	115
85	201
57	175
81	176
104	201
130	216
55	137
133	186
41	86
56	135
106	137
47	126
42	85
35	155
69	105
65	141
85	136
230	320
58	129
97	160
100	194
72	147
88	261
48	100
67	221
73	172
71	134
64	146
82	196
165	269
66	171
82	172
56	135
100	183
60	117
30	110
64	119
93	172
137	228
137	241
30	80
54	176
91	197
92	191
23	107
90	163
44	132
62	171
67	219
47	118
68	174
99	199
26	83
34	98
123	259
42	163
62	172
59	161
30	118
59	155
55	156
35	124
52	114
232	355
58	94
69	160
25	68
87	138
45	89
45	120
121	198
39	133
16	59
26	92
91	134
37	145
48	156
43	127
29	78
142	193
45	134
130	193
158	263
78	164
30	117
58	131
61	162
83	154
27	129
87	209
72	130
39	129
32	110
68	132
74	130
103	195
21	90
30	88
44	102
166	225
54	172
25	88
50	124
64	185
36	98
75	164
69	142
67	123
42	159
43	90
96	169
108	188
49	112
38	139
37	98
24	158
67	147
56	142
45	104
45	130
76	152
107	133
71	100
69	185
54	132
31	87
71	141
150	252
94	201
148	242
76	174
50	142
142	207
103	211
62	148
24	84
74	93
64	173
40	107
50	133
78	182
26	105
37	90
29	104
82	131
82	151
191	264
31	122
30	85
70	131
160	208
50	138
117	211
83	224
18	82
87	168
120	215
79	144
31	91
58	158
31	103
76	160
72	139
37	143
76	178
86	139
25	90
65	168
55	144
91	206
49	147
77	159
45	145
39	127
44	102
40	123
43	129
38	89
98	191
27	140
51	163
31	99
54	134
46	134
73	161
92	167
49	127
56	132
127	227
40	113
28	124
40	192
34	72
36	168
51	90
41	130
55	128
80	155
69	199
115	188
58	124
93	116
49	154
194	303
67	147
132	214
129	214
51	169
66	145
113	180
57	152
97	133
25	85
59	198
116	192
54	155
70	140
23	129
57	102
75	182
46	104
96	167
114	186
68	149
66	141
47	104
95	224
89	132
46	114
24	63
171	248
74	180
48	191
97	253
18	78
143	244
33	163
47	119
62	160
81	181
28	109
64	136
61	161
93	167
91	175
48	111
65	151
87	188
67	208
24	84
43	91
115	172
65	137
84	178
63	163
67	212
94	185
41	141
65	162
89	214
99	253
112	213
24	84
72	170
104	185
128	213
34	149
58	140
85	147
58	117
109	264
53	153
43	122
109	193
66	202
22	132
41	190
49	145
61	131
69	183
53	120
31	130
86	160
106	188
90	183
60	130
56	119
84	231
96	159
153	268
99	273
71	202
82	199
115	190
136	204
37	109
96	198
105	190
96	174
105	219
62	133
91	167
241	388
95	165
31	134
97	199
125	223
65	146
119	240
199	265
103	184
64	162
17	82
61	171
37	113
85	162
193	252
52	95
38	107
91	197
123	203
67	202
149	224
200	297
62	148
169	242
187	260
94	195
158	266
121	256
83	195
101	187
121	233
53	127
148	232
101	182
131	214
41	125
63	166
107	217
85	174
151	250
153	265
98	168
89	231
100	182
150	235
74	136
57	150
107	185
116	194
105	197
80	155
82	181
126	192
102	272
100	154
127	164
70	137
197	329
265	352
19	120
160	229
59	106
110	244
30	146
415	531
123	174
322	413
50	146
92	159
58	175
101	176
100	234
168	277
89	183
94	232
93	192
31	95
86	201
75	129
49	186
150	279
107	168
133	206
90	181
41	93
128	238
38	115
120	222
60	124
NA	NA
84	150
68	117
102	215
102	167
134	249
139	208
118	201
230	260
119	209
68	160
85	227
155	268
58	170
139	220
40	82
123	290
72	157
124	199
70	115
80	140
42	147
169	271
79	153
78	169
24	98
77	129
122	186
116	190
51	102
89	178
67	198
149	262
99	221
108	213
190	306
70	138
85	151
90	158
60	160
139	260
224	328
40	99
52	151
157	194
51	122
51	160
46	108
61	152
NA	NA
178	248
157	214
68	133
118	186
189	263
163	184
124	239
59	162
70	149
231	324
213	332
