lengths	status
22.34	live
18.72	live
17.64	live
16.84	live
20.04	live
20.05	live
22.06	live
25.18	live
10.28	live
13.08	live
21.48	live
 6.18	live
13.06	live
16.92	live
19.96	live
18.08	live
 5.76	live
 5.90	live
12.98	live
 4.18	live
19.02	live
15.54	live
20.68	live
 6.38	live
13.08	live
21.26	live
21.86	live
21.06	live
 9.06	live
23.82	live
15.64	live
 4.12	live
 8.62	live
15.02	live
 7.22	live
15.23	live
 4.84	live
 4.13	live
 7.76	live
24.48	live
24.93	dead
16.56	dead
16.82	dead
21.35	dead
23.34	dead
19.95	dead
23.38	dead
18.45	dead
24.74	dead
16.22	dead
12.37	dead
18.27	dead
10.83	dead
19.86	dead
22.62	dead
24.56	dead
21.38	dead
24.32	dead
22.71	dead
20.06	dead
17.70	dead
20.12	dead
22.52	dead
25.93	dead
19.12	dead
19.95	dead
20.22	dead
13.75	dead
20.49	dead
21.55	dead
