GestAge	LiverLen
13	10
14	14
14	15
15	15
15	14
15	14
16	17
16	16
16	19
16	17
16	18
16	18
16	17
16	16
16	15
16	15
16	16
16	15
16	16
17	17
17	17
17	17
17	20
17	20
17	20
17	17
17	18
17	20
17	18
17	18
17	18
17	19
17	17
17	19
17	19
17	18
17	18
17	21
17	23
17	21
17	16
17	18
17	18
17	17
18	22
18	22
18	21
18	22
18	19
18	17
18	19
18	20
18	23
18	18
18	19
18	18
18	19
18	19
18	19
18	22
18	26
18	20
18	26
19	22
19	22
19	19
19	18
19	20
19	25
19	22
19	22
19	24
19	26
19	19
19	21
19	22
20	22
20	20
20	23
20	25
20	25
20	25
20	20
20	20
20	24
20	27
20	26
20	22
21	25
21	27
21	24
21	27
22	25
22	24
22	30
22	19
22	35
22	25
22	31
22	22
22	28
22	23
22	26
22	26
22	23
22	35
22	25
22	27
22	31
23	32
23	34
23	27
23	29
23	24
23	30
23	32
23	24
24	30
24	33
24	31
24	27
24	36
24	30
24	22
25	26
25	34
25	34
25	35
25	33
25	37
25	37
25	38
25	27
25	35
25	26
26	36
26	34
26	31
26	37
26	36
27	25
27	35
27	41
27	34
27	42
27	43
27	40
27	40
27	37
27	33
27	32
27	28
27	28
27	28
28	35
28	40
28	39
28	41
28	43
28	43
28	43
28	39
28	26
28	25
28	23
29	47
29	32
29	40
29	41
29	32
29	34
29	33
29	34
29	41
29	52
29	43
29	27
29	40
30	45
30	47
30	46
30	48
30	46
31	39
31	50
31	50
31	37
31	41
31	47
31	43
31	35
31	43
32	45
32	39
32	49
32	52
32	46
32	51
32	47
32	49
32	48
32	46
32	38
33	54
33	46
33	50
33	50
33	53
33	48
33	39
33	42
34	39
34	37
34	47
34	43
34	47
34	64
34	41
34	36
34	47
35	50
35	58
35	50
35	53
35	44
35	48
35	41
35	42
35	42
35	45
35	63
35	52
35	52
35	64
35	48
35	38
36	48
36	41
36	60
36	40
37	49
37	38
37	66
37	52
37	46
37	61
37	61
37	55
37	37
37	52
37	52
37	42
37	41
38	48
38	55
38	42
39	41
40	50
