Ventilation	Uptake
574	21.90
2577	46.28
592	18.55
2766	55.83
664	8.57
2812	54.52
667	19.09
2893	63.50
718	19.20
2957	60.28
770	16.94
3052	64.77
927	18.27
3151	69.16
947	17.23
3161	74.74
1020	19.03
3266	72.86
1096	18.96
3386	80.41
1277	18.60
3452	82.99
1323	22.80
3521	85.95
1330	24.61
3543	88.87
1599	24.85
3676	96.78
1639	29.15
3741	89.06
1787	31.96
3844	100.91
1790	27.86
3878	103.02
1794	30.95
4002	113.42
1874	30.70
4114	111.44
2049	35.37
4152	119.90
2132	36.13
4252	127.22
2160	39.09
4290	156.40
2292	42.62
4331	135.51
2312	39.86
4332	138.89
2475	46.20
4390	143.71
2489	50.91
4393	144.80
2490	46.46
