sex	ratios	agegp
male	0.84	<=45
male	0.99	<=45
male	0.78	<=45
male	0.91	<=45
male	1.06	<=45
male	0.98	<=45
male	0.86	<=45
male	0.89	<=45
male	0.87	<=45
male	0.92	<=45
male	0.90	<=45
male	0.89	<=45
male	0.86	<=45
male	0.92	<=45
male	0.87	<=45
male	0.80	<=45
male	0.91	<=45
male	0.94	<=45
male	0.84	<=45
male	0.98	<=45
male	0.93	>45
male	0.90	>45
male	1.01	>45
male	0.88	>45
male	0.84	>45
male	0.92	>45
male	0.91	>45
male	1.02	>45
male	0.85	>45
male	0.98	>45
male	0.81	>45
male	0.99	>45
male	0.92	>45
male	0.87	>45
male	0.92	>45
male	0.97	>45
male	0.93	>45
male	0.91	>45
male	0.84	>45
male	0.88	>45
feml	0.92	<=45
feml	0.76	<=45
feml	0.64	<=45
feml	0.80	<=45
feml	0.71	<=45
feml	0.82	<=45
feml	0.75	<=45
feml	0.80	<=45
feml	0.87	<=45
feml	0.84	<=45
feml	0.70	<=45
feml	0.73	<=45
feml	0.83	<=45
feml	0.80	<=45
feml	0.74	<=45
feml	0.80	<=45
feml	0.84	<=45
feml	0.69	<=45
feml	0.77	<=45
feml	0.77	<=45
feml	0.84	>45
feml	0.89	>45
feml	0.87	>45
feml	0.80	>45
feml	0.76	>45
feml	0.92	>45
feml	0.73	>45
feml	0.76	>45
feml	0.81	>45
feml	0.77	>45
feml	0.84	>45
feml	0.86	>45
feml	0.75	>45
feml	0.79	>45
feml	0.83	>45
feml	0.86	>45
feml	0.85	>45
feml	0.81	>45
feml	0.87	>45
feml	0.80	>45
