ratio	treatment	trtcode
0.08	control	1
0.08	control	1
0.09	control	1
0.12	control	1
0.12	control	1
0.13	control	1
0.15	control	1
0.16	control	1
0.16	control	1
0.16	control	1
0.16	control	1
0.17	control	1
0.18	control	1
0.18	control	1
0.19	control	1
0.19	control	1
0.19	control	1
0.19	control	1
0.19	control	1
0.20	control	1
0.20	control	1
0.20	control	1
0.20	control	1
0.21	control	1
0.21	control	1
0.21	control	1
0.21	control	1
0.22	control	1
0.23	control	1
0.24	control	1
0.24	control	1
0.24	control	1
0.24	control	1
0.24	control	1
0.25	control	1
0.25	control	1
0.25	control	1
0.26	control	1
0.26	control	1
0.28	control	1
0.29	control	1
0.29	control	1
0.30	control	1
0.31	control	1
0.33	control	1
0.42	control	1
0.44	control	1
0.51	control	1
0.59	control	1
0.62	control	1
0.08	chloral	2
0.10	chloral	2
0.08	chloral	2
0.09	chloral	2
0.10	chloral	2
0.10	chloral	2
0.13	chloral	2
0.13	chloral	2
0.14	chloral	2
0.14	chloral	2
0.15	chloral	2
0.15	chloral	2
0.15	chloral	2
0.17	chloral	2
0.17	chloral	2
0.19	chloral	2
0.21	chloral	2
0.21	chloral	2
0.22	chloral	2
0.23	chloral	2
0.23	chloral	2
0.23	chloral	2
0.24	chloral	2
0.24	chloral	2
0.24	chloral	2
0.24	chloral	2
0.25	chloral	2
0.25	chloral	2
0.27	chloral	2
0.28	chloral	2
0.29	chloral	2
0.29	chloral	2
0.30	chloral	2
0.32	chloral	2
0.32	chloral	2
0.33	chloral	2
0.33	chloral	2
0.33	chloral	2
0.34	chloral	2
0.34	chloral	2
0.37	chloral	2
0.38	chloral	2
0.38	chloral	2
0.38	chloral	2
0.42	chloral	2
0.43	chloral	2
0.54	chloral	2
0.62	chloral	2
0.62	chloral	2
0.69	chloral	2
0.10	hydro	3
0.08	hydro	3
0.12	hydro	3
0.13	hydro	3
0.14	hydro	3
0.15	hydro	3
0.15	hydro	3
0.16	hydro	3
0.16	hydro	3
0.17	hydro	3
0.18	hydro	3
0.18	hydro	3
0.18	hydro	3
0.18	hydro	3
0.19	hydro	3
0.20	hydro	3
0.21	hydro	3
0.23	hydro	3
0.23	hydro	3
0.23	hydro	3
0.24	hydro	3
0.24	hydro	3
0.24	hydro	3
0.25	hydro	3
0.25	hydro	3
0.27	hydro	3
0.29	hydro	3
0.29	hydro	3
0.30	hydro	3
0.30	hydro	3
0.30	hydro	3
0.31	hydro	3
0.31	hydro	3
0.31	hydro	3
0.32	hydro	3
0.33	hydro	3
0.34	hydro	3
0.35	hydro	3
0.37	hydro	3
0.38	hydro	3
0.40	hydro	3
0.40	hydro	3
0.43	hydro	3
0.46	hydro	3
0.46	hydro	3
0.47	hydro	3
0.47	hydro	3
0.50	hydro	3
0.55	hydro	3
0.56	hydro	3
0.10	diazep	4
0.10	diazep	4
0.10	diazep	4
0.12	diazep	4
0.13	diazep	4
0.13	diazep	4
0.13	diazep	4
0.14	diazep	4
0.14	diazep	4
0.15	diazep	4
0.15	diazep	4
0.15	diazep	4
0.15	diazep	4
0.17	diazep	4
0.18	diazep	4
0.20	diazep	4
0.21	diazep	4
0.22	diazep	4
0.22	diazep	4
0.24	diazep	4
0.25	diazep	4
0.25	diazep	4
0.25	diazep	4
0.25	diazep	4
0.27	diazep	4
0.27	diazep	4
0.28	diazep	4
0.29	diazep	4
0.29	diazep	4
0.31	diazep	4
0.31	diazep	4
0.35	diazep	4
0.35	diazep	4
0.35	diazep	4
0.36	diazep	4
0.38	diazep	4
0.38	diazep	4
0.39	diazep	4
0.40	diazep	4
0.42	diazep	4
0.48	diazep	4
0.49	diazep	4
0.53	diazep	4
0.54	diazep	4
0.55	diazep	4
0.66	diazep	4
0.68	diazep	4
0.69	diazep	4
0.71	diazep	4
0.72	diazep	4
0.07	econid	5
0.08	econid	5
0.09	econid	5
0.10	econid	5
0.10	econid	5
0.10	econid	5
0.11	econid	5
0.11	econid	5
0.12	econid	5
0.12	econid	5
0.12	econid	5
0.13	econid	5
0.14	econid	5
0.15	econid	5
0.16	econid	5
0.17	econid	5
0.17	econid	5
0.18	econid	5
0.19	econid	5
0.22	econid	5
0.24	econid	5
0.25	econid	5
0.26	econid	5
0.27	econid	5
0.27	econid	5
0.28	econid	5
0.29	econid	5
0.29	econid	5
0.32	econid	5
0.32	econid	5
0.32	econid	5
0.32	econid	5
0.33	econid	5
0.33	econid	5
0.35	econid	5
0.37	econid	5
0.37	econid	5
0.37	econid	5
0.39	econid	5
0.39	econid	5
0.39	econid	5
0.39	econid	5
0.40	econid	5
0.40	econid	5
0.40	econid	5
0.41	econid	5
0.42	econid	5
0.42	econid	5
0.45	econid	5
0.59	econid	5
0.17	colchi	6
0.19	colchi	6
0.22	colchi	6
0.24	colchi	6
0.24	colchi	6
0.24	colchi	6
0.24	colchi	6
0.25	colchi	6
0.27	colchi	6
0.27	colchi	6
0.28	colchi	6
0.29	colchi	6
0.29	colchi	6
0.30	colchi	6
0.35	colchi	6
0.36	colchi	6
0.36	colchi	6
0.36	colchi	6
0.38	colchi	6
0.39	colchi	6
0.40	colchi	6
0.40	colchi	6
0.40	colchi	6
0.41	colchi	6
0.41	colchi	6
0.41	colchi	6
0.43	colchi	6
0.45	colchi	6
0.46	colchi	6
0.47	colchi	6
0.47	colchi	6
0.48	colchi	6
0.48	colchi	6
0.48	colchi	6
0.49	colchi	6
0.50	colchi	6
0.52	colchi	6
0.59	colchi	6
0.59	colchi	6
0.60	colchi	6
0.65	colchi	6
0.67	colchi	6
0.69	colchi	6
0.71	colchi	6
0.71	colchi	6
0.72	colchi	6
0.76	colchi	6
0.78	colchi	6
0.79	colchi	6
0.80	colchi	6
