control	chloral	hydro	diazepam	eco	col
0.08	0.08	0.10	0.10	0.07	0.17
0.08	0.10	0.08	0.10	0.08	0.19
0.09	0.08	0.12	0.10	0.09	0.22
0.12	0.09	0.13	0.12	0.10	0.24
0.12	0.10	0.14	0.13	0.10	0.24
0.13	0.10	0.15	0.13	0.10	0.24
0.15	0.13	0.15	0.13	0.11	0.24
0.16	0.13	0.16	0.14	0.11	0.25
0.16	0.14	0.16	0.14	0.12	0.27
0.16	0.14	0.17	0.15	0.12	0.27
0.16	0.15	0.18	0.15	0.12	0.28
0.17	0.15	0.18	0.15	0.13	0.29
0.18	0.15	0.18	0.15	0.14	0.29
0.18	0.17	0.18	0.17	0.15	0.30
0.19	0.17	0.19	0.18	0.16	0.35
0.19	0.19	0.20	0.20	0.17	0.36
0.19	0.21	0.21	0.21	0.17	0.36
0.19	0.21	0.23	0.22	0.18	0.36
0.19	0.22	0.23	0.22	0.19	0.38
0.20	0.23	0.23	0.24	0.22	0.39
0.20	0.23	0.24	0.25	0.24	0.40
0.20	0.23	0.24	0.25	0.25	0.40
0.20	0.24	0.24	0.25	0.26	0.40
0.21	0.24	0.25	0.25	0.27	0.41
0.21	0.24	0.25	0.27	0.27	0.41
0.21	0.24	0.27	0.27	0.28	0.41
0.21	0.25	0.29	0.28	0.29	0.43
0.22	0.25	0.29	0.29	0.29	0.45
0.23	0.27	0.30	0.29	0.32	0.46
0.24	0.28	0.30	0.31	0.32	0.47
0.24	0.29	0.30	0.31	0.32	0.47
0.24	0.29	0.31	0.35	0.32	0.48
0.24	0.30	0.31	0.35	0.33	0.48
0.24	0.32	0.31	0.35	0.33	0.48
0.25	0.32	0.32	0.36	0.35	0.49
0.25	0.33	0.33	0.38	0.37	0.50
0.25	0.33	0.34	0.38	0.37	0.52
0.26	0.33	0.35	0.39	0.37	0.59
0.26	0.34	0.37	0.40	0.39	0.59
0.28	0.34	0.38	0.42	0.39	0.60
0.29	0.37	0.40	0.48	0.39	0.65
0.29	0.38	0.40	0.49	0.39	0.67
0.30	0.38	0.43	0.53	0.40	0.69
0.31	0.38	0.46	0.54	0.40	0.71
0.33	0.42	0.46	0.55	0.40	0.71
0.42	0.43	0.47	0.66	0.41	0.72
0.44	0.54	0.47	0.68	0.42	0.76
0.51	0.62	0.50	0.69	0.42	0.78
0.59	0.62	0.55	0.71	0.45	0.79
0.62	0.69	0.56	0.72	0.59	0.80
