msce	disperse	race	racecode
8.44	1.09	Black	1
7.40	0.62	Black	1
8.15	0.91	Black	1
7.36	0.97	Black	1
7.60	0.75	Black	1
8.04	1.02	Black	1
9.04	2.63	Black	1
9.76	1.18	Black	1
8.27	0.58	Cauca	2
8.20	0.52	Cauca	2
8.25	0.65	Cauca	2
8.14	0.45	Cauca	2
9.00	0.56	Cauca	2
8.10	0.44	Cauca	2
7.20	0.58	Cauca	2
8.32	0.79	Cauca	2
7.70	0.53	Cauca	2
8.50	0.45	NatAm	3
9.48	0.75	NatAm	3
8.65	0.85	NatAm	3
8.16	0.50	NatAm	3
8.83	0.61	NatAm	3
7.76	0.63	NatAm	3
8.63	0.93	NatAm	3
9.84	1.63	Asian	4
9.40	1.29	Asian	4
8.20	1.39	Asian	4
8.24	1.28	Asian	4
9.20	0.66	Asian	4
8.55	2.06	Asian	4
8.52	1.24	Asian	4
8.12	1.30	Asian	4
