price	time	timecode
93	Nov87	1
85	Nov87	1
60	Nov87	1
62	Nov87	1
63	Nov87	1
66	Nov87	1
70	Nov87	1
71	Nov87	1
72	Nov87	1
73	Nov87	1
72	Nov87	1
75	Nov87	1
76	Nov87	1
80	Nov87	1
86	Nov87	1
96	Nov87	1
97	Nov87	1
69	Nov87	1
135	Nov87	1
165	Nov87	1
177	Nov87	1
98	Nov87	1
115	Nov87	1
120	Nov87	1
120	Nov87	1
125	Nov87	1
79	Nov87	1
145	Nov87	1
152	Nov87	1
159	Nov87	1
160	Nov87	1
169	Nov87	1
69	Nov87	1
146	Nov87	1
65	Nov87	1
100	Nov87	1
94	Nov87	1
185	Sep89	2
210	Sep89	2
249	Sep89	2
395	Sep89	2
139	Sep89	2
248	Sep89	2
97	Sep89	2
148	Sep89	2
88	Sep89	2
265	Sep89	2
150	Sep89	2
198	Sep89	2
110	Sep89	2
179	Sep89	2
65	Sep89	2
79	Sep89	2
74	Sep89	2
69	Sep89	2
82	Sep89	2
85	Sep89	2
93	Sep89	2
97	Sep89	2
82	Sep89	2
95	Sep89	2
81	Sep89	2
64	Sep89	2
119	Sep89	2
88	Sep89	2
112	Sep89	2
85	Sep89	2
119	Aug91	3
170	Aug91	3
92	Aug91	3
139	Aug91	3
175	Aug91	3
128	Aug91	3
69	Aug91	3
80	Aug91	3
114	Aug91	3
349	Aug91	3
265	Aug91	3
75	Aug91	3
148	Aug91	3
123	Aug91	3
140	Aug91	3
137	Aug91	3
186	Aug91	3
125	Aug91	3
105	Aug91	3
66	Aug91	3
121	Aug91	3
