before	after	position	poscode
184.8	177.5	bott	1
153.7	244.0	bott	1
283.2	233.2	bott	1
46.5	117.9	bott	1
208.3	196.5	bott	1
63.5	238.4	bott	1
164.0	265.6	bott	1
126.6	292.5	bott	1
110.6	111.5	bott	1
115.3	267.3	bott	1
200.5	164.1	bott	1
247.3	466.1	bott	1
412.5	318.9	bott	1
156.1	215.9	bott	1
245.6	160.5	bott	1
339.1	413.8	bott	1
237.4	131.4	bott	1
239.5	130.3	bott	1
366.3	724.5	bott	1
269.9	855.8	bott	1
72.0	714.2	bott	1
412.8	499.1	bott	1
113.1	547.7	bott	1
119.1	397.5	bott	1
116.3	245.3	bott	1
116.4	1094.7	bott	1
200.2	423.0	plat	2
292.4	188.6	plat	2
171.4	218.2	plat	2
292.7	251.4	plat	2
251.0	190.0	plat	2
313.4	208.0	plat	2
166.6	470.5	plat	2
171.5	126.8	plat	2
219.0	68.3	plat	2
192.9	209.5	plat	2
144.5	253.2	plat	2
146.3	146.9	plat	2
197.2	156.9	plat	2
161.4	147.7	plat	2
214.0	106.3	plat	2
396.4	412.3	plat	2
57.6	104.3	plat	2
98.3	159.6	plat	2
110.4	274.7	plat	2
233.8	120.2	plat	2
260.2	382.1	plat	2
268.4	341.2	plat	2
294.1	241.0	plat	2
