weight	temp	tempcode	treatment	trcode
1.7	14	1	control	1
2.3	14	1	control	1
3.2	14	1	control	1
1.5	14	1	control	1
2.0	14	1	control	1
2.9	14	1	control	1
2.0	14	1	fungal	2
2.7	14	1	fungal	2
1.8	14	1	fungal	2
2.4	14	1	fungal	2
1.1	14	1	fungal	2
2.6	14	1	fungal	2
23.0	18	2	control	1
15.4	18	2	control	1
22.8	18	2	control	1
21.5	18	2	control	1
20.8	18	2	control	1
20.3	18	2	control	1
14.2	18	2	fungal	2
14.7	18	2	fungal	2
21.4	18	2	fungal	2
9.7	18	2	fungal	2
12.2	18	2	fungal	2
8.2	18	2	fungal	2
30.8	22	3	control	1
14.6	22	3	control	1
36.0	22	3	control	1
23.9	22	3	control	1
20.3	22	3	control	1
27.7	22	3	control	1
23.6	22	3	fungal	2
28.1	22	3	fungal	2
13.3	22	3	fungal	2
24.6	22	3	fungal	2
19.3	22	3	fungal	2
31.5	22	3	fungal	2
10.2	26	4	control	1
15.6	26	4	control	1
14.7	26	4	control	1
20.5	26	4	control	1
14.3	26	4	control	1
23.2	26	4	control	1
13.3	26	4	fungal	2
8.5	26	4	fungal	2
11.8	26	4	fungal	2
7.8	26	4	fungal	2
15.1	26	4	fungal	2
11.8	26	4	fungal	2
