pertussis	vaccine	vaccode
3.91	APV	1
4.86	APV	1
3.98	APV	1
5.11	APV	1
3.27	APV	1
2.26	APV	1
3.81	APV	1
3.78	APV	1
3.96	APV	1
4.88	APV	1
4.74	APV	1
5.21	APV	1
5.16	APV	1
5.17	APV	1
4.92	APV	1
4.60	APV	1
4.26	APV	1
3.71	APV	1
3.50	APV	1
4.30	APV	1
4.27	APV	1
2.34	APV	1
3.96	APV	1
4.08	APV	1
-2.30	APV	1
4.09	APV	1
2.58	APV	1
3.49	APV	1
5.17	APV	1
4.83	APV	1
5.76	DAPV	2
3.31	DAPV	2
5.04	DAPV	2
3.62	DAPV	2
3.73	DAPV	2
5.28	DAPV	2
4.10	DAPV	2
3.46	DAPV	2
4.92	DAPV	2
3.41	DAPV	2
5.66	DAPV	2
5.14	DAPV	2
4.92	DAPV	2
4.07	DAPV	2
4.50	DAPV	2
4.20	DAPV	2
4.38	DAPV	2
3.63	DAPV	2
3.45	DAPV	2
3.59	DAPV	2
2.34	DAPV	2
4.05	DAPV	2
3.97	DAPV	2
4.62	DAPV	2
4.63	DAPV	2
4.63	DAPV	2
4.23	DAPV	2
3.64	DAPV	2
3.45	DAPV	2
4.87	DAPV	2
4.09	DAPV	2
6.17	WCV	3
5.78	WCV	3
2.87	WCV	3
4.49	WCV	3
3.07	WCV	3
2.90	WCV	3
2.41	WCV	3
2.20	WCV	3
4.68	WCV	3
5.45	WCV	3
5.70	WCV	3
5.73	WCV	3
5.32	WCV	3
4.66	WCV	3
4.82	WCV	3
3.06	WCV	3
1.29	WCV	3
1.92	WCV	3
2.01	WCV	3
4.07	WCV	3
2.56	WCV	3
1.74	WCV	3
1.21	WCV	3
1.68	WCV	3
3.76	WCV	3
2.17	WCV	3
1.36	WCV	3
1.47	WCV	3
2.47	WCV	3
1.80	WCV	3
