increase	method	methcode
0.1	Both	1
3.2	Both	1
4.3	Both	1
-0.5	Both	1
1.9	Both	1
3.3	Both	1
2.5	Both	1
3.6	Both	1
0.4	Both	1
2.3	Both	1
-1.4	Both	1
-0.7	Both	1
-0.1	Both	1
0.2	Both	1
0.4	Both	1
0.9	Both	1
1.2	Both	1
1.4	Both	1
1.8	Both	1
1.8	Both	1
2.4	Both	1
3.1	Both	1
1.0	Map	2
-0.5	Map	2
1.0	Map	2
0.6	Map	2
0.6	Map	2
1.0	Map	2
1.0	Map	2
-1.4	Map	2
2.2	Map	2
3.6	Map	2
3.1	Map	2
2.6	Map	2
1.0	Scan	3
3.3	Scan	3
1.4	Scan	3
-0.9	Scan	3
1.0	Scan	3
0.0	Scan	3
0.6	Scan	3
-0.3	Neither	4
-1.3	Neither	4
1.6	Neither	4
-0.4	Neither	4
-0.7	Neither	4
0.6	Neither	4
-1.8	Neither	4
-2.0	Neither	4
-0.7	Neither	4
