obs	year	km	price
1	84	31	30
2	81	86	13
3	78	89	7.5
4	84	21	27
5	85	7.5	48
6	74	62	4
7	85	11	66
8	79	69	11
9	82	80	34
10	79	125	12
11	76	15	5
12	80	72	20
13	84	17	30
14	83	42	46.5
15	82	63	27
16	78	10	11
17	74	159	3
18	85	7	49.5
19	85	7	55
20	82	86	26
21	82	38	20
22	78	104	10
23	81	72	21
24	85	2	48.5
25	81	9	18
26	79	130	7
27	85	6.5	45
28	80	60	20
29	85	11	45
30	75	100	6
31	82	26	32.5
32	82	60	26.5
33	85	11	49
34	83	50	33
35	82	87	36
36	85	16	40
37	80	100	13
38	82	63	27
39	84	21	38.5
40	80	69	18
41	76	22	7
42	80	28	30
43	85	6	37
44	85	9.5	45.5
45	78	129	8
46	85	22	39.5
47	78	10	11
48	85	11	45
49	84	31	32
50	76	8	13
51	81	88	18
52	75	100	6
53	83	38	33.5
54	79	38	10
55	79	84	14
56	81	60	19
57	83	45	36
58	74	35	6
59	78	75	8.5
