student	perceivd	true
1	10	15.5
1	10	15.5
1	4	15.5
1	10	15.5
1	5	15.5
1	10	15.5
1	10	15.5
1	15	15.5
1	35	32.4
1	15	32.4
1	20	32.4
1	30	32.4
1	30	32.4
1	20	32.4
1	20	32.4
1	5	32.4
1	30	52.6
1	70	52.6
1	40	52.6
1	70	52.6
1	75	52.6
1	60	52.6
1	60	52.6
1	50	52.6
1	80	75.5
1	75	75.5
1	95	75.5
1	90	75.5
1	90	75.5
1	90	75.5
1	75	75.5
1	80	75.5
1	120	128
1	130	128
1	130	128
1	150	128
1	180	128
1	180	128
1	150	128
1	130	128
1	175	157.1
1	200	157.1
1	150	157.1
1	150	157.1
1	250	157.1
1	200	157.1
1	130	157.1
1	190	157.1
1	250	188
1	250	188
1	350	188
1	250	188
1	200	188
1	400	188
1	175	188
1	240	188
1	200	220.4
1	250	220.4
1	350	220.4
1	225	220.4
1	350	220.4
1	130	220.4
1	250	220.4
1	220	220.4
1	350	254.4
1	375	254.4
1	250	254.4
1	400	254.4
1	340	254.4
1	550	254.4
1	400	254.4
1	270	254.4
4	25	15.5
4	15	15.5
4	25	15.5
4	20	15.5
4	25	15.5
4	15	15.5
4	15	15.5
4	25	15.5
4	40	32.4
4	50	32.4
4	50	32.4
4	50	32.4
4	50	32.4
4	50	32.4
4	50	32.4
4	50	32.4
4	50	52.6
4	80	52.6
4	80	52.6
4	50	52.6
4	80	52.6
4	75	52.6
4	80	52.6
4	80	52.6
4	90	75.5
4	90	75.5
4	90	75.5
4	90	75.5
4	80	75.5
4	80	75.5
4	80	75.5
4	90	75.5
4	110	128
4	110	128
4	111	128
4	110	128
4	120	128
4	110	128
4	110	128
4	110	128
4	120	157.1
4	115	157.1
4	170	157.1
4	125	157.1
4	120	157.1
4	120	157.1
4	120	157.1
4	120	157.1
4	130	188
4	120	188
4	150	188
4	130	188
4	130	188
4	120	188
4	120	188
4	130	188
4	180	220.4
4	140	220.4
4	160	220.4
4	180	220.4
4	140	220.4
4	130	220.4
4	120	220.4
4	150	220.4
4	200	254.4
4	200	254.4
4	130	254.4
4	200	254.4
4	200	254.4
4	150	254.4
4	200	254.4
4	150	254.4
8	15	15.5
8	15	15.5
8	15	15.5
8	10	15.5
8	20	15.5
8	10	15.5
8	15	15.5
8	15	15.5
8	45	32.4
8	50	32.4
8	50	32.4
8	25	32.4
8	30	32.4
8	50	32.4
8	30	32.4
8	35	32.4
8	75	52.6
8	60	52.6
8	65	52.6
8	50	52.6
8	65	52.6
8	45	52.6
8	75	52.6
8	75	52.6
8	100	75.5
8	85	75.5
8	75	75.5
8	90	75.5
8	80	75.5
8	90	75.5
8	75	75.5
8	80	75.5
8	125	128
8	115	128
8	130	128
8	135	128
8	110	128
8	110	128
8	75	128
8	110	128
8	175	157.1
8	225	157.1
8	125	157.1
8	250	157.1
8	175	157.1
8	200	157.1
8	200	157.1
8	125	157.1
8	130	188
8	200	188
8	175	188
8	275	188
8	200	188
8	200	188
8	250	188
8	225	188
8	300	220.4
8	275	220.4
8	285	220.4
8	300	220.4
8	250	220.4
8	300	220.4
8	200	220.4
8	250	220.4
8	400	254.4
8	600	254.4
8	300	254.4
8	350	254.4
8	350	254.4
8	200	254.4
8	300	254.4
8	400	254.4
10	21	15.5
10	15	15.5
10	25	15.5
10	15	15.5
10	15	15.5
10	10	15.5
10	20	15.5
10	20	15.5
10	45	32.4
10	56	32.4
10	65	32.4
10	35	32.4
10	45	32.4
10	45	32.4
10	49	32.4
10	20	32.4
10	60	52.6
10	80	52.6
10	45	52.6
10	50	52.6
10	83	52.6
10	63	52.6
10	50	52.6
10	75	52.6
10	85	75.5
10	96	75.5
10	85	75.5
10	90	75.5
10	90	75.5
10	87	75.5
10	76	75.5
10	87	75.5
10	250	128
10	125	128
10	175	128
10	425	128
10	400	128
10	225	128
10	156	128
10	110	128
10	500	157.1
10	600	157.1
10	200	157.1
10	500	157.1
10	600	157.1
10	350	157.1
10	300	157.1
10	400	157.1
10	250	188
10	500	188
10	700	188
10	1000	188
10	700	188
10	460	188
10	500	188
10	550	188
10	1000	220.4
10	1500	220.4
10	1020	220.4
10	950	220.4
10	945	220.4
10	600	220.4
10	800	220.4
10	925	220.4
10	1000	254.4
10	2000	254.4
10	200	254.4
10	2000	254.4
10	2000	254.4
10	2000	254.4
10	800	254.4
10	4000	254.4
