obs	dist	km_ltr	days	month
1	313	6.01	7	4
2	374	6.55	6	4
3	272	6.59	5	4
4	232	7.81	3	4
5	268	6.57	6	5
6	141	6.38	3	5
7	361	7.11	6	5
8	141	5.44	4	5
9	203	6.15	4	5
10	193	7.88	3	5
11	214	6.79	3	5
12	156	7.78	5	6
13	229	6.54	3	6
14	187	6.58	3	6
15	193	8.98	3	6
16	286	8.61	5	6
17	167	7.05	3	6
18	151	7.31	5	6
19	388	8.78	7	7
20	195	6.96	3	7
21	380	9.27	3	7
22	296	9.58	0	7
23	282	8.68	1	7
24	436	9.25	0	7
25	287	9.23	0	7
26	383	8.74	1	7
27	417	9.12	0	7
28	378	8.92	0	7
29	281	9.59	2	7
30	297	8.95	2	7
31	226	9.19	0	7
32	642	8.02	6	7
33	271	5.55	6	7
34	167	8.43	2	7
35	194	8.70	1	8
36	294	10.54	0	8
37	396	9.71	1	8
38	339	9.42	0	8
39	217	10.59	0	8
40	384	8.87	1	8
41	447	9.22	1	8
42	298	9.93	1	8
43	464	9.21	1	8
44	379	7.70	9	8
45	272	8.07	6	8
46	143	7.90	3	8
47	346	8.22	4	8
48	345	7.93	5	9
49	343	7.74	8	9
50	299	7.71	7	9
51	347	7.48	10	9
52	282	8.01	5	10
53	260	7.03	6	10
54	336	8.18	6	10
55	305	6.92	6	10
56	284	8.30	5	10
57	225	7.79	5	10
58	292	6.71	6	11
59	280	7.12	4	11
60	153	8.18	2	11
61	262	6.27	1	11
62	215	7.03	4	11
63	146	5.89	3	11
64	267	6.94	6	11
65	223	6.52	2	12
66	231	6.42	5	12
67	185	6.22	3	12
68	228	6.44	6	12
69	324	5.70	6	12
70	225	4.14	14	1
71	134	3.86	3	1
72	318	6.07	9	1
73	266	5.34	7	1
74	316	6.03	5	1
75	261	6.74	5	2
76	161	5.61	4	2
77	264	6.07	5	2
78	201	8.59	9	2
79	305	6.15	7	2
80	301	6.94	5	3
81	186	4.74	3	3
82	301	7.02	7	3
83	217	6.96	4	3
84	352	7.05	10	3
85	283	6.43	2	3
86	557	11.61	9	4
