i	gauge	can
1	0.05	0.11
2	0.50	1.08
3	0.54	1.16
4	1.31	2.75
5	0.07	0.12
6	0.28	0.60
7	0.73	1.55
8	0.46	1.00
9	0.35	0.61
10	1.40	3.18
11	0.91	2.16
12	0.86	1.82
13	2.05	4.75
14	0.58	1.05
15	0.41	0.92
16	0.40	0.86
17	0.14	0.24
18	0.03	0.01
19	0.25	0.51
20	0.96	2.15
21	0.32	0.53
22	2.25	5.20
23	0.06	0.00
24	0.60	1.17
25	3.10	6.67
26	0.04	0.04
27	1.00	2.22
28	0.05	0.05
29	0.09	0.15
30	0.25	0.41
31	0.70	1.45
32	0.12	0.22
33	1.00	2.22
34	0.38	0.70
35	1.63	2.73
36	0.02	0.02
37	0.09	0.18
38	0.14	0.27
39	0.62	1.25
40	0.23	0.46
41	0.17	0.31
42	0.33	0.75
43	1.17	2.55
44	0.43	1.00
45	1.77	3.98
46	0.58	1.26
47	2.34	5.40
48	0.50	1.02
49	1.62	3.75
50	1.70	3.70
51	0.14	0.30
52	0.06	0.07
53	0.31	0.58
54	0.35	0.72
55	0.29	0.63
56	0.73	1.55
57	1.23	2.47
