year	m100	m200	m400	f100	f200	f400
1896	12.0	NA	54.2	NA	NA	NA
1900	11.0	22.2	49.4	NA	NA	NA
1904	11.0	21.6	49.2	NA	NA	NA
1908	10.8	22.6	50.0	NA	NA	NA
1912	10.8	21.7	48.2	NA	NA	NA
1920	10.8	22.0	49.6	NA	NA	NA
1924	10.6	21.6	47.6	NA	NA	NA
1928	10.8	21.8	47.8	12.2	NA	NA
1932	10.3	21.2	46.2	11.9	NA	NA
1936	10.3	20.7	46.5	11.5	NA	NA
1948	10.3	21.1	46.2	11.9	24.4	NA
1952	10.4	20.7	45.9	11.5	23.7	NA
1956	10.5	20.6	46.7	11.5	23.4	NA
1960	10.2	20.5	44.9	11.0	24.0	NA
1964	10.0	20.3	45.1	11.4	23.0	52
1968	9.95	19.83	43.8	11.0	22.5	52
1972	10.14	20.00	44.6	11.07	22.4	51.08
1976	10.06	20.23	44.26	11.08	22.37	49.29
1980	10.25	20.19	44.60	11.60	22.03	48.88
1984	9.99	19.80	44.27	10.97	21.81	48.83
1988	9.92	19.75	43.87	10.54	21.34	48.65
1992	9.96	20.01	43.50	10.82	21.81	48.83
1996	9.84	19.32	43.49	10.94	22.12	48.25
