Subgroup	wtm1998.1	wtm1998.2	wtm1998.3	wtm1998.4	wtm1998.5
1	32.3	31.6	13.3	14.3	16.6
2	23.2	32.9	30.1	34.8	29.9
3	8.1	17.5	11.9	11.4	12.5
4	19.6	26.2	27.8	27.4	17.1
5	31.4	35.7	29.2	29.7	26.9
6	37.5	22.6	8.1	12.9	14.5
7	20.0	18.0	23.6	9.0	16.1
8	7.9	4.4	4.4	3.9	3.7
9	17.8	17.1	18.4	24.9	21.5
10	25.4	26.9	27.3	21.6	29.2
11	35.9	42.8	41.1	37.4	24.8
12	26.6	33.4	27.9	25.1	29.9
13	13.7	11.8	20.6	6.2	14.2
14	32.3	23.1	17.7	22.1	12.1
15	27.4	26.0	29.4	29.5	32.5
16	36.5	42.4	30.7	27.0	23.3
17	24.0	36.8	31.5	22.5	25.6
18	26.2	18.0	14.4	6.8	11.3
19	25.7	26.3	23.2	17.8	18.1
20	16.4	44.1	33.4	29.7	32.2
21	13.2	23.3	23.7	21.0	16.7
22	24.5	32.8	24.4	29.2	22.0
23	16.7	24.9	27.8	29.3	31.4
24	34.2	25.6	11.5	8.5	2.6
25	33.6	17.4	17.5	18.4	15.6
26	27.2	37.2	27.4	28.2	21.2
27	29.6	39.0	35.7	32.5	29.3
28	18.9	54.3	40.4	35.3	28.3
29	19.1	28.6	23.8	29.9	27.1
30	29.9	29.4	30.8	30.3	38.5
