subgroup	wtm1998
1	32.3
1	31.6
1	13.3
1	14.3
1	16.6
2	23.2
2	32.9
2	30.1
2	34.8
2	29.9
3	8.1
3	17.5
3	11.9
3	11.4
3	12.5
4	19.6
4	26.2
4	27.8
4	27.4
4	17.1
5	31.4
5	35.7
5	29.2
5	29.7
5	26.9
6	37.5
6	22.6
6	8.1
6	12.9
6	14.5
7	20.0
7	18.0
7	23.6
7	9.0
7	16.1
8	7.9
8	4.4
8	4.4
8	3.9
8	3.7
9	17.8
9	17.1
9	18.4
9	24.9
9	21.5
10	25.4
10	26.9
10	27.3
10	21.6
10	29.2
11	35.9
11	42.8
11	41.1
11	37.4
11	24.8
12	26.6
12	33.4
12	27.9
12	25.1
12	29.9
13	13.7
13	11.8
13	20.6
13	6.2
13	14.2
14	32.3
14	23.1
14	17.7
14	22.1
14	12.1
15	27.4
15	26.0
15	29.4
15	29.5
15	32.5
16	36.5
16	42.4
16	30.7
16	27.0
16	23.3
17	24.0
17	36.8
17	31.5
17	22.5
17	25.6
18	26.2
18	18.0
18	14.4
18	6.8
18	11.3
19	25.7
19	26.3
19	23.2
19	17.8
19	18.1
20	16.4
20	44.1
20	33.4
20	29.7
20	32.2
21	13.2
21	23.3
21	23.7
21	21.0
21	16.7
22	24.5
22	32.8
22	24.4
22	29.2
22	22.0
23	16.7
23	24.9
23	27.8
23	29.3
23	31.4
24	34.2
24	25.6
24	11.5
24	8.5
24	2.6
25	33.6
25	17.4
25	17.5
25	18.4
25	15.6
26	27.2
26	37.2
26	27.4
26	28.2
26	21.2
27	29.6
27	39.0
27	35.7
27	32.5
27	29.3
28	18.9
28	54.3
28	40.4
28	35.3
28	28.3
29	19.1
29	28.6
29	23.8
29	29.9
29	27.1
30	29.9
30	29.4
30	30.8
30	30.3
30	38.5
