Year	Month	No.defect	Tot.subgp
1992	Jan	13	109
1992	Feb	11	108
1992	Mar	18	135
1992	Apr	20	112
1992	May	14	99
1992	Jun	15	97
1992	Jul	36	108
1992	Aug	20	100
1992	Sep	25	121
1992	Oct	28	119
1992	Nov	34	124
1992	Dec	21	113
1993	Jan	16	104
1993	Feb	30	102
1993	Mar	27	131
1993	Apr	27	122
1993	May	29	116
1993	Jun	17	96
1993	Jul	37	118
1993	Aug	32	122
1993	Sep	19	123
1993	Oct	31	126
1993	Nov	38	142
1993	Dec	15	90
1994	Jan	23	106
1994	Feb	23	115
1994	Mar	47	136
1994	Apr	36	98
1994	May	39	123
1994	Jun	28	84
1994	Jul	44	107
1994	Aug	29	135
1994	Sep	26	108
1994	Oct	24	112
1994	Nov	30	113
1994	Dec	21	102
1995	Jan	22	93
1995	Feb	18	132
1995	Mar	38	130
1995	Apr	29	113
