Year	Month	No.defect	Tot.subgp	percent.defect
1992	Jan	13	109	11.9
1992	Feb	11	108	10.2
1992	Mar	18	135	13.3
1992	Apr	20	112	17.9
1992	May	14	99	14
1992	Jun	15	97	15.5
1992	Jul	36	108	33.3
1992	Aug	20	100	20
1992	Sep	25	121	20.7
1992	Oct	28	119	23.5
1992	Nov	34	124	27.4
1992	Dec	21	113	18.6
1993	Jan	16	104	15.4
1993	Feb	30	102	29.4
1993	Mar	27	131	20.6
1993	Apr	27	122	22.1
1993	May	29	116	25
1993	Jun	17	96	17.7
1993	Jul	37	118	31.4
1993	Aug	32	122	26.3
1993	Sep	19	123	15.5
1993	Oct	31	126	24.6
1993	Nov	38	142	26.8
1993	Dec	15	90	16.7
1994	Jan	23	106	21.7
1994	Feb	23	115	20
1994	Mar	47	136	34.6
1994	Apr	36	98	36.7
1994	May	39	123	31.7
1994	Jun	28	84	33.3
1994	Jul	44	107	41.1
1994	Aug	29	135	21.5
1994	Sep	26	108	24.1
1994	Oct	24	112	21.4
1994	Nov	30	113	26.5
1994	Dec	21	102	20.6
1995	Jan	22	93	23.6
1995	Feb	18	132	13.6
1995	Mar	38	130	29.2
1995	Apr	29	113	25.7
