shift	thickness
1	2.7
1	2.3
1	2.6
1	2.4
1	2.7
2	2.6
2	2.4
2	2.6
2	2.3
2	2.8
3	2.3
3	2.3
3	2.4
3	2.5
3	2.4
4	2.8
4	2.3
4	2.4
4	2.6
4	2.7
5	2.6
5	2.5
5	2.6
5	2.1
5	2.8
6	2.2
6	2.3
6	2.7
6	2.2
6	2.6
7	2.2
7	2.6
7	2.4
7	2.0
7	2.3
8	2.8
8	2.6
8	2.6
8	2.7
8	2.5
9	2.4
9	2.8
9	2.4
9	2.2
9	2.3
10	2.6
10	2.3
10	2.0
10	2.5
10	2.4
11	3.1
11	3.0
11	3.5
11	2.8
11	3.0
12	2.4
12	2.8
12	2.2
12	2.9
12	2.5
13	2.1
13	3.2
13	2.5
13	2.6
13	2.8
14	2.2
14	2.8
14	2.1
14	2.2
14	2.4
15	2.4
15	3.0
15	2.5
15	2.5
15	2.0
16	3.1
16	2.6
16	2.6
16	2.8
16	2.1
17	2.9
17	2.4
17	2.9
17	1.3
17	1.8
18	1.9
18	1.6
18	2.6
18	3.3
18	3.3
19	2.3
19	2.6
19	2.7
19	2.8
19	3.2
20	1.8
20	2.8
20	2.3
20	2.0
20	2.9
