Roll	Thick1	Thick2	Mean
1	115	123	119
2	114	124	119
3	115	122	118.5
4	114	123	118.5
5	114	125	119.5
6	115	124	119.5
7	112	127	119.5
8	115	126	120.5
9	113	124	118.5
10	113	125	119
11	117	126	121.5
12	115	128	121.5
13	116	127	121.5
14	113	121	117
15	112	125	118.5
16	113	124	118.5
17	114	125	119.5
18	113	123	118
19	116	125	120.5
20	114	127	120.5
21	112	120	116
22	110	119	114.5
23	117	125	121
24	116	126	121
25	113	126	119.5
26	116	126	121
27	113	123	118
28	115	124	119.5
29	112	122	117
30	111	124	117.5
31	113	123	118
32	113	120	116.5
33	114	124	119
34	111	125	118
35	115	124	119.5
36	113	124	118.5
37	112	124	118
38	114	127	120.5
39	117	127	122
40	116	126	121
41	117	127	122
42	117	127	122
43	113	125	119
44	113	125	119
45	114	126	120
46	114	129	121.5
47	115	129	122
48	116	129	122.5
49	116	130	123
