week	subgrp.no	rework	tot.prod
May-07	1	35	3662
May-14	2	52	3723
May-21	3	37	3633
May-28	4	31	3664
Jun-04	5	23	3448
Jun-11	6	31	2630
Jun-18	7	21	3580
Jun-25	8	30	3278
Jul-02	9	20	3797
Jul-09	10	20	3893
Jul-16	11	40	3991
Jul-23	12	65	3760
Jul-30	13	58	3590
Aug-06	14	78	3108
Aug-13	15	43	3759
Aug-20	16	30	3606
Aug-27	17	29	3530
Sep-03	18	56	3621
Sep-10	19	41	3888
Sep-17	20	32	3854
Sep-24	21	81	3864
Oct-01	22	74	3846
Oct-08	23	24	3856
Oct-15	24	42	4072
Oct-22	25	35	3693
Oct-29	26	15	3394
Nov-05	27	18	4157
Nov-12	28	25	4012
Nov-19	29	57	3698
Nov-26	30	57	3658
Dec-03	31	42	3236
Dec-10	32	71	3913
Dec-17	33	40	3655
Dec-24	34	24	3542
Jan-21	35	27	2356
