week	subgrp.no	rework	tot.prod	percent
May-07	1	35	3662	0.96
May-14	2	52	3723	1.4
May-21	3	37	3633	1.02
May-28	4	31	3664	0.85
Jun-04	5	23	3448	0.67
Jun-11	6	31	2630	1.18
Jun-18	7	21	3580	0.59
Jun-25	8	30	3278	0.92
Jul-02	9	20	3797	0.53
Jul-09	10	20	3893	0.51
Jul-16	11	40	3991	1
Jul-23	12	65	3760	1.73
Jul-30	13	58	3590	1.62
Aug-06	14	78	3108	2.51
Aug-13	15	43	3759	1.14
Aug-20	16	30	3606	0.83
Aug-27	17	29	3530	0.82
Sep-03	18	56	3621	1.55
Sep-10	19	41	3888	1.05
Sep-17	20	32	3854	0.83
Sep-24	21	81	3864	2.1
Oct-01	22	74	3846	1.92
Oct-08	23	24	3856	0.62
Oct-15	24	42	4072	1.03
Oct-22	25	35	3693	0.95
Oct-29	26	15	3394	0.44
Nov-05	27	18	4157	0.43
Nov-12	28	25	4012	0.62
Nov-19	29	57	3698	1.54
Nov-26	30	57	3658	1.56
Dec-03	31	42	3236	1.3
Dec-10	32	71	3913	1.81
Dec-17	33	40	3655	1.09
Dec-24	34	24	3542	0.68
Jan-21	35	27	2356	1.15
