year	NZ.marr	UK.marr	US.marr	 NZ.birth	UK.birth	US.birth
1974	8.4	15.6	10.5	19.5	13.2	14.8
1975	7.9	15.4	10	18.3	12.5	14.6
1976	7.7	14.5	9.9	17.6	12.1	14.6
1977	7.2	14.5	9.9	17.2	11.8	15.1
1978	7.1	14.9	10.3	16.2	12.3	15.0
1979	7.1	14.9	10.4	16.7	13.1	15.6
1980	7.3	15.0	10.6	16.1	13.5	15.9
1981	7.5	14.1	10.6	16.1	13.0	15.8
1982	8.0	13.4	10.6	15.7	12.8	15.9
1983	7.7	13.8	10.5	15.7	12.8	15.6
1984	7.8	14.0	10.5	15.9	12.9	15.6
1985	7.5	13.9	10.1	15.8	13.3	15.8
1986	7.3	13.9	10.0	16.1	13.3	15.6
1987	7.4	14.0	9.9	16.7	13.6	15.1
1988	7.1	13.8	9.8	17.4	13.8	16.0
1989	6.8	13.7	9.7	17.4	13.6	16.4
1990	6.9	13.1	9.8	17.9	13.9	16.7
1991	6.8	12.1	9.4	17.6	13.7	16.3
1992	6.4	12.3	9.3	17.2	13.5	15.9
1993	6.3	11.7	9.0	16.9	13.1	15.5
