year	J.pene	J.lab	J.inflat	NZ.pene	NZ.lab	NZ.inflat	US.pene	US.lab	US.inflat
1974	NA	1386	23.1	1.91	2.25	11.1	 NA	6.81	11.0
1975	 NA	1580	11.8	2.30	2.55	14.6	 NA	7.31	9.1
1976	 NA 	1776	9.4	2.21	2.89	17.0	   NA 	7.71	5.7
1977	1.05	2003	8.2	2.28	3.26	14.3	4.36	8.10	6.5
1978	1.16	2188	4.1	2.42	3.64	12.0	4.01	8.66	7.6
1979	1.26	2353	3.8	2.47	4.24	13.7	4.28	9.27	11.3
1980	1.40	2516	7.8	2.46	5.01	17.1	4.56	9.94	13.5
1981	1.43	2717	4.9	2.43	6.12	15.3	4.92	10.8	10.3
1982	1.64	2796	2.7	2.46	7.17	16.2	5.35	11.63	6.2
1983	1.77	2893	1.9	2.68	7.38	7.4	4.96	11.94	3.2
1984	1.78	3041	2.2	2.87	7.65	6.2	5.05	12.13	4.3
1985	1.85	3062	2.0	2.59	8.03	15.4	5.11	12.32	3.6
1986	1.87	3197	0.6	2.57	9.86	13.2	 NA 	12.48	1.9
1987	1.90	3314	0.1	2.84	10.82	15.7	 NA 	12.71	3.7
1988	2.07	3484	0.7	2.81	11.74	6.4	 NA 	13.08	4.0
1989	2.04	3732	2.3	3.25	12.19	5.7	 NA 	13.54	4.8
1990	2.04	4016	3.1	3.49	12.85	6.1	 NA 	13.78	5.4
1991	2.25	4246	3.3	3.77	13.26	2.6	 NA 	14.01	4.2
