iobs	v1	v2 	v3	v4	v5	fridge.ranges
1	2.7	2.3	2.6	2.4	2.7	0.4
2	2.6	2.4	2.6	2.3	2.8	0.5
3	2.3	2.3	2.4	2.5	2.4	0.2
4	2.8	2.3	2.4	2.6	2.7	0.5
5	2.6	2.5	2.6	2.1	2.8	0.7
6	2.2	2.3	2.7	2.2	2.6	0.5
7	2.2	2.6	2.4	2	2.3	0.6
8	2.8	2.6	2.6	2.7	2.5	0.3
9	2.4	2.8	2.4	2.2	2.3	0.6
10	2.6	2.3	2	2.5	2.4	0.6
11	3.1	3	3.5	2.8	3	0.7
12	2.4	2.8	2.2	2.9	2.5	0.7
13	2.1	3.2	2.5	2.6	2.8	1.1
14	2.2	2.8	2.1	2.2	2.4	0.7
15	2.4	3	2.5	2.5	2	1
16	3.1	2.6	2.6	2.8	2.1	1
17	2.9	2.4	2.9	1.3	1.8	1.6
18	1.9	1.6	2.6	3.3	3.3	1.7
19	2.3	2.6	2.7	2.8	3.2	0.9
20	1.8	2.8	2.3	2	2.9	1.1
