year	deviation
1854	-0.12
1855	-0.43
1856	-0.28
1857	-0.47
1858	-0.38
1859	-0.18
1860	-0.38
1861	-0.45
1862	-0.58
1863	-0.23
1864	-0.46
1865	-0.23
1866	-0.2
1867	-0.23
1868	-0.27
1869	-0.21
1870	-0.31
1871	-0.37
1872	-0.28
1873	-0.3
1874	-0.39
1875	-0.44
1876	-0.4
1877	-0.12
1878	0.02
1879	-0.35
1880	-0.32
1881	-0.29
1882	-0.3
1883	-0.35
1884	-0.44
1885	-0.38
1886	-0.27
1887	-0.4
1888	-0.31
1889	-0.17
1890	-0.4
1891	-0.34
1892	-0.38
1893	-0.43
1894	-0.35
1895	-0.31
1896	-0.14
1897	-0.1
1898	-0.31
1899	-0.18
1900	-0.05
1901	-0.14
1902	-0.25
1903	-0.38
1904	-0.47
1905	-0.31
1906	-0.22
1907	-0.41
1908	-0.44
1909	-0.36
1910	-0.35
1911	-0.4
1912	-0.31
1913	-0.33
1914	-0.16
1915	-0.05
1916	-0.29
1917	-0.47
1918	-0.35
1919	-0.25
1920	-0.23
1921	-0.2
1922	-0.28
1923	-0.25
1924	-0.29
1925	-0.17
1926	0
1927	-0.13
1928	-0.14
1929	-0.32
1930	-0.14
1931	-0.04
1932	-0.11
1933	-0.22
1934	-0.11
1935	-0.16
1936	-0.13
1937	0.01
1938	0.08
1939	-0.03
1940	0.03
1941	0.04
1942	0.05
1943	0
1944	0.16
1945	0.05
1946	-0.06
1947	-0.04
1948	-0.05
1949	-0.08
1950	-0.14
1951	-0.02
1952	0.08
1953	0.13
1954	-0.11
1955	-0.14
1956	-0.22
1957	0.09
1958	0.11
1959	0.05
1960	-0.02
1961	0.12
1962	0.11
1963	0.13
1964	-0.18
1965	-0.12
1966	-0.04
1967	-0.01
1968	-0.06
1969	0.06
1970	0.05
1971	-0.08
1972	0.02
1973	0.14
1974	-0.1
1975	-0.09
1976	-0.22
1977	0.11
1978	0.04
1979	0.1
1980	0.19
1981	0.27
1982	0.09
1983	0.3
1984	0.12
1985	0.09
1986	0.17
1987	0.3
1988	0.34
1989	0.25
1990	0.39
1991	0.35
1992	0.17
1993	0.21
1994	0.31
