year	month	sales
1993	Apr	327
1993	May	288
1993	Jun	269
1993	Jul	256
1993	Aug	286
1993	Sep	298
1993	Oct	318
1993	Nov	329
1993	Dec	381
1994	Jan	470
1994	Feb	443
1994	Mar	386
1994	Apr	342
1994	May	319
1994	Jun	307
1994	Jul	284
1994	Aug	309
1994	Sep	326
1994	Oct	359
1994	Nov	376
1994	Dec	416
1995	Jan	548
1995	Feb	506
1995	Mar	444
1995	Apr	448
1995	May	408
1995	Jun	387
1995	Jul	373
1995	Aug	408
1995	Sep	420
1995	Oct	429
1995	Nov	442
1995	Dec	499
1996	Jan	589
1996	Feb	561
1996	Mar	493
1996	Apr	461
1996	May	430
1996	Jun	434
1996	Jul	406
1996	Aug	428
1996	Sep	450
1996	Oct	481
1996	Nov	485
1996	Dec	536
1997	Jan	556
1997	Feb	658
1997	Mar	557
