year	number	cost
1857	23362	12.75
1858	31642	8.08
1859	33757	9.50
1860	23226	10.00
1861	15178	8.08
1862	7272	8.50
1863	4448	12.25
1864	4926	14.50
1865	5437	12.58
1866	16498	11.58
1867	35971	8.17
1868	76556	6.83
1869	68392	6.09
1870	37447	5.50
1871	15686	6.50
1872	7942	11.87
1873	5123	19.87
1874	7106	14.33
1875	11250	14.17
1876	18774	13.00
1877	30508	8.25
1878	42834	7.42
1879	27345	8.58
1880	17834	10.08
1881	15386	12.58
1882	9443	14.67
1883	7599	16.75
1884	8061	19.17
1885	27187	11.67
1886	51511	18.75
1887	74050	9.75
1888	78773	9.33
1889	33899	19.08
1890	18886	13.75
1891	11520	13.58
1892	8352	19.33
1893	8660	16.58
1894	12902	11.50
1895	20331	12.08
1896	36853	7.75
1897	56407	6.17
1898	39437	7.08
1899	26761	10.08
1900	15185	27.58
1901	4473	17.25
1902	5781	29.50
1903	9117	45.67
1904	19267	24.33
1905	36116	27.00
1906	58850	26.83
1907	61478	27.25
1908	36300	38.43
1909	9704	87.33
1910	3410	123.08
1911	3774	102.33
