year	Month	sales
1994	Jan	2045
1994	Feb	3545
1994	Mar	4607
1994	Apr	2143
1994	May	3909
1994	Jun	3919
1994	Jul	3134
1994	Aug	2934
1994	Sep	3294
1994	Oct	3651
1994	Nov	5101
1994	Dec	4792
1995	Jan	2967
1995	Feb	3650
1995	Mar	4131
1995	Apr	3896
1995	May	4951
1995	Jun	4396
1995	Jul	5142
1995	Aug	3566
1995	Sep	4698
1995	Oct	3814
1995	Nov	7085
1995	Dec	6565
1996	Jan	3579
1996	Feb	3328
1996	Mar	5087
1996	Apr	5144
1996	May	4584
1996	Jun	4940
1996	Jul	4130
1996	Aug	4672
1996	Sep	5333
1996	Oct	4443
1996	Nov	9826
1996	Dec	6598
1997	Jan	3783
1997	Feb	4785
1997	Mar	5141
1997	Apr	7975
1997	May	7019
