year	month	rainfall
1949	1	58
1949	2	83
1949	3	50
1949	4	144
1949	5	165
1949	6	126
1949	7	103
1949	8	74
1949	9	46
1949	10	77
1949	11	70
1949	12	109
1950	1	17
1950	2	69
1950	3	32
1950	4	107
1950	5	60
1950	6	204
1950	7	55
1950	8	98
1950	9	48
1950	10	157
1950	11	100
1950	12	92
1951	1	74
1951	2	75
1951	3	47
1951	4	156
1951	5	109
1951	6	99
1951	7	158
1951	8	239
1951	9	15
1951	10	99
1951	11	128
1951	12	60
1952	1	45
1952	2	137
1952	3	35
1952	4	66
1952	5	103
1952	6	154
1952	7	97
1952	8	168
1952	9	98
1952	10	101
1952	11	230
1952	12	97
1953	1	120
1953	2	70
1953	3	65
1953	4	293
1953	5	202
1953	6	203
1953	7	224
1953	8	243
1953	9	49
1953	10	89
1953	11	44
1953	12	63
1954	1	9
1954	2	90
1954	3	291
1954	4	111
1954	5	243
1954	6	99
1954	7	130
1954	8	132
1954	9	92
1954	10	56
1954	11	42
1954	12	148
1955	1	47
1955	2	113
1955	3	138
1955	4	63
1955	5	122
1955	6	169
1955	7	110
1955	8	90
1955	9	111
1955	10	151
1955	11	115
1955	12	85
1956	1	95
1956	2	135
1956	3	36
1956	4	370
1956	5	133
1956	6	313
1956	7	198
1956	8	226
1956	9	132
1956	10	172
1956	11	90
1956	12	125
1957	1	4
1957	2	63
1957	3	71
1957	4	43
1957	5	178
1957	6	93
1957	7	90
1957	8	96
1957	9	54
1957	10	148
1957	11	92
1957	12	66
1958	1	27
1958	2	283
1958	3	65
1958	4	41
1958	5	176
1958	6	38
1958	7	187
1958	8	96
1958	9	103
1958	10	115
1958	11	89
1958	12	173
1959	1	126
1959	2	61
1959	3	100
1959	4	217
1959	5	148
1959	6	56
1959	7	160
1959	8	141
1959	9	59
1959	10	104
1959	11	47
1959	12	121
1960	1	21
1960	2	188
1960	3	85
1960	4	128
1960	5	134
1960	6	165
1960	7	137
1960	8	85
1960	9	268
1960	10	84
1960	11	83
1960	12	97
1961	1	112
1961	2	75
1961	3	53
1961	4	94
1961	5	147
1961	6	300
1961	7	210
1961	8	218
1961	9	142
1961	10	195
1961	11	44
1961	12	26
1962	1	34
1962	2	45
1962	3	128
1962	4	127
1962	5	218
1962	6	178
1962	7	154
1962	8	157
1962	9	114
1962	10	204
1962	11	109
1962	12	96
1963	1	91
1963	2	100
1963	3	98
1963	4	87
1963	5	70
1963	6	136
1963	7	127
1963	8	93
1963	9	72
1963	10	24
1963	11	74
1963	12	76
1964	1	74
1964	2	37
1964	3	90
1964	4	46
1964	5	229
1964	6	112
1964	7	208
1964	8	197
1964	9	137
1964	10	140
1964	11	51
1964	12	141
1965	1	140
1965	2	128
1965	3	89
1965	4	116
1965	5	107
1965	6	133
1965	7	159
1965	8	321
1965	9	37
1965	10	75
1965	11	82
1965	12	108
1966	1	113
1966	2	185
1966	3	82
1966	4	78
1966	5	145
1966	6	153
1966	7	135
1966	8	89
1966	9	112
1966	10	47
1966	11	116
1966	12	83
1967	1	114
1967	2	245
1967	3	104
1967	4	76
1967	5	58
1967	6	64
1967	7	66
1967	8	113
1967	9	95
1967	10	14
1967	11	211
1967	12	101
1968	1	34
1968	2	51
1968	3	67
1968	4	276
1968	5	179
1968	6	194
1968	7	116
1968	8	152
1968	9	81
1968	10	104
1968	11	68
1968	12	134
1969	1	99
1969	2	181
1969	3	17
1969	4	128
1969	5	140
1969	6	118
1969	7	91
1969	8	148
1969	9	124
1969	10	27
1969	11	56
1969	12	163
1970	1	37
1970	2	29
1970	3	127
1970	4	81
1970	5	163
1970	6	141
1970	7	171
1970	8	228
1970	9	138
1970	10	119
1970	11	110
1970	12	33
1971	1	44
1971	2	127
1971	3	77
1971	4	102
1971	5	118
1971	6	88
1971	7	126
1971	8	178
1971	9	147
1971	10	149
1971	11	108
1971	12	136
1972	1	30
1972	2	80
1972	3	202
1972	4	121
1972	5	169
1972	6	119
1972	7	139
1972	8	139
1972	9	57
1972	10	86
1972	11	47
1972	12	49
1973	1	49
1973	2	11
1973	3	82
1973	4	81
1973	5	76
1973	6	205
1973	7	107
1973	8	140
1973	9	161
1973	10	59
1973	11	104
1973	12	47
1974	1	9
1974	2	41
1974	3	37
1974	4	133
1974	5	85
1974	6	120
1974	7	141
1974	8	91
1974	9	121
1974	10	61
1974	11	15
1974	12	96
1975	1	194
1975	2	26
1975	3	123
1975	4	87
1975	5	114
1975	6	214
1975	7	85
1975	8	102
1975	9	108
1975	10	139
1975	11	111
1975	12	51
1976	1	201
1976	2	35
1976	3	30
1976	4	131
1976	5	90
1976	6	143
1976	7	175
1976	8	118
1976	9	202
1976	10	83
1976	11	158
1976	12	112
1977	1	62
1977	2	32
1977	3	75
1977	4	83
1977	5	177
1977	6	199
1977	7	168
1977	8	66
1977	9	107
1977	10	114
1977	11	71
1977	12	106
1978	1	34
1978	2	75
1978	3	38
1978	4	183
1978	5	42
1978	6	137
1978	7	183
1978	8	98
1978	9	143
1978	10	65
1978	11	99
1978	12	109
1979	1	30
1979	2	210
1979	3	136
1979	4	121
1979	5	78
1979	6	245
1979	7	207
1979	8	140
1979	9	125
1979	10	159
1979	11	113
1979	12	144
1980	1	90
1980	2	97
1980	3	194
1980	4	60
1980	5	61
1980	6	106
1980	7	144
1980	8	83
1980	9	83
1980	10	36
1980	11	167
1980	12	95
1981	1	63
1981	2	40
1981	3	30
1981	4	107
1981	5	70
1981	6	195
1981	7	130
1981	8	131
1981	9	106
1981	10	57
1981	11	131
1981	12	65
1982	1	39
1982	2	82
1982	3	78
1982	4	169
1982	5	66
1982	6	73
1982	7	94
1982	8	37
1982	9	79
1982	10	97
1982	11	19
1982	12	58
1983	1	56
1983	2	36
1983	3	46
1983	4	117
1983	5	66
1983	6	166
1983	7	42
1983	8	48
1983	9	111
1983	10	179
1983	11	40
1983	12	169
1984	1	111
1984	2	65
1984	3	213
1984	4	48
1984	5	108
1984	6	78
1984	7	107
1984	8	121
1984	9	112
1984	10	19
1984	11	99
1984	12	133
1985	1	103
1985	2	125
1985	3	93
1985	4	104
1985	5	250
1985	6	95
1985	7	149
1985	8	113
1985	9	73
1985	10	69
1985	11	101
1985	12	177
1986	1	196
1986	2	127
1986	3	39
1986	4	52
1986	5	86
1986	6	91
1986	7	161
1986	8	154
1986	9	73
1986	10	86
1986	11	56
1986	12	42
1987	1	88
1987	2	29
1987	3	143
1987	4	82
1987	5	70
1987	6	122
1987	7	120
1987	8	55
1987	9	146
1987	10	83
1987	11	111
1987	12	124
1988	1	17
1988	2	94
1988	3	217
1988	4	16
1988	5	128
1988	6	60
1988	7	206
1988	8	178
1988	9	119
1988	10	82
1988	11	76
1988	12	186
1989	1	225
1989	2	36
1989	3	40
1989	4	123
1989	5	122
1989	6	100
1989	7	79
1989	8	122
1989	9	119
1989	10	138
1989	11	110
1989	12	50
1990	1	60
1990	2	15
1990	3	102
1990	4	86
1990	5	111
1990	6	108
1990	7	173
1990	8	213
1990	9	83
1990	10	91
1990	11	122
1990	12	39
1991	1	33
1991	2	93
1991	3	104
1991	4	178
1991	5	48
1991	6	136
1991	7	126
1991	8	168
1991	9	113
1991	10	80
1991	11	96
1991	12	53
1992	1	67
1992	2	45
1992	3	33
1992	4	72
1992	5	111
1992	6	98
1992	7	180
1992	8	192
1992	9	107
1992	10	63
1992	11	84
1992	12	95
1993	1	39
1993	2	26
1993	3	23
1993	4	72
1993	5	54
1993	6	166
1993	7	25
1993	8	136
1993	9	84
1993	10	35
1993	11	86
1993	12	57
1994	1	48
1994	2	45
1994	3	48
1994	4	83
1994	5	133
1994	6	114
1994	7	186
1994	8	107
1994	9	252
1994	10	156
1994	11	56
1994	12	15
