Year	Month	Arctic	Antarctica
1990	Jan	12.72	3.27
1990	Feb	13.33	2.15
1990	Mar	13.44	2.71
1990	Apr	12.16	5.1
1990	May	10.84	7.37
1990	Jun	9.12	10.26
1990	Jul	6.44	12.17
1990	Aug	4.92	13.95
1990	Sep	4.5	14.3
1990	Oct	6.67	13.71
1990	Nov	9.58	11.24
1990	Dec	11.4	6.56
1991	Jan	12.49	3.39
1991	Feb	13.15	2.01
1991	Mar	13.35	2.54
1991	Apr	12.79	5.1
1991	May	11.44	7.77
1991	Jun	9.6	9.87
1991	Jul	6.66	12.12
1991	Aug	5.14	13.96
1991	Sep	4.46	14.38
1991	Oct	7.7	13.7
1991	Nov	9.19	11.35
1991	Dec	11.19	6.48
1992	Jan	12.54	3.12
1992	Feb	13.51	1.79
1992	Mar	13.41	2.39
1992	Apr	12.76	4.91
1992	May	11.37	7.53
1992	Jun	9.89	9.9
1992	Jul	7.14	12.48
1992	Aug	5.35	14.08
1992	Sep	5.37	14.04
1992	Oct	7.69	13.76
1992	Nov	9.69	11.09
1992	Dec	11.66	6
1993	Jan	12.85	2.43
1993	Feb	13.54	1.3
1993	Mar	13.71	2.15
1993	Apr	12.95	4.82
1993	May	11.35	7.8
1993	Jun	9.2	10.28
1993	Jul	6.17	12.63
1993	Aug	4.65	13.83
1993	Sep	4.52	14.62
1993	Oct	6.98	14.09
1993	Nov	9.49	11.72
1993	Dec	11.41	6.49
1994	Jan	12.8	3.26
1994	Feb	13.46	2.17
1994	Mar	13.47	3.13
1994	Apr	12.84	5.38
1994	May	11.6	8.12
1994	Jun	9.62	10.63
1994	Jul	6.85	13.03
1994	Aug	5.1	14.39
1994	Sep	5.08	14.52
1994	Oct	7.17	13.98
1994	Nov	9.64	11.65
1994	Dec	11.43	6.95
1995	Jan	12.72	3.62
1995	Feb	13.3	2.12
1995	Mar	13.28	2.74
1995	Apr	12.32	5.35
1995	May	10.76	8.23
1995	Jun	8.86	10.37
1995	Jul	6.05	12.47
1995	Aug	4.61	14.16
1995	Sep	4.38	14.42
1995	Oct	5.91	13.47
1995	Nov	8.95	11.38
1995	Dec	11.02	7.03
1996	Jan	12.07	3.43
1996	Feb	12.9	1.69
1996	Mar	12.83	2.56
1996	Apr	12.23	5.28
1996	May	11.22	8.57
1996	Jun	9.78	11
1996	Jul	7.36	12.79
1996	Aug	5.65	13.8
1996	Sep	5.58	14.45
1996	Oct	7.49	13.85
1996	Nov	8.7	11.14
1996	Dec	10.96	6.04
1997	Jan	12.3	2.65
1997	Feb	13.36	1.66
1997	Mar	13.24	2.23
1997	Apr	12.48	4.76
1997	May	11.17	7.82
1997	Jun	9.14	10.12
1997	Jul	6.41	12.66
1997	Aug	5.03	14
1997	Sep	4.84	14.49
1997	Oct	6.39	14.01
1997	Nov	9	11.49
1997	Dec	11.19	6.84
1998	Jan	12.73	2.91
1998	Feb	13.7	1.81
1998	Mar	13.5	2.64
1998	Apr	12.77	5.03
1998	May	11.35	7.82
1998	Jun	9.11	10.25
1998	Jul	6.38	12.56
1998	Aug	4.61	13.98
1998	Sep	4.24	14.76
1998	Oct	6.65	14.45
1998	Nov	8.82	11.76
1998	Dec	10.85	6.61
1999	Jan	12.54	2.99
1999	Feb	13.38	1.7
1999	Mar	13.47	2.51
1999	Apr	13.08	5.05
1999	May	11.61	7.99
1999	Jun	9.18	10.74
1999	Jul	6.49	12.97
1999	Aug	4.67	14.15
1999	Sep	4.22	14.53
1999	Oct	6.77	14.13
1999	Nov	9.21	11.4
1999	Dec	10.93	6.62
2000	Jan	12.22	2.79
2000	Feb	13.02	1.63
2000	Mar	13.1	2.6
2000	Apr	12.51	5.23
2000	May	11.18	8.47
2000	Jun	8.99	10.95
2000	Jul	6.31	12.89
2000	Aug	4.71	14.55
2000	Sep	4.31	14.98
2000	Oct	6.64	14.16
2000	Nov	8.81	11.71
2000	Dec	10.9	6.77
2001	Jan	12.27	3.55
2001	Feb	13.14	2.38
2001	Mar	13.57	3.3
2001	Apr	12.99	5.22
2001	May	11.32	7.92
2001	Jun	9.01	10.47
2001	Jul	6.22	12.49
2001	Aug	4.87	13.66
2001	Sep	4.55	14.27
2001	Oct	6.59	13.24
2001	Nov	9.02	10.88
2001	Dec	10.49	6.16
2002	Jan	12.19	2.81
2002	Feb	13.36	1.75
2002	Mar	13.36	2.29
2002	Apr	12.35	4.49
2002	May	11.11	7.09
2002	Jun	9.13	9.6
2002	Jul	6.34	12.42
2002	Aug	4.23	13.65
2002	Sep	3.98	14
2002	Oct	6.2	13.73
2002	Nov	8.69	11.55
2002	Dec	10.58	7.47
2003	Jan	12.21	4.01
2003	Feb	13.16	2.6
2003	Mar	13.36	3.16
2003	Apr	12.38	5.48
2003	May	10.82	8.35
2003	Jun	9.05	11.07
2003	Jul	6.06	13.08
2003	Aug	4.44	13.66
2003	Sep	4.01	14.05
2003	Oct	5.93	13.78
2003	Nov	8.5	11.36
2003	Dec	10.74	7.03
2004	Jan	12.19	3.69
2004	Feb	12.87	2.28
2004	Mar	12.93	3.1
2004	Apr	12.08	5.33
2004	May	10.86	8.09
2004	Jun	9.18	10.8
2004	Jul	6.43	13.07
2004	Aug	4.57	14.15
2004	Sep	4.35	14.51
2004	Oct	6.35	14.03
2004	Nov	8.9	11.94
2004	Dec	10.91	6.76
2005	Jan	11.84	3.02
2005	Feb	12.27	1.91
2005	Mar	12.67	2.66
2005	Apr	12.16	5.12
2005	May	10.83	7.87
2005	Jun	8.74	10.2
2005	Jul	5.81	12.63
2005	Aug	4.14	13.86
2005	Sep	4.03	14.76
2005	Oct	5.71	13.92
2005	Nov	8.73	11.69
2005	Dec	10.51	6.12
2006	Jan	11.57	2.67
2006	Feb	12.28	1.72
2006	Mar	12.44	1.94
2006	Apr	11.97	4.2
2006	May	10.39	7.08
2006	Jun	8.34	10.49
2006	Jul	5.71	12.79
2006	Aug	4.24	14.45
2006	Sep	3.97	15.09
