Time,Australia,"China, People's Republic of",Japan,United Kingdom
1998M09,17244,748,6093,5794
1998M10,18090,941,5039,7876
1998M11,16750,1054,6112,13362
1998M12,25909,1270,6670,20238
1999M01,27228,1375,6008,22557
1999M02,19461,1660,7478,27477
1999M03,19200,1456,7341,20187
1999M04,19595,1488,5030,13448
1999M05,12564,1449,4275,8587
1999M06,10987,1413,3758,7271
1999M07,14797,1510,5755,8098
1999M08,14519,1575,8693,8243
1999M09,18084,1570,6091,7338
1999M10,17229,1741,5119,10275
1999M11,17185,1985,6743,16124
1999M12,29083,2333,6805,20945
2000M01,32261,2124,6108,22626
2000M02,22110,2658,7778,30591
2000M03,21207,2329,7345,23207
2000M04,22816,2563,5010,16548
2000M05,13260,2709,4477,10034
2000M06,11684,2344,3762,8324
2000M07,15983,2655,6220,9039
2000M08,14995,2922,9707,9311
2000M09,20482,2607,6558,7267
2000M10,18278,3075,5494,10195
2000M11,19216,3303,7665,16700
2000M12,30673,3498,7204,25616
2001M01,34312,3698,7194,29651
2001M02,23688,4003,8889,34187
2001M03,24244,3636,8495,24853
2001M04,23411,3671,5866,16915
2001M05,15537,3559,5458,10417
2001M06,14731,3358,4539,8744
2001M07,19502,4298,6117,9671
2001M08,17893,4718,9982,10637
2001M09,21035,4612,7010,8489
2001M10,21364,5203,5508,11093
2001M11,19117,5686,6303,17332
2001M12,30184,6133,6831,26492
2002M01,34693,5890,6693,32324
2002M02,23864,7736,8493,38572
2002M03,25614,7184,8724,31620
2002M04,22967,7658,6323,20217
2002M05,15876,7824,5725,12923
2002M06,14643,7716,4372,11210
2002M07,20643,8673,6923,12072
2002M08,17266,8887,10096,12070
2002M09,20382,8583,6916,10301
2002M10,20872,8854,6739,13463
2002M11,19982,8894,8092,20048
2002M12,33851,9036,8419,29738
2003M01,37393,8821,7845,35447
2003M02,26940,10409,9354,42095
2003M03,26607,9161,9568,32805
2003M04,26960,8049,6422,23706
2003M05,17241,7212,5202,15109
2003M06,15457,6683,4490,12470
2003M07,21586,6916,6640,13663
2003M08,18061,6367,9284,14548
2003M09,23311,5761,7447,11916
2003M10,22890,5790,6471,14965
2003M11,22447,5745,7908,21626
2003M12,38900,6101,8261,34045
2004M01,44220,5872,7448,39638
2004M02,31328,5649,8917,46140
