Country,Date,Time,Arrivals,Time2,Arrivals2
Australia,1998Q4,1998.875,20288,8.875,1020288
Australia,1999Q1,1999.125,22047,9.125,1022047
Australia,1999Q2,1999.375,14362,9.375,1014362
Australia,1999Q3,1999.625,15775,9.625,1015775
Australia,1999Q4,1999.875,21209,9.875,1021209
Australia,2000Q1,2000.125,25261,10.125,1025261
Australia,2000Q2,2000.375,15891,10.375,1015891
Australia,2000Q3,2000.625,17117,10.625,1017117
Australia,2000Q4,2000.875,22761,10.875,1022761
Australia,2001Q1,2001.125,27539,11.125,1027539
Australia,2001Q2,2001.375,17867,11.375,1017867
Australia,2001Q3,2001.625,19460,11.625,1019460
Australia,2001Q4,2001.875,23603,11.875,1023603
Australia,2002Q1,2002.125,28197,12.125,1028197
Australia,2002Q2,2002.375,17807,12.375,1017807
Australia,2002Q3,2002.625,19420,12.625,1019420
Australia,2002Q4,2002.875,24955,12.875,1024955
Australia,2003Q1,2003.125,30426,13.125,1030426
Australia,2003Q2,2003.375,19857,13.375,1019857
Australia,2003Q3,2003.625,20960,13.625,1020960
Australia,2003Q4,2003.875,28140,13.875,1028140
Australia,2004Q1,2004.125,35468,14.125,1035468
Australia,2004Q2,2004.375,23361,14.375,1023361
Australia,2004Q3,2004.625,24367,14.625,1024367
Australia,2004Q4,2004.875,29689,14.875,1029689
Australia,2005Q1,2005.125,37330,15.125,1037330
Australia,2005Q2,2005.375,22458,15.375,1022458
Australia,2005Q3,2005.625,23878,15.625,1023878
Australia,2005Q4,2005.875,29919,15.875,1029919
Australia,2006Q1,2006.125,37291,16.125,1037291
Australia,2006Q2,2006.375,24032,16.375,1024032
Australia,2006Q3,2006.625,24942,16.625,1024942
Australia,2006Q4,2006.875,32850,16.875,1032850
Australia,2007Q1,2007.125,37850,17.125,1037850
Australia,2007Q2,2007.375,23846,17.375,1023846
Australia,2007Q3,2007.625,26384,17.625,1026384
Australia,2007Q4,2007.875,33016,17.875,1033016
Australia,2008Q1,2008.125,41378,18.125,1041378
Australia,2008Q2,2008.375,24400,18.375,1024400
Australia,2008Q3,2008.625,26825,18.625,1026825
Australia,2008Q4,2008.875,33855,18.875,1033855
Australia,2009Q1,2009.125,39344,19.125,1039344
Australia,2009Q2,2009.375,25402,19.375,1025402
Australia,2009Q3,2009.625,29355,19.625,1029355
Australia,2009Q4,2009.875,36848,19.875,1036848
Australia,2010Q1,2010.125,43797,20.125,1043797
Australia,2010Q2,2010.375,26320,20.375,1026320
Australia,2010Q3,2010.625,30642,20.625,1030642
Australia,2010Q4,2010.875,37501,20.875,1037501
Australia,2011Q1,2011.125,43260,21.125,1043260
Australia,2011Q2,2011.375,25213,21.375,1025213
Australia,2011Q3,2011.625,29521,21.625,1029521
Australia,2011Q4,2011.875,37552,21.875,1037552
Australia,2012Q1,2012.125,41987,22.125,1041987
China..People.s.Republic.of,1998Q4,1998.875,1089,8.875,1001089
China..People.s.Republic.of,1999Q1,1999.125,1492,9.125,1001492
China..People.s.Republic.of,1999Q2,1999.375,1450,9.375,1001450
China..People.s.Republic.of,1999Q3,1999.625,1551,9.625,1001551
China..People.s.Republic.of,1999Q4,1999.875,2020,9.875,1002020
China..People.s.Republic.of,2000Q1,2000.125,2364,10.125,1002364
China..People.s.Republic.of,2000Q2,2000.375,2541,10.375,1002541
China..People.s.Republic.of,2000Q3,2000.625,2729,10.625,1002729
China..People.s.Republic.of,2000Q4,2000.875,3292,10.875,1003292
China..People.s.Republic.of,2001Q1,2001.125,3771,11.125,1003771
China..People.s.Republic.of,2001Q2,2001.375,3529,11.375,1003529
China..People.s.Republic.of,2001Q3,2001.625,4542,11.625,1004542
China..People.s.Republic.of,2001Q4,2001.875,5674,11.875,1005674
China..People.s.Republic.of,2002Q1,2002.125,6910,12.125,1006910
China..People.s.Republic.of,2002Q2,2002.375,7734,12.375,1007734
China..People.s.Republic.of,2002Q3,2002.625,8716,12.625,1008716
China..People.s.Republic.of,2002Q4,2002.875,8928,12.875,1008928
China..People.s.Republic.of,2003Q1,2003.125,9432,13.125,1009432
China..People.s.Republic.of,2003Q2,2003.375,7314,13.375,1007314
